ReadTerm,MedCode,ReadCode,read_code,OPCS49_Code,OPCS_descr
Chest random pattern flap,60740,7M22200,7M222,Y56.3,Harvest of random pattern flap of skin from chest
Chiari osteotomy for congenital deformity of hip,25109,7L0GA00,7L0GA,X22.8,Other specified correction of congenital deformity of hip
Chiari osteotomy of pelvis,112486,7L0G113,7L0G1,X22.2,Primary osteotomy of pelvis for correction of congenital deformity of hip
Childs distal subtotal pancreatectomy,113068,7833011,78330,J57.1,Subtotal pancreatectomy
Childs pancreaticoduodenectomy,59498,7832011,78320,J56.1,Pancreaticoduodenectomy and excision of surrounding tissue
Chinese forearm flap,111116,7M25111,7M251,Y59.2,Harvest of radial artery flap of skin and fascia
Cholecystectomy,214,7810.11,7810,J18,Excision of gall bladder
Cholecystectomy NEC,9574,7810211,78102,J18.3,Total cholecystectomy NEC
Cholecystoduodenostomy,25339,7811111,78111,J19.2,Anastomosis of gall bladder to duodenum
Cholecystoenterostomy,19642,7811311,78113,J19.4,Anastomosis of gall bladder to intestine NEC
Cholecystogastrostomy,47199,7811011,78110,J19.1,Anastomosis of gall bladder to stomach
Cholecystojejunostomy,46455,7811211,78112,J19.3,Anastomosis of gall bladder to jejunum
Cholecystostomy NEC,15384,7813111,78131,J21.2,Drainage of gall bladder
Cholecystotomy,10085,7813.11,7813,J21,Incision of gall bladder
Choledochocholedochostomy,50821,7825111,78251,J32.2,Reanastomosis of bile duct
Choledochoduodenostomy,19109,7823011,78230,J30.1,Anastomosis of common bile duct to duodenum
Choledocholithotomy NEC,17590,7826111,78261,J33.2,Open removal of calculus from bile duct NEC
Choledochoplasty,40225,7825.11,7825,J32,Repair of bile duct
Choledochotomy,15679,7826.11,7826,J33,Incision of bile duct
Cholodochojejunostomy NEC,59369,7823211,78232,J30.3,Anastomosis of common bile duct to jejunum NEC
Chondrodiatasis,5487,7K1B200,7K1B2,W17.3,Traction lengthening of epiphyseal plate of bone
Chondroplasty of larynx,43716,7433400,74334,E33.3,Operations on cartilage of larynx NEC
Chopart midtarsal amputation,51017,7L07311,7L073,X10.4,Amputation through metatarsal bones
Chordectomy of spinal cord,67740,7040000,70400,A44.1,Chordectomy of spinal cord
Chordopexy of vocal cord,68958,7433111,74331,E33.2,Cordopexy of vocal cord
Circle of Willis aneurysm operations,50929,7A23.12,7A23.,L33,Operations on aneurysm of cerebral artery
Clagett closure of fenestration of chest,67532,7H05311,7H053,T08.4,Closure of fenestration of pleura
Clagett fenestration of chest wall,45323,7H05211,7H052,T08.3,Fenestration of pleura
Clam ileocystoplasty,23930,7B22800,7B228,M36.2,Ileocystoplasty
Clark transfer of peroneus brevis tendon,62101,7H40D11,7H40D,T64.8,Other specified transposition of tendon
Cleaning of skin wound NEC,8874,7G2D500,7G2D5,S57.6,Cleansing and sterilisation of skin NEC
Cleaning of skin wound of head or neck,44773,7G2D600,7G2D6,S56.6,Cleansing and sterilisation of skin of head or neck NEC
Cleansing and sterilisation of burnt skin NEC,98410,7G2CH00,7G2CH,S55.6,Cleansing and sterilisation of burnt skin NEC
Cleansing and sterilisation of skin NEC,89696,7G2D800,7G2D8,S57.6,Cleansing and sterilisation of skin NEC
Cleansing and sterilisation of skin of head or neck NEC,103030,7G2D700,7G2D7,S56.6,Cleansing and sterilisation of skin of head or neck NEC
Clearance of airway,51615,744C111,744C1,E52.2,Aspiration of bronchus NEC
Clearance of external auditory canal,28136,7305.00,7305,D07,Clearance of external auditory canal
Clearance of external auditory canal NOS,35623,7305z00,7305z,D07.9,Unspecified clearance of external auditory canal
Clearance of pelvis,37971,7L0A.00,7L0A.,X14,Clearance of pelvis
Clearance of pelvis NOS,62074,7L0Az00,7L0Az,X14.9,Unspecified clearance of pelvis
Clearance of secretions of respiratory tract,86765,7459400,74594,E89.1,Clearance of secretions of respiratory tract NEC
Cleidotomy of fetus to facilitate delivery,39866,7F1A200,7F1A2,R25.2,Destructive operation to facilitate delivery
Clipping of aneurysm of cerebral artery,10625,7A23200,7A232,L33.2,Clipping of aneurysm of cerebral artery
Clipping of aneurysm of circle of Willis,45450,7A23300,7A233,L33.2,Clipping of aneurysm of cerebral artery
Clipping of organ NOC,42154,7M0a000,7M0a0,Y07.2,Clipping of organ NOC
Clitoridectomy NEC,47035,7D00000,7D000,P01.1,Clitoridectomy
Clitoroplasty,29123,7D00200,7D002,P01.8,Other specified operations on clitoris
Closed (or no) reduction of fracture and external fixation,24715,7K1K.00,7K1K.,W25,Closed reduction of fracture of bone and external fixation
Closed (or no) reduction of fracture and internal fixation,6248,7K1J.00,7K1J.,W24,Closed reduction of fracture of bone and internal fixation
Closed aortic valvotomy,42748,7917100,79171,K32.2,Closed aortic valvotomy
Closed atrial septostomy,37452,790B100,790B1,K15.2,Closed atrial septostomy
Closed capsulotomy of breast,46430,7138B00,7138B,B37.8,Other specified other operations on breast
Closed enlargement of defect of atrial septum,28470,790B000,790B0,K15.1,Closed enlargement of defect of atrial septum
Closed heart valvotomy,29481,7917.11,7917,K32,Closed incision of valve of heart
Closed incision of heart valve,67659,7917.00,7917,K32,Closed incision of valve of heart
Closed incision of valve of heart NOS,20221,7917z00,7917z,K32.9,Unspecified closed incision of valve of heart
Closed mitral valvotomy,19246,7917000,79170,K32.1,Closed mitral valvotomy
Closed operation on septum of heart NOS,94040,790Bz00,790Bz,K15.9,Unspecified closed operations on septum of heart
Closed operations on septum of heart,49625,790B.00,790B.,K15,Closed operations on septum of heart
Closed osteoclasis,68463,7K15000,7K150,W11.1,Closed osteoclasis
Closed pulmonary valvotomy,38607,7917300,79173,K32.4,Closed pulmonary valvotomy
Closed reduction # arm,31498,7K1LN11,7K1LN,W26.2,Manipulation of fracture of bone NEC
Closed reduction # leg,31902,7K1LC11,7K1LC,W26.2,Manipulation of fracture of bone NEC
Closed reduction of dislocation of finger,17174,7K6G600,7K6G6,W66.8,Other specified primary closed reduction of traumatic dislocation of joint
Closed reduction of dislocation of foot,39991,7K6GD00,7K6GD,W66.8,Other specified primary closed reduction of traumatic dislocation of joint
Closed reduction of dislocation of jaw,10475,7K6GH00,7K6GH,W66.8,Other specified primary closed reduction of traumatic dislocation of joint
Closed reduction of dislocation of leg,61732,7K6GF11,7K6GF,W66.8,Other specified primary closed reduction of traumatic dislocation of joint
Closed reduction of dislocation of lower limb,58640,7K6GF00,7K6GF,W66.8,Other specified primary closed reduction of traumatic dislocation of joint
Closed reduction of dislocation of nasal bone,29959,7K6GJ00,7K6GJ,V13.8,Other specified other operations on bone of face
Closed reduction of dislocation of nasal septum,30620,7K6GL00,7K6GL,E03.8,Other specified operations on septum of nose
Closed reduction of dislocation of spine,70894,7K6GG00,7K6GG,V50.9,Unspecified manipulation of spine
Closed reduction of dislocation of thumb,17370,7K6G700,7K6G7,W66.8,Other specified primary closed reduction of traumatic dislocation of joint
Closed reduction of dislocation of toe,18758,7K6GE00,7K6GE,W66.8,Other specified primary closed reduction of traumatic dislocation of joint
Closed reduction of dislocation of upper limb,64880,7K6G800,7K6G8,W66.8,Other specified primary closed reduction of traumatic dislocation of joint
Closed reduction of dislocation of wrist,27558,7K6G500,7K6G5,W66.8,Other specified primary closed reduction of traumatic dislocation of joint
Closed reduction of fracture of ankle,6106,7K1L800,7K1L8,W26.2,Manipulation of fracture of bone NEC
Closed reduction of fracture of elbow,7034,7K1LE00,7K1LE,W26.2,Manipulation of fracture of bone NEC
Closed reduction of fracture of femur,18962,7K1L500,7K1L5,W26.2,Manipulation of fracture of bone NEC
Closed reduction of fracture of hip,6660,7K1L400,7K1L4,W26.2,Manipulation of fracture of bone NEC
Closed reduction of fracture of humerus,6379,7K1LF00,7K1LF,W26.2,Manipulation of fracture of bone NEC
Closed reduction of fracture of knee,8800,7K1L600,7K1L6,W26.2,Manipulation of fracture of bone NEC
Closed reduction of fracture of lower limb,55077,7K1LC00,7K1LC,W26.2,Manipulation of fracture of bone NEC
Closed reduction of fracture of mandible NEC,11342,7J12200,7J122,V15.3,Closed reduction of fracture of mandible NEC
Closed reduction of fracture of maxilla NEC,35889,7J13200,7J132,V08.3,Closed reduction of fracture of maxilla NEC
Closed reduction of fracture of metacarpus,35530,7K1LK00,7K1LK,W26.2,Manipulation of fracture of bone NEC
Closed reduction of fracture of metatarsus,38433,7K1L900,7K1L9,W26.2,Manipulation of fracture of bone NEC
Closed reduction of fracture of nasal bone,26130,7K1LD00,7K1LD,V09.2,Reduction of fracture of nasal bone NEC
Closed reduction of fracture of radius and or ulna,6942,7K1LL00,7K1LL,W26.2,Manipulation of fracture of bone NEC
Closed reduction of fracture of shoulder,7428,7K1LG00,7K1LG,W26.2,Manipulation of fracture of bone NEC
Closed reduction of fracture of tibia and or fibula,5886,7K1L700,7K1L7,W26.2,Manipulation of fracture of bone NEC
Closed reduction of fracture of toe,7339,7K1LA00,7K1LA,W26.2,Manipulation of fracture of bone NEC
Closed reduction of fracture of upper limb,38131,7K1LN00,7K1LN,W26.2,Manipulation of fracture of bone NEC
Closed reduction of fracture of wrist,5951,7K1LM00,7K1LM,W26.2,Manipulation of fracture of bone NEC
Closed reduction of injury to growth plate NEC,73803,7K6J500,7K6J5,W68.6,Closed reduction of injury to growth plate NEC
Closed routine patch testing of skin,91103,7P15200,7P152,U27.3,Closed routine patch testing of skin
Closed special patch testing of skin,94159,7P15300,7P153,U27.4,Closed special patch testing of skin
Closed tricuspid valvotomy,99614,7917200,79172,K32.3,Closed tricuspid valvotomy
Closed urethrotomy in female,35856,7B35000,7B350,M58.1,Closed urethrotomy of outlet of female bladder
Closed urethrotomy of female bladder neck,21538,7B35011,7B350,M58.1,Closed urethrotomy of outlet of female bladder
Closure connection stomach jejunum NEC,110330,7616400,76164,G33.5,Closure of connection of stomach to jejunum NEC
Closure of abdomen,20302,7H19011,7H190,T28.2,Suture of anterior abdominal wall
Closure of abnormal opening of stomach NEC,52482,7618200,76182,G36.3,Closure of abnormal opening of stomach NEC
Closure of anastomosis of ileum,50150,7644100,76441,G73.2,Closure of anastomosis of ileum
Closure of anastomosis of pancreatic duct,113812,7835500,78355,J59.6,Closure of anastomosis of pancreatic duct
Closure of aortic sinus of Valsalva fistula,91468,791B400,791B4,K38.5,Closure of aortic sinus of Valsalva fistula
Closure of aorto-left ventricular tunnel,111685,791B300,791B3,K38.4,Closure of aorto-left ventricular tunnel
Closure of aortopulmonary window,61794,7A00300,7A003,L01.4,Closure of aortopulmonary window
Closure of bowel fistula,22026,773C500,773C5,H62.8,Other specified other operations on bowel
Closure of branchial fistula,16239,7H67300,7H673,T94.2,Closure of branchial fistula
Closure of bypass of oesophagus NEC,111887,7605300,76053,G06.4,Closure of bypass of oesophagus NEC
Closure of caecostomy,62684,771A200,771A2,H14.3,Closure of caecostomy
Closure of caecostomy,62684,771A200,771A3,H14.9,Unspecified exteriorisation of caecum
Closure of cholecystotomy,93744,7812100,78121,J20.2,Closure of cholecystotomy
Closure of cleft foot,61916,7L0K700,7L0K7,X25.8,Other specified other correction of congenital deformity of foot
Closure of colostomy,1985,771B300,771B3,H15.4,Closure of colostomy
Closure of connection of stomach to duodenum,102748,7614400,76144,G31.5,Closure of connection of stomach to duodenum
Closure of connection of stomach to transposed jejunum,101958,7615300,76153,G32.4,Closure of connection of stomach to transposed jejunum
Closure of cornea,60261,7246.00,7246,C47,Closure of cornea
Closure of cornea NOS,65035,7246z00,7246z,C47.9,Unspecified closure of cornea
Closure of cystostomy,65966,7B2C000,7B2C0,M49.1,Closure of cystostomy
Closure of defect of atrioventricular septum,32163,7906.00,7906,K09,Repair of defect of atrioventricular septum
Closure of defect of atrioventricular septum NOS,38436,7906z00,7906z,K09.9,Unspecified repair of defect of atrioventricular septum
Closure of defect of interatrial septum,34902,7907.00,7907,K10,Repair of defect of interatrial septum
Closure of defect of interatrial septum NOS,16191,7907z00,7907z,K10.9,Unspecified repair of defect of interatrial septum
Closure of defect of interventricular septum,36575,7908.00,7908,K11,Repair of defect of interventricular septum
Closure of defect of interventricular septum NOS,3864,7908z00,7908z,K11.9,Unspecified repair of defect of interventricular septum
Closure of defect of unspecified septum of heart,30340,7909.00,7909,K12,Repair of defect of unspecified septum of heart
Closure of defect of unspecified septum of heart NOS,50310,7909z00,7909z,K12.9,Unspecified repair of defect of unspecified septum of heart
Closure of exomphalos,35924,7H19511,7H195,T28.1,Closure of gastroschisis
Closure of exstrophy of bladder,31714,7B23400,7B234,M37.4,Closure of exstrophy
Closure of fenestration of pleura,102526,7H05300,7H053,T08.4,Closure of fenestration of pleura
Closure of fistula between maxillary antrum and mouth,44432,7411400,74114,E13.5,Closure of fistula between maxillary antrum and mouth
Closure of fistula of bronchus,45088,7449100,74491,E47.2,Closure of fistula of bronchus
Closure of fistula of female perineum,50494,7D07300,7D073,P13.4,Closure of fistula of female perineum
Closure of fistula of gall bladder,64882,7812000,78120,J20.1,Closure of fistula of gall bladder
Closure of fistula of oesophagus NEC,58583,7606100,76061,G07.2,Closure of fistula of oesophagus NEC
Closure of fistula of oval window,111482,7321600,73216,D24.8,Other specified operations on cochlea
Closure of fistula of round window,39891,7321500,73215,D24.8,Other specified operations on cochlea
Closure of fistula of salivary gland,64901,7543100,75431,F48.2,Closure of fistula of salivary gland
Closure of gastric ulcer NEC,64014,761J100,761J1,G35.2,Closure of ulcer of stomach NEC
Closure of gastrochisis,20699,7H19500,7H195,T28.1,Closure of gastroschisis
Closure of gastrostomy,57656,7617300,76173,G34.4,Closure of gastrostomy
Closure of ileostomy,8663,7646200,76462,G75.3,Closure of ileostomy
Closure of jejunostomy,43689,7632200,76322,G60.3,Closure of jejunostomy
Closure of multiple interventricular septal defects,94023,7908500,79085,K11.6,Repair of multiple interventricular septal defects
Closure of nephrostomy,28917,7B05200,7B052,M06.3,Closure of nephrostomy
Closure of open drainage of pleural cavity,41875,7H05100,7H051,T08.2,Closure of open drainage of pleural cavity
Closure of palatal fistula, unspecified,28358,7526700,75267,F29.2,Revision of repair of cleft palate
Closure of patent ductus arteriosus NEC,36668,7A01200,7A012,L02.3,Closure of patent ductus arteriosus NEC
Closure of perforated bowel ulcer NEC,16642,773C600,773C6,H62.8,Other specified other operations on bowel
Closure of perforated duodenal ulcer,4741,7627000,76270,G52.1,Closure of perforated ulcer of duodenum
Closure of perforated gastric ulcer,20677,761J000,761J0,G35.1,Closure of perforated ulcer of stomach
Closure of perforation of duodenum NEC,27955,7623100,76231,G53.2,Closure of perforation of duodenum NEC
Closure of perforation of ileum,41256,7648300,76483,G78.4,Closure of perforation of ileum
Closure of perforation of jejunum,49392,7635200,76352,G63.3,Closure of perforation of jejunum
Closure of perforation of septum of nose,44753,7402300,74023,E03.4,Closure of perforation of septum of nose NEC
Closure of perforation of septum of nose NEC,90608,7402B00,7402B,E03.4,Closure of perforation of septum of nose NEC
Closure of perforation of septum of nose with labial graft,56169,7402311,74023,E03.4,Closure of perforation of septum of nose NEC
Closure of perforation of stomach NEC,39496,7618100,76181,G36.2,Closure of perforation of stomach NEC
Closure of persistent ostium primum,42181,7906300,79063,K09.4,Repair of persistent ostium primum
Closure of pharyngocutaneous fistula,62546,7423400,74234,E23.8,Other specified other open operations on pharynx
Closure of postaural fistula,46310,7311400,73114,D12.8,Other specified other operations on mastoid
Closure of proctostomy,45420,7729600,77296,H46.8,Other specified other operations on rectum
Closure of pulmonary valve,95784,7918500,79185,K34.6,Closure of pulmonary valve
Closure of pyloroplasty,106507,761B400,761B4,G40.5,Closure of pyloroplasty
Closure of rectal fistula,20885,7729700,77297,H46.8,Other specified other operations on rectum
Closure of spinal meningocele,29633,7043200,70432,A49.3,Closure of spinal meningocele
Closure of spinal myelomeningocele,5307,7043100,70431,A49.2,Closure of spinal myelomeningocele
Closure of tracheocutaneous fistula,89460,7444400,74437,E43.5,Closure of tracheocutaneous fistula
Closure of tracheocutaneous fistula,89460,7444400,74444,E43.5,Closure of tracheocutaneous fistula
Closure of tracheocutaneous fistula,35818,7443700,74437,E43.5,Closure of tracheocutaneous fistula
Closure of tracheocutaneous fistula,35818,7443700,74444,E43.5,Closure of tracheocutaneous fistula
Closure of tracheooesophageal fistula,33654,7606000,76060,G07.1,Closure of tracheo-oesophageal fistula
Closure of tracheostomy,27456,7443400,74434,E42.5,Closure of tracheostomy
Closure of tricuspid valve,96316,7918400,79184,K34.5,Closure of tricuspid valve
Closure of ureteric fistula,93698,7B14200,7B142,M22.3,Closure of ureteric fistula
Closure of urethral fistula,35853,7B41200,7B412,M73.3,Closure of fistula of urethra
Cloward anterior fusion of cervical spine,15699,7J20314,7J203,V29.4,Primary anterior excision of cervical intervertebral disc and interbody fusion of joint of cervical spine
Coblation of organ NOC,102874,7M0n000,7M0n0,Y10.1,Coblation of organ NOC
Coblation tonsillectomy,85507,7530C00,7530C,F34.7,Bilateral coblation tonsillectomy
Cochleostomy,72082,7321700,73217,D24.8,Other specified operations on cochlea
Cockett subfascial ligation of perforating varicose vein,43874,7A66111,7A661,L83.2,Subfascial ligation of perforating vein of leg
Cody perforation of footplate,44262,7322y12,7322y,D26.8,Other specified operations on vestibular apparatus
Coeliac plexus block,11944,7M34400,7M344,Y82.1,Local anaesthetic nerve block
Cognitive behavioural therapy,47588,7L1a.00,7L1a.,X66,Cognitive behavioural therapy
Cognitive behavioural therapy by multidisciplinary team,102640,7L1a100,7L1a1,X66.2,Cognitive behavioural therapy by multidisciplinary team
Cognitive behavioural therapy by unidisciplinary team,107523,7L1a000,7L1a0,X66.1,Cognitive behavioural therapy by unidisciplinary team
Cognitive behavioural therapy NOS,47578,7L1az00,7L1az,X66.9,Unspecified cognitive behavioural therapy
Cohen bilateral ureteric reimplantation,64583,7B12311,7B123,M20.1,Bilateral replantation of ureter
Cohen unilateral reimplantation of ureter,52134,7B12611,7B126,M20.2,Unilateral replantation of ureter
Coil intrauterine contraceptive device procedure,21114,7E09.11,7E09.,Q12,Intrauterine contraceptive device
Colectomy and anastomosis NEC,39914,7717200,77172,H11.3,Colectomy and anastomosis NEC
Colectomy and end to end anastomosis of colon to colon NEC,56826,7717000,77170,H11.1,Colectomy and end to end anastomosis of colon to colon NEC
Colectomy and end to side anastomosis,109089,7717700,77177,H11.6,Colectomy and end to side anastomosis NEC
Colectomy and exteriorisation of bowel NEC,18833,7717400,77174,H11.5,Colectomy and exteriorisation of bowel NEC
Colectomy and ileostomy NEC,7842,7717300,77173,H11.4,Colectomy and ileostomy NEC
Colectomy and side to side anastomosis of ileum to colon NEC,56087,7717100,77171,H11.2,Colectomy and side to side anastomosis of ileum to colon NEC
Colectomy NEC,604,7717z11,7717z,H11.9,Unspecified other excision of colon
Collection of sperm,20648,7C26100,7C261,N34.2,Collection of sperm NEC
Collection of sperm NEC,86758,7C26600,7C266,N34.2,Collection of sperm NEC
Colonic bladder augmentation,60332,7B22A00,7B22A,M36.3,Colocystoplasty
Colonic bladder replacement,68108,7B22B00,7B22B,M36.3,Colocystoplasty
Colonic replacement of ureter,42984,7B13300,7B133,M21.4,Colonic replacement of ureter
Colonna arthroplasty of hip,100059,7L0G211,7L0G2,X22.3,Secondary arthroplasty of hip for correction of congenital deformity of hip
Colonna osteotomy for congenital deformity of hip,65113,7L0GB00,7L0GB,X22.8,Other specified correction of congenital deformity of hip
Colonoscopic extirpation of lesion of lower bowel,24639,771K.11,771K.,H23,Endoscopic extirpation of lesion of lower bowel using fibreoptic sigmoidoscope
Colonoscopic polypectomy,6828,771G400,771G4,H20.1,Fibreoptic endoscopic snare resection of lesion of colon
Colonoscopy and extirpation of lesion of colon,4408,771G.11,771G.,H20,Endoscopic extirpation of lesion of colon
Colostomy,1984,771B.11,771B.,H15,Other exteriorisation of colon
Colostomy NEC,21057,771Bz11,771Bz,H15.9,Unspecified other exteriorisation of colon
Colotomy,7523,771C200,771C2,H16.3,Colotomy
Colpoperineorrhaphy,5004,7D1A411,7D1A4,P25.5,Suture of vagina
Colporrhaphy,2286,7D18.11,7D18.,P23,Other repair of prolapse of vagina
Colporrhaphy and amputation of cervix uteri,21695,7D17.11,7D17.,P22,Repair of prolapse of vagina and amputation of cervix uteri
Colporrhaphy NEC,37274,7D18400,7D184,P23.9,Unspecified other repair of prolapse of vagina
Colposcopic removal of foreign body from vagina,29795,7D1D500,7D1D5,P29.4,Removal of foreign body from vagina
Colposcopy NEC,220,7D1C200,7D1C2,Q55.4,Colposcopy of cervix
Colposcopy of vagina,70443,7D1C300,7D1C3,P27.3,Colposcopy of vagina
Colposuspension of bladder neck,4202,7B31200,7B312,M52.3,Colposuspension of neck of bladder
Colpotomy NEC,45666,7D1D100,7D1D1,P29.2,Colpotomy NEC
Columella lengthening procedure unspecified,51498,7409300,74093,E02.8,Other specified plastic operations on nose
Combined approach tympanoplasty,39140,7312500,73125,D14.4,Combined approach tympanoplasty
Combined operation on muscles of eye NOS,32664,7230z00,7230z,C31.9,Unspecified combined operations on muscles of eye
Combined operations for transformation from female to male,32617,7L0B100,7L0B1,X15.2,Combined operations for transformation from female to male
Combined operations for transformation from male to female,32772,7L0B000,7L0B0,X15.1,Combined operations for transformation from male to female
Combined operations on muscles of eye,11751,7230.00,7230,C31,Combined operations on muscles of eye
Combined operations on primary long and short saphenous vein,90931,7A6L200,7A6L2,L84.3,Combined operations on primary long and short saphenous vein
Combined operations on primary long saphenous vein,84405,7A6L000,7A6L0,L84.1,Combined operations on primary long saphenous vein
Combined operations on primary short saphenous vein,85092,7A6L100,7A6L1,L84.2,Combined operations on primary short saphenous vein
Combined operations on recurrent long saphenous vein,91393,7A6L300,7A6L3,L84.4,Combined operations on recurrent long saphenous vein
Combined operations on recurrent short saphenous vein,96897,7A6L400,7A6L4,L84.5,Combined operations on recurrent short saphenous vein
Combined operations on varicose vein of leg,69286,7A6L.00,7A6L.,L84,Combined operations on varicose vein of leg
Combined operations on varicose vein of leg NOS,89018,7A6Lz00,7A6Lz,L84.9,Unspecified combined operations on varicose vein of leg
Commissurectomy of tongue,60902,7523000,75230,F26.1,Commissurectomy of tongue
Compartment pressure studies,51843,7M0W400,7M0W4,Y44.8,Other specified other methods of operation on organ NOC
Compensation for liver failure,88994,7L1f.00,7L1f.,X43,Compensation for liver failure
Compensation for liver failure NOS,97650,7L1fz00,7L1fz,X43.9,Unspecified compensation for liver failure
Compensation for renal failure,31549,7L1A.00,7L1A.,X40,Compensation for renal failure
Compensation for renal failure NOS,64636,7L1Az00,7L1Az,X40.9,Unspecified compensation for renal failure
Complementary therapy,22323,8BF..00,7L1V.,X61,Complementary therapy
Complementary therapy,85993,7L1V.00,7L1V.,X61,Complementary therapy
Complementary therapy,31988,ZJ...00,7L1V.,X61,Complementary therapy
Complementary therapy NOS,94675,7L1Vz00,7L1Vz,X61.9,Unspecified complementary therapy
Complete callosotomy,105081,7005600,70056,A07.6,Complete callosotomy
Complete colpocleisis,51901,7D13000,7D130,P18.1,Complete colpocleisis
Complete protective suture of eyelid,98896,721A000,721A0,C20.1,Complete protective suture of eyelid
Complete subtalar release of clubfoot,55347,7L0J800,7L0J8,X24.8,Other specified primary correction of congenital deformity of foot
Completion gastrectomy,96161,7611800,76118,G28.8,Other specified partial excision of stomach
Completion of plaster from backslab,39320,7L1FJ00,7L1FJ,X48.1,Application of plaster cast
Complex decompression of fracture of spine,106504,7J41000,7J410,V44.1,Complex decompression of fracture of spine
Complex freeing of spinal tether,103408,7043300,70433,A49.4,Complex freeing of spinal tether
Complex lung function exercise test,93611,745B600,745B6,E92.5,Complex lung function exercise test
Complex lung function exercise testing,88642,745B400,745B4,E92.5,Complex lung function exercise test
Complex osteotomy,24662,7K14700,7K147,W10.8,Other specified open surgical fracture of bone
Complex reconstruction of forefoot,26346,7K02.00,7K02.,W03,Complex reconstruction of forefoot
Complex reconstruction of forefoot NOS,34160,7K02z00,7K02z,W03.9,Unspecified complex reconstruction of forefoot
Complex reconstruction of hindfoot,35131,7K03.00,7K03.,W04,Complex reconstruction of hindfoot
Complex reconstruction of hindfoot NOS,96349,7K03z00,7K03z,W04.9,Unspecified complex reconstruction of hindfoot
Complex reconstruction of shoulder,85249,7K6n.00,7K6n.,O10,Complex reconstruction of shoulder
Complex reconstruction of shoulder NOS,86811,7K6nz00,7K6nz,O10.9,Unspecified complex reconstruction of shoulder
Complex reconstruction of thumb,28428,7K00.00,7K00.,W01,Complex reconstruction of thumb
Complex reconstruction of thumb NOS,33374,7K00z00,7K00z,W01.9,Unspecified complex reconstruction of thumb
Complex reduction of abnormal tissue to free spinal cord,114647,7043400,70434,A49.4,Complex freeing of spinal tether
Complex soft tissue reconstruction in hand NEC,92364,7K01300,7K013,W02.4,Complex reconstruction of soft tissue of hand NEC
Composite autograft of skin NEC,44707,7G1H300,7G1H3,S36.4,Composite autograft of skin NEC
Composite autograft of skin to head or neck,63257,7G1H200,7G1H2,S36.3,Composite autograft of skin to head or neck
Computed tomography NEC,97419,7P0J800,7P0J8,U21.2,Computed tomography NEC
Computed tomography of abdomen,91436,7P05000,7P050,U08.1,Computed tomography of abdomen NEC
Computed tomography of abdomen NEC,86776,7P05400,7P054,U08.1,Computed tomography of abdomen NEC
Computed tomography of bone,90300,7P0A500,7P0A5,U13.6,Computed tomography of bone
Computed tomography of cervical spine,105402,7P02700,7P027,U05.4,Computed tomography of spine
Computed tomography of chest,85669,7P04000,7P040,U07.1,Computed tomography of chest
Computed tomography of colon,86020,7P0E400,7P0E4,U17.5,Computed tomography of colon
Computed tomography of head,49118,7P02000,7P020,U05.1,Computed tomography of head
Computed tomography of kidneys,91293,7P0N100,7P0N1,U37.2,Computed tomography of kidneys
Computed tomography of lumbar spine,105527,7P02500,7P025,U05.4,Computed tomography of spine
Computed tomography of pelvis,91437,7P06000,7P060,U09.1,Computed tomography of pelvis
Computed tomography of pulmonary arteries,102850,7P0J911,7P0J9,U35.4,Computed tomography of pulmonary arteries
Computed tomography of sinuses,68012,7P03000,7P030,U06.1,Computed tomography of sinuses
Computed tomography of spine,88378,7P02300,7P023,U05.4,Computed tomography of spine
Computed tomography of thoracic spine,106062,7P02600,7P026,U05.4,Computed tomography of spine
Computed tomography of whole body,90161,7P00000,7P000,U01.1,Computed tomography of whole body
Computed tomography pulmonary angiography,97218,7P0J900,7P0J9,U35.4,Computed tomography of pulmonary arteries
Computed Tomography scan of cerebral vessels,86417,7P08300,7P083,U11.4,Computed tomography scan of cerebral vessels
Computerised tomography guidance,105490,7P0JB00,7P0JB,Y53.3,Approach to organ under computed tomography scan control
Computerised tomography NEC,55353,7P0J100,7P0J1,U21.2,Computed tomography NEC
Conchopexy,66111,7403611,74036,E04.7,Surgical outfracture of turbinate of nose
Conjunctivodacryocystorhinostomy,15392,7221100,72211,C25.2,Conjunctivodacryocystorhinostomy
Connection between lacrimal apparatus and nose,40064,7221.00,7221,C25,Connection between lacrimal apparatus and nose
Connection between lacrimal gland and nose NOS,4936,7221z00,7221z,C25.9,Unspecified connection between lacrimal apparatus and nose
Connection of common bile duct,16883,7823.00,7823,J30,Connection of common bile duct
Connection of common bile duct NOS,71143,7823z00,7823z,J30.9,Unspecified connection of common bile duct
Connection of gall bladder,98823,7811.00,7811,J19,Connection of gall bladder
Connection of gall bladder NOS,111650,7811z00,7811z,J19.9,Unspecified connection of gall bladder
Connection of hepatic duct,65924,7822.00,7822,J29,Connection of hepatic duct
Connection of hepatic duct NOS,97816,7822z00,7822z,J29.9,Unspecified connection of hepatic duct
Connection of mammary artery to coronary artery,37682,7925.00,7925,K45.9,Unspecified connection of thoracic artery to coronary artery
Connection of mammary artery to coronary artery NOS,56990,7925z00,7925z,K45.9,Unspecified connection of thoracic artery to coronary artery
Connection of organ NOC,106075,7M0C.00,7M0C.,Y16,Connection of organ NOC
Connection of other thoracic artery to coronary artery,96804,7926.00,7926,K45.9,Unspecified connection of thoracic artery to coronary artery
