Disease,OPCS4code,OPCS4codeDescr
Peripheral arterial disease,L65.8,Other specified revision of reconstruction of artery
Peripheral venous and lymphatic disease,L83.2,Subfascial ligation of perforating vein of leg
Peripheral venous and lymphatic disease,L85,Ligation of varicose vein of leg
Peripheral venous and lymphatic disease,L85.3,Ligation of recurrent varicose vein of leg
Peripheral venous and lymphatic disease,L85.8,Other specified ligation of varicose vein of leg
Peripheral venous and lymphatic disease,L85.9,Unspecified ligation of varicose vein of leg
Peripheral venous and lymphatic disease,L86,Injection into varicose vein of leg
Peripheral venous and lymphatic disease,L86.1,Injection of sclerosing substance into varicose vein of leg NEC
Peripheral venous and lymphatic disease,L87.7,Transilluminated powered phlebectomy of varicose vein of leg
Peripheral venous and lymphatic disease,L86.8,Other specified injection into varicose vein of leg
Peripheral venous and lymphatic disease,L86.9,Unspecified injection into varicose vein of leg
Peripheral venous and lymphatic disease,L87,Other operations on varicose vein of leg
Peripheral venous and lymphatic disease,L87.5,Local excision of varicose vein of leg
Peripheral venous and lymphatic disease,L87.6,Incision of varicose vein of leg
Peripheral venous and lymphatic disease,L87.8,Other specified other operations on varicose vein of leg
Peripheral venous and lymphatic disease,L87.9,Unspecified other operations on varicose vein of leg
Peripheral venous and lymphatic disease,L84,Combined operations on varicose vein of leg
Peripheral venous and lymphatic disease,L84.8,Other specified combined operations on varicose vein of leg
Peripheral venous and lymphatic disease,L84.9,Unspecified combined operations on varicose vein of leg
Peripheral venous and lymphatic disease,L88,Transluminal operations on varicose vein of leg
Peripheral venous and lymphatic disease,L88.2,Radiofrequency ablation of varicose vein of leg
Peripheral venous and lymphatic disease,L88.8,Other specified transluminal operations on varicose vein of leg
Peripheral venous and lymphatic disease,L88.9,Unspecified transluminal operations on varicose vein of leg
Peripheral venous and lymphatic disease,T92,Other operations on lymphatic tissue
Peripheral venous and lymphatic disease,T92.2,Excision of lymphoedematous tissue of arm
Peripheral venous and lymphatic disease,T92.3,Excision of lymphoedematous tissue of leg and buried flaps HFQ
Peripheral venous and lymphatic disease,T92.4,Excision of lymphoedematous tissue of leg NEC
Peripheral venous and lymphatic disease,T92.5,Excision of lymphoedematous tissue of scrotum
Peripheral venous and lymphatic disease,T92.6,Excision of lymphoedematous tissue NEC
Peripheral venous and lymphatic disease,T92.8,Other specified other operations on lymphatic tissue
Portal hypertension and oesophageal varices,G10,Open operations on varices of oesophagus
Portal hypertension and oesophageal varices,G10.4,Local ligation of varices of oesophagus
Portal hypertension and oesophageal varices,G10.5,Open injection sclerotherapy to varices of oesophagus
Portal hypertension and oesophageal varices,G10.8,Other specified open operations on varices of oesophagus
Portal hypertension and oesophageal varices,G10.9,Unspecified open operations on varices of oesophagus
Portal hypertension and oesophageal varices,G14.8,Other specified fibreoptic endoscopic extirpation of lesion of oesophagus
Portal hypertension and oesophageal varices,G17.8,Other specified endoscopic extirpation of lesion of oesophagus using rigid oesophagoscope
Primary malignancy malignant melanoma,S06.9,Unspecified other excision of lesion of skin
Primary malignancy prostate,M34.8,Other specified total excision of bladder
Primary malignancy prostate,M34.1,Cystoprostatectomy
Primary malignancy prostate,M61.1,Total excision of prostate and capsule of prostate
Primary Malignancy_Other Skin and subcutaneous tissue,S06.9,Unspecified other excision of lesion of skin
Ptosis of eyelid,C18,Correction of ptosis of eyelid
Ptosis of eyelid,C18.3,Correction of ptosis of eyelid using sling of fascia
Ptosis of eyelid,C18.6,Correction of ptosis of eyelid using aponeurosis technique
Ptosis of eyelid,C18.8,Other specified correction of ptosis of eyelid
Ptosis of eyelid,C18.9,Unspecified correction of ptosis of eyelid
Retinal detachments and breaks,C81,Photocoagulation of retina for detachment
Retinal detachments and breaks,C81.1,Xenon photocoagulation of retina for detachment
Retinal detachments and breaks,C81.2,Laser photocoagulation of retina for detachment
Retinal detachments and breaks,C81.8,Other specified photocoagulation of retina for detachment
Retinal detachments and breaks,C81.9,Unspecified photocoagulation of retina for detachment
Rheumatoid Arthritis,U50.4,Delivery of rehabilitation for rheumatoid arthritis
Scoliosis,V41.2,Anterior attachment of correctional instrument to spine
Spina bifida,A12.2,Creation of ventriculovascular shunt
Spina bifida,A49,Repair of spina bifida
Spina bifida,A49.2,Closure of spinal myelomeningocele
Spina bifida,A49.3,Closure of spinal meningocele
Spina bifida,A49.8,Other specified repair of spina bifida
Spina bifida,A49.9,Unspecified repair of spina bifida
Spondylolisthesis,V38.3,Primary posterior fusion of joint of lumbar spine NEC
Spondylolisthesis,V43.8,Other specified extirpation of lesion of spine
Spondylolisthesis,V54.8,Other specified other operations on spine
Subdural haematoma,A41.1,Evacuation of subdural haematoma
Subdural haematoma,A41,Drainage of subdural space
Subdural haematoma,A41.8,Other specified drainage of subdural space
Subdural haematoma,A41.9,Unspecified drainage of subdural space
Thyroid disease,B08,Excision of thyroid gland
Thyroid disease,B08.1,Total thyroidectomy
Thyroid disease,B08.2,Subtotal thyroidectomy
Thyroid disease,B08.9,Unspecified excision of thyroid gland
Thyroid disease,B08.8,Other specified excision of thyroid gland
Thyroid disease,B12.8,Other specified other operations on thyroid gland
Thyroid disease,B12.9,Unspecified other operations on thyroid gland
Urinary Incontinence,M75.2,Insertion of prosthesis for compression of bulb of male urethra
Urolithiasis,M06.1,Open removal of calculus from kidney
Urolithiasis,M09,Therapeutic endoscopic operations on calculus of kidney
Urolithiasis,M09.1,Endoscopic ultrasound fragmentation of calculus of kidney
Urolithiasis,M09.3,Endoscopic laser fragmentation of calculus of kidney
Urolithiasis,M09.4,Endoscopic extraction of calculus of kidney NEC
Urolithiasis,M09.8,Other specified therapeutic endoscopic operations on calculus of kidney
Urolithiasis,M09.9,Unspecified therapeutic endoscopic operations on calculus of kidney
Urolithiasis,M14.1,Extracorporeal shock wave lithotripsy of calculus of kidney
Urolithiasis,M14.9,Unspecified extracorporeal fragmentation of calculus of kidney
Urolithiasis,M26.1,Nephroscopic laser fragmentation of calculus of ureter
Urolithiasis,M26.2,Nephroscopic fragmentation of calculus of ureter NEC
Urolithiasis,M26.3,Nephroscopic extraction of calculus of ureter
Urolithiasis,M27.3,Ureteroscopic extraction of calculus of ureter
Urolithiasis,M27.1,Ureteroscopic laser fragmentation of calculus of ureter
Urolithiasis,M27.2,Ureteroscopic fragmentation of calculus of ureter NEC
Urolithiasis,M28,Other endoscopic removal of calculus from ureter
Urolithiasis,M28.1,Code retired - refer to introduction
Urolithiasis,M28.2,Code retired - refer to introduction
Urolithiasis,M28.3,Code retired - refer to introduction
Urolithiasis,M28.4,Endoscopic catheter drainage of calculus of ureter
Urolithiasis,M28.5,Endoscopic drainage of calculus of ureter by dilation of ureter
Urolithiasis,M28.8,Other specified other endoscopic removal of calculus from ureter
Urolithiasis,M28.9,Unspecified other endoscopic removal of calculus from ureter
Urolithiasis,M31.1,Extracorporeal shockwave lithotripsy of calculus of ureter
Urolithiasis,M86.1,Endoscopic extraction of calculus of urinary diversion
Urolithiasis,M39.1,Open removal of calculus from bladder
Urolithiasis,M44.2,Endoscopic extraction of calculus of bladder NEC
Urolithiasis,M44.1,Endoscopic lithopaxy
Urolithiasis,M47.8,Other specified urethral catheterisation of bladder
Urolithiasis,M75.4,Open extraction of calculus from urethra
Urolithiasis,M75.9,Unspecified other open operations on urethra
Urolithiasis,M76.2,Endoscopic removal of foreign body from urethra
Vitamin B12 deficiency anaemia,X37.8,Other specified intramuscular injection
