Disease,ICD10code,ICD10codeDescr,Provenance,Exclude
Epilepsy,F07.0,Organic personality disorder,Cross-mapped,NA
Epilepsy,F80.3,Acquired aphasia with epilepsy [Landau-Kleffner],Cross-mapped,NA
Epilepsy,G11.1,Early-onset cerebellar ataxia,Cross-mapped,NA
Epilepsy,G25.3,Myoclonus,Cross-mapped,NA
Epilepsy,G40,Epilepsy,Kuan,NA
Epilepsy,G40.0,Localization-related (focal)(partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset,Cross-mapped,NA
Epilepsy,G40.1,Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures,Cross-mapped,NA
Epilepsy,G40.2,Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures,Cross-mapped,NA
Epilepsy,G40.3,Generalized idiopathic epilepsy and epileptic syndromes,Cross-mapped,NA
Epilepsy,G40.4,Other generalized epilepsy and epileptic syndromes,Cross-mapped,NA
Epilepsy,G40.5,Special epileptic syndromes,Cross-mapped,NA
Epilepsy,G40.6,"Grand mal seizures, unspecified (with or without petit mal)",Cross-mapped,NA
Epilepsy,G40.7,"Petit mal, unspecified, without grand mal seizures",Cross-mapped,NA
Epilepsy,G40.8,Other epilepsy,Cross-mapped,NA
Epilepsy,G40.9,"Epilepsy, unspecified",Cross-mapped,NA
Epilepsy,G41,Status epilepticus,Kuan,NA
Epilepsy,G41.0,Grand mal status epilepticus,Cross-mapped,NA
Epilepsy,G41.1,Petit mal status epilepticus,Cross-mapped,NA
Epilepsy,G41.2,Complex partial status epilepticus,Cross-mapped,NA
Epilepsy,G41.8,Other status epilepticus,Cross-mapped,NA
Epilepsy,G41.9,"Status epilepticus, unspecified",Cross-mapped,NA
Epilepsy,T90.5,Sequelae of intracranial injury,Cross-mapped,NA
Erectile dysfunction,F52.2,Failure of genital response,Overlap,NA
Erectile dysfunction,N48.4,Impotence of organic origin,Overlap,NA
Female genital prolapse,N81,Female genital prolapse,Kuan,NA
Female genital prolapse,N81.0,Female urethrocele,Cross-mapped,NA
Female genital prolapse,N81.1,Cystocele,Cross-mapped,NA
Female genital prolapse,N81.2,Incomplete uterovaginal prolapse,Cross-mapped,NA
Female genital prolapse,N81.3,Complete uterovaginal prolapse,Cross-mapped,NA
Female genital prolapse,N81.4,"Uterovaginal prolapse, unspecified",Cross-mapped,NA
Female genital prolapse,N81.5,Vaginal enterocele,Cross-mapped,NA
Female genital prolapse,N81.6,Rectocele,Cross-mapped,NA
Female genital prolapse,N81.8,Other female genital prolapse,Cross-mapped,NA
Female genital prolapse,N81.9,"Female genital prolapse, unspecified",Cross-mapped,NA
Female genital prolapse,N99.3,Prolapse of vaginal vault after hysterectomy,Cross-mapped,NA
Female genital prolapse,T83.9,"Unspecified complication of genitourinary prosthetic device, implant and graft",Cross-mapped,NA
Female infertility,E23.0,Hypopituitarism,Cross-mapped,NA
Female infertility,N46,Male infertility,Cross-mapped,NA
Female infertility,N97,Female infertility,Kuan,NA
Female infertility,N97.0,Female infertility associated with anovulation,Cross-mapped,NA
Female infertility,N97.1,Female infertility of tubal origin,Cross-mapped,NA
Female infertility,N97.2,Female infertility of uterine origin,Cross-mapped,NA
Female infertility,N97.3,Female infertility of cervical origin,Cross-mapped,NA
Female infertility,N97.4,Female infertility associated with male factors,Cross-mapped,NA
Female infertility,N97.8,Female infertility of other origin,Cross-mapped,NA
Female infertility,N97.9,"Female infertility, unspecified",Cross-mapped,NA
Female infertility,Z31,Procreative management,Cross-mapped,NA
Female infertility,Z31.8,Other procreative management,Cross-mapped,NA
Female infertility,Z31.9,"Procreative management, unspecified",Cross-mapped,NA
Female infertility,Z35.0,Supervision of pregnancy with history of infertility,Cross-mapped,NA
Fibromyalgia,M79.7,Fibromyalgia,New code list,NA
Folate deficiency anaemia,D52,Folate deficiency anaemia,Kuan,NA
Folate deficiency anaemia,D52.0,Dietary folate deficiency anaemia,Cross-mapped,NA
Folate deficiency anaemia,D52.1,Drug-induced folate deficiency anaemia,Cross-mapped,NA
Folate deficiency anaemia,D52.8,Other folate deficiency anaemias,Cross-mapped,NA
Folate deficiency anaemia,D52.9,"Folate deficiency anaemia, unspecified",Cross-mapped,NA
Folate deficiency anaemia,D53.1,"Other megaloblastic anaemias, not elsewhere classified",Cross-mapped,NA
Folate deficiency anaemia,E53.8,Deficiency of other specified B group vitamins,Cross-mapped,NA
Fracture of hip,S72.0,Fracture of neck of femur,Overlap,NA
Fracture of hip,S72.1,Pertrochanteric fracture,Overlap,NA
Fracture of hip,S72.2,Subtrochanteric fracture,Overlap,NA
Fracture of hip,S72.8,Fractures of other parts of femur,Cross-mapped,NA
Fracture of hip,T93.1,Sequelae of fracture of femur,Cross-mapped,NA
Gastritis and duodenitis,A04.5,Campylobacter enteritis,Cross-mapped,NA
Gastritis and duodenitis,K25.9,"Gastric ulcer unspecified as acute or chronic, without haemorrhage or perforation",Cross-mapped,NA
Gastritis and duodenitis,K26.9,"Duodenal ulcer unspecified as acute or chronic, without haemorrhage or perforation",Cross-mapped,NA
Gastritis and duodenitis,K29,Gastritis and duodenitis,Overlap,NA
Gastritis and duodenitis,K29.0,Acute haemorrhagic gastritis,Cross-mapped,NA
Gastritis and duodenitis,K29.1,Other acute gastritis,Cross-mapped,NA
Gastritis and duodenitis,K29.2,Alcoholic gastritis,Cross-mapped,NA
Gastritis and duodenitis,K29.3,Chronic superficial gastritis,Cross-mapped,NA
Gastritis and duodenitis,K29.4,Chronic atrophic gastritis,Cross-mapped,NA
Gastritis and duodenitis,K29.5,"Chronic gastritis, unspecified",Cross-mapped,NA
Gastritis and duodenitis,K29.6,Other gastritis,Cross-mapped,NA
Gastritis and duodenitis,K29.7,"Gastritis, unspecified",Cross-mapped,NA
Gastritis and duodenitis,K29.8,Duodenitis,Cross-mapped,NA
Gastritis and duodenitis,K29.9,"Gastroduodenitis, unspecified",Cross-mapped,NA
Gastritis and duodenitis,Z71.3,Dietary counselling and surveillance,Cross-mapped,NA
Gastro-oesophageal reflux disease,K21,Gastro-oesophageal reflux disease,Kuan,NA
Gastro-oesophageal reflux disease,K21.0,Gastro-oesophageal reflux disease with oesophagitis,Cross-mapped,NA
Gastro-oesophageal reflux disease,K21.9,Gastro-oesophageal reflux disease without oesophagitis,Cross-mapped,NA
Gastro-oesophageal reflux disease,K22.8,Other specified diseases of oesophagus,Cross-mapped,NA
Gastrointestinal angiodysplasia,K31.8,Other specified diseases of stomach and duodenum,Cross-mapped,NA
Gastrointestinal angiodysplasia,K55.2,Angiodysplasia of colon,Overlap,NA
Giant Cell arteritis,M31.5,Giant cell arteritis with polymyalgia rheumatica,Overlap,NA
Giant Cell arteritis,M31.6,Other giant cell arteritis,Overlap,NA
Glaucoma,H26.2,Complicated cataract,Cross-mapped,NA
Glaucoma,H40.1,Primary open-angle glaucoma,Overlap,NA
Glaucoma,H40.2,Primary angle-closure glaucoma,Overlap,NA
Glaucoma,H40.3,Glaucoma secondary to eye trauma,Cross-mapped,NA
Glaucoma,H40.4,Glaucoma secondary to eye inflammation,Cross-mapped,NA
Glaucoma,H40.5,Glaucoma secondary to other eye disorders,Cross-mapped,NA
Glaucoma,H40.6,Glaucoma secondary to drugs,Cross-mapped,NA
Glaucoma,H40.8,Other glaucoma,Cross-mapped,NA
Glaucoma,H40.9,Glaucoma,Overlap,NA
Glaucoma,H44.8,Other disorders of globe,Cross-mapped,NA
Glaucoma,H47.2,Optic atrophy,Cross-mapped,NA
Glaucoma,P15.3,Birth injury to eye,Cross-mapped,NA
Glaucoma,Q15.0,Congenital glaucoma,Cross-mapped,NA
Glomerulonephritis,M31.0,Hypersensitivity angiitis,Cross-mapped,NA
Glomerulonephritis,N00,Acute nephritic syndrome,Cross-mapped,NA
Glomerulonephritis,N00.0,Acute nephritic syndrome - Minor glomerular abnormality,Overlap,NA
Glomerulonephritis,N00.1,Acute nephritic syndrome - Focal and segmental glomerular lesions,Kuan,NA
Glomerulonephritis,N00.2,Acute nephritic syndrome - Diffuse membranous glomerulonephritis,Kuan,NA
Glomerulonephritis,N00.3,Acute nephritic syndrome - Diffuse mesangial proliferative glomerulonephritis,Kuan,NA
Glomerulonephritis,N00.4,Acute nephritic syndrome - Diffuse endocapillary proliferative glomerulonephritis,Kuan,NA
Glomerulonephritis,N00.5,Acute nephritic syndrome - Diffuse mesangiocapillary glomerulonephritis,Kuan,NA
Glomerulonephritis,N00.6,Acute nephritic syndrome - Dense deposit disease,Overlap,NA
Glomerulonephritis,N00.7,Acute nephritic syndrome - Diffuse crescentic glomerulonephritis,Kuan,NA
Glomerulonephritis,N00.8,Acute nephritic syndrome - Other,Overlap,NA
Glomerulonephritis,N00.9,Acute nephritic syndrome - Unspecified,Overlap,NA
Glomerulonephritis,N01,Rapidly progressive nephritic syndrome,Cross-mapped,NA
Glomerulonephritis,N01.0,Rapidly progressive nephritic syndrome - Minor glomerular abnormality,Kuan,NA
Glomerulonephritis,N01.1,Rapidly progressive nephritic syndrome - Focal and segmental glomerular lesions,Kuan,NA
Glomerulonephritis,N01.2,Rapidly progressive nephritic syndrome - Diffuse membranous glomerulonephritis,Kuan,NA
Glomerulonephritis,N01.3,Rapidly progressive nephritic syndrome - Diffuse mesangial proliferative glomerulonephritis,Kuan,NA
Glomerulonephritis,N01.4,Rapidly progressive nephritic syndrome - Diffuse endocapillary proliferative glomerulonephritis,Kuan,NA
Glomerulonephritis,N01.5,Rapidly progressive nephritic syndrome - Diffuse mesangiocapillary glomerulonephritis,Kuan,NA
Glomerulonephritis,N01.7,Rapidly progressive nephritic syndrome - Diffuse crescentic glomerulonephritis,Kuan,NA
Glomerulonephritis,N01.8,Rapidly progressive nephritic syndrome - Other,Kuan,NA
Glomerulonephritis,N01.9,Rapidly progressive nephritic syndrome - Unspecified,Overlap,NA
Glomerulonephritis,N02,Recurrent and persistent haematuria,Cross-mapped,NA
Glomerulonephritis,N02.0,Recurrent and persistent haematuria - Minor glomerular abnormality,Kuan,NA
Glomerulonephritis,N02.1,Recurrent and persistent haematuria - Focal and segmental glomerular lesions,Kuan,NA
Glomerulonephritis,N02.2,Recurrent and persistent haematuria - Diffuse membranous glomerulonephritis,Kuan,NA
Glomerulonephritis,N02.3,Recurrent and persistent haematuria - Diffuse mesangial proliferative glomerulonephritis,Kuan,NA
Glomerulonephritis,N02.4,Recurrent and persistent haematuria - Diffuse endocapillary proliferative glomerulonephritis,Kuan,NA
Glomerulonephritis,N02.5,Recurrent and persistent haematuria - Diffuse mesangiocapillary glomerulonephritis,Kuan,NA
Glomerulonephritis,N02.6,Recurrent and persistent haematuria - Dense deposit disease,Overlap,NA
Glomerulonephritis,N02.7,Recurrent and persistent haematuria - Diffuse crescentic glomerulonephritis,Kuan,NA
Glomerulonephritis,N02.8,Recurrent and persistent haematuria - Other,Overlap,NA
Glomerulonephritis,N02.9,Recurrent and persistent haematuria - Unspecified,Overlap,NA
Glomerulonephritis,N03,Chronic nephritic syndrome,Cross-mapped,NA
Glomerulonephritis,N03.0,Chronic nephritic syndrome - Minor glomerular abnormality,Overlap,NA
Glomerulonephritis,N03.1,Chronic nephritic syndrome - Focal and segmental glomerular lesions,Overlap,NA
Glomerulonephritis,N03.2,Chronic nephritic syndrome - Diffuse membranous glomerulonephritis,Overlap,NA
Glomerulonephritis,N03.3,Chronic nephritic syndrome - Diffuse mesangial proliferative glomerulonephritis,Overlap,NA
Glomerulonephritis,N03.4,Chronic nephritic syndrome - Diffuse endocapillary proliferative glomerulonephritis,Kuan,NA
Glomerulonephritis,N03.5,Chronic nephritic syndrome - Diffuse mesangiocapillary glomerulonephritis,Overlap,NA
Glomerulonephritis,N03.6,Chronic nephritic syndrome - Dense deposit disease,Overlap,NA
Glomerulonephritis,N03.7,Chronic nephritic syndrome - Diffuse crescentic glomerulonephritis,Kuan,NA
Glomerulonephritis,N03.8,Chronic nephritic syndrome - Other,Overlap,NA
Glomerulonephritis,N03.9,Chronic nephritic syndrome - Unspecified,Overlap,NA
Glomerulonephritis,N04,Nephrotic syndrome,Cross-mapped,NA
Glomerulonephritis,N04.0,Nephrotic syndrome - Minor glomerular abnormality,Overlap,NA
Glomerulonephritis,N04.1,Nephrotic syndrome - Focal and segmental glomerular lesions,Overlap,NA
Glomerulonephritis,N04.2,Nephrotic syndrome - Diffuse membranous glomerulonephritis,Overlap,NA
Glomerulonephritis,N04.3,Nephrotic syndrome - Diffuse mesangial proliferative glomerulonephritis,Kuan,NA
Glomerulonephritis,N04.4,Nephrotic syndrome - Diffuse endocapillary proliferative glomerulonephritis,Kuan,NA
Glomerulonephritis,N04.5,Nephrotic syndrome - Diffuse mesangiocapillary glomerulonephritis,Kuan,NA
Glomerulonephritis,N04.6,Nephrotic syndrome - Dense deposit disease,Overlap,NA
Glomerulonephritis,N04.7,Nephrotic syndrome - Diffuse crescentic glomerulonephritis,Overlap,NA
Glomerulonephritis,N04.8,Nephrotic syndrome - Other,Overlap,NA
Glomerulonephritis,N04.9,Nephrotic syndrome - Unspecified,Overlap,NA
Glomerulonephritis,N05.0,Unspecified nephritic syndrome - Minor glomerular abnormality,Kuan,NA
Glomerulonephritis,N05.1,Unspecified nephritic syndrome - Focal and segmental glomerular lesions,Overlap,NA
Glomerulonephritis,N05.2,Unspecified nephritic syndrome - Diffuse membranous glomerulonephritis,Overlap,NA
Glomerulonephritis,N05.3,Unspecified nephritic syndrome - Diffuse mesangial proliferative glomerulonephritis,Kuan,NA
Glomerulonephritis,N05.4,Unspecified nephritic syndrome - Diffuse endocapillary proliferative glomerulonephritis,Kuan,NA
Glomerulonephritis,N05.5,Unspecified nephritic syndrome - Diffuse mesangiocapillary glomerulonephritis,Overlap,NA
Glomerulonephritis,N05.6,Unspecified nephritic syndrome - Dense deposit disease,Overlap,NA
Glomerulonephritis,N05.7,Unspecified nephritic syndrome - Diffuse crescentic glomerulonephritis,Overlap,NA
Glomerulonephritis,N05.8,Unspecified nephritic syndrome - Other,Overlap,NA
Glomerulonephritis,N05.9,Unspecified nephritic syndrome - Unspecified,Overlap,NA
Glomerulonephritis,N06,Isolated proteinuria with specified morphological lesion,Cross-mapped,NA
Glomerulonephritis,N06.0,Isolated proteinuria with specified morphological lesion - Minor glomerular abnormality,Kuan,NA
Glomerulonephritis,N06.1,Isolated proteinuria with specified morphological lesion - Focal and segmental glomerular lesions,Kuan,NA
Glomerulonephritis,N06.2,Isolated proteinuria with specified morphological lesion - Diffuse membranous glomerulonephritis,Kuan,NA
Glomerulonephritis,N06.3,Isolated proteinuria with specified morphological lesion - Diffuse mesangial proliferative glomerulonephritis,Kuan,NA
Glomerulonephritis,N06.5,Isolated proteinuria with specified morphological lesion - Diffuse mesangiocapillary glomerulonephritis,Kuan,NA
Glomerulonephritis,N06.6,Isolated proteinuria with specified morphological lesion - Dense deposit disease,Kuan,NA
Glomerulonephritis,N06.8,Isolated proteinuria with specified morphological lesion - Other,Kuan,NA
Glomerulonephritis,N06.9,Isolated proteinuria with specified morphological lesion - Unspecified,Kuan,NA
Glomerulonephritis,N26,Unspecified contracted kidney,Cross-mapped,NA
Gout,M10,Gout,Overlap,NA
Gout,M10.0,Idiopathic gout,Cross-mapped,NA
Gout,M10.1,Lead-induced gout,Cross-mapped,NA
Gout,M10.2,Drug-induced gout,Cross-mapped,NA
Gout,M10.3,Gout due to impairment of renal function,Cross-mapped,NA
Gout,M10.4,Other secondary gout,Cross-mapped,NA
Gout,M10.9,"Gout, unspecified",Cross-mapped,NA
Gout,M14.0,Gouty arthropathy due to enzyme defects and other inherited disorders,Kuan,NA
Hearing loss,H83.3,Noise effects on inner ear,Cross-mapped,NA
Hearing loss,H90,Conductive and sensorineural hearing loss,Kuan,NA
Hearing loss,H90.0,"Conductive hearing loss, bilateral",Cross-mapped,NA
Hearing loss,H90.2,"Conductive hearing loss, unspecified",Cross-mapped,NA
Hearing loss,H90.3,"Sensorineural hearing loss, bilateral",Cross-mapped,NA
Hearing loss,H90.5,"Sensorineural hearing loss, unspecified",Cross-mapped,NA
Hearing loss,H90.6,"Mixed conductive and sensorineural hearing loss, bilateral",Cross-mapped,NA
Hearing loss,H90.8,"Mixed conductive and sensorineural hearing loss, unspecified",Cross-mapped,NA
Hearing loss,H91,Other hearing loss,Kuan,NA
Hearing loss,H91.0,Ototoxic hearing loss,Cross-mapped,NA
Hearing loss,H91.1,Presbycusis,Cross-mapped,NA
Hearing loss,H91.2,Sudden idiopathic hearing loss,Cross-mapped,NA
Hearing loss,H91.3,"Deaf mutism, not elsewhere classified",Cross-mapped,NA
Hearing loss,H91.8,Other specified hearing loss,Cross-mapped,NA
Hearing loss,H91.9,"Hearing loss, unspecified",Cross-mapped,NA
Hearing loss,Q16.1,"Congenital absence, atresia and stricture of auditory canal (external)",Cross-mapped,NA
Hearing loss,Q16.9,"Congenital malformation of ear causing impairment of hearing, unspecified",Cross-mapped,NA
Hearing loss,Q89.8,Other specified congenital malformations,Cross-mapped,NA
Hearing loss,S04.6,Injury of acoustic nerve,Cross-mapped,NA
Hearing loss,Z45.3,Adjustment and management of implanted hearing device,Overlap,NA
Hearing loss,Z46.1,Fitting and adjustment of hearing aid,Overlap,NA
Hearing loss,Z96.2,Presence of otological and audiological implants,Cross-mapped,NA
Hearing loss,Z97.4,Presence of external hearing-aid,Overlap,NA
Heart failure,I09.9,"Rheumatic heart disease, unspecified",Cross-mapped,NA
Heart failure,I11.0,Hypertensive heart disease with (congestive) heart failure,Kuan,NA
Heart failure,I13.0,Hypertensive heart and renal disease with (congestive) heart failure,Kuan,NA
Heart failure,I13.2,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure,Kuan,NA
Heart failure,I26.0,Pulmonary embolism with mention of acute cor pulmonale,Cross-mapped,NA
Heart failure,I27.9,"Pulmonary heart disease, unspecified",Cross-mapped,NA
Heart failure,I42.0,Dilated cardiomyopathy,Cross-mapped,NA
Heart failure,I50,Heart failure,Kuan,NA
Heart failure,I50.0,Congestive heart failure,Cross-mapped,NA
Heart failure,I50.1,Left ventricular failure,Cross-mapped,NA
Heart failure,I50.9,"Heart failure, unspecified",Cross-mapped,NA
Heart failure,I51.8,Other ill-defined heart diseases,Cross-mapped,NA
Heart failure,P29.0,Neonatal cardiac failure,Cross-mapped,NA
Heart valve disease non-rheumatic,I05,Rheumatic mitral valve diseases,Cross-mapped,NA
Heart valve disease non-rheumatic,I05.0,Mitral stenosis,Cross-mapped,NA
Heart valve disease non-rheumatic,I05.2,Mitral stenosis with insufficiency,Cross-mapped,NA
Heart valve disease non-rheumatic,I05.8,Other mitral valve diseases,Cross-mapped,NA
Heart valve disease non-rheumatic,I05.9,"Mitral valve disease, unspecified",Cross-mapped,NA
Heart valve disease non-rheumatic,I06.8,Other rheumatic aortic valve diseases,Cross-mapped,NA
Heart valve disease non-rheumatic,I07.0,Tricuspid stenosis,Cross-mapped,NA
Heart valve disease non-rheumatic,I07.1,Tricuspid insufficiency,Cross-mapped,NA
Heart valve disease non-rheumatic,I07.2,Tricuspid stenosis with insufficiency,Cross-mapped,NA
Heart valve disease non-rheumatic,I07.8,Other tricuspid valve diseases,Cross-mapped,NA
Heart valve disease non-rheumatic,I08,Multiple valve diseases,Overlap,NA
Heart valve disease non-rheumatic,I08.0,Disorders of both mitral and aortic valves,Cross-mapped,NA
Heart valve disease non-rheumatic,I08.1,Disorders of both mitral and tricuspid valves,Cross-mapped,NA
Heart valve disease non-rheumatic,I08.2,Disorders of both aortic and tricuspid valves,Cross-mapped,NA
Heart valve disease non-rheumatic,I08.3,"Combined disorders of mitral, aortic and tricuspid valves",Cross-mapped,NA
Heart valve disease non-rheumatic,I08.9,"Multiple valve disease, unspecified",Cross-mapped,NA
Heart valve disease non-rheumatic,I34,Nonrheumatic mitral valve disorders,Kuan,NA
Heart valve disease non-rheumatic,I34.0,Mitral (valve) insufficiency,Cross-mapped,NA
Heart valve disease non-rheumatic,I34.1,Mitral (valve) prolapse,Cross-mapped,NA
Heart valve disease non-rheumatic,I34.8,Other nonrheumatic mitral valve disorders,Cross-mapped,NA
Heart valve disease non-rheumatic,I34.9,"Nonrheumatic mitral valve disorder, unspecified",Cross-mapped,NA
Heart valve disease non-rheumatic,I35,Nonrheumatic aortic valve disorders,Overlap,NA
Heart valve disease non-rheumatic,I35.0,Aortic (valve) stenosis,Cross-mapped,NA
Heart valve disease non-rheumatic,I35.1,Aortic (valve) insufficiency,Cross-mapped,NA
Heart valve disease non-rheumatic,I35.2,Aortic (valve) stenosis with insufficiency,Cross-mapped,NA
Heart valve disease non-rheumatic,I35.8,Other aortic valve disorders,Cross-mapped,NA
Heart valve disease non-rheumatic,I35.9,"Aortic valve disorder, unspecified",Cross-mapped,NA
Heart valve disease non-rheumatic,I36,Nonrheumatic tricuspid valve disorders,Cross-mapped,NA
Heart valve disease non-rheumatic,I36.0,Nonrheumatic tricuspid (valve) stenosis,Cross-mapped,NA
Heart valve disease non-rheumatic,I36.1,Nonrheumatic tricuspid (valve) insufficiency,Cross-mapped,NA
Heart valve disease non-rheumatic,I36.2,Nonrheumatic tricuspid (valve) stenosis with insufficiency,Cross-mapped,NA
Heart valve disease non-rheumatic,I36.9,"Nonrheumatic tricuspid valve disorder, unspecified",Cross-mapped,NA
Hidradenitis suppurativa,L73.2,Hidradenitis suppurativa,Overlap,NA
HIV,B20,Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases,Kuan,NA
HIV,B20.0,HIV disease resulting in mycobacterial infection,Cross-mapped,NA
HIV,B20.1,HIV disease resulting in other bacterial infections,Cross-mapped,NA
HIV,B20.2,HIV disease resulting in cytomegaloviral disease,Cross-mapped,NA
HIV,B20.3,HIV disease resulting in other viral infections,Cross-mapped,NA
HIV,B20.4,HIV disease resulting in candidiasis,Cross-mapped,NA
HIV,B20.5,HIV disease resulting in other mycoses,Cross-mapped,NA
HIV,B20.6,HIV disease resulting in Pneumocystis jirovecii pneumonia,Cross-mapped,NA
HIV,B20.7,HIV disease resulting in multiple infections,Cross-mapped,NA
HIV,B21,Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms,Kuan,NA
HIV,B21.0,HIV disease resulting in Kaposi sarcoma,Cross-mapped,NA
HIV,B21.1,HIV disease resulting in Burkitt lymphoma,Cross-mapped,NA
HIV,B21.2,HIV disease resulting in other types of non-Hodgkin lymphoma,Cross-mapped,NA
HIV,B21.7,HIV disease resulting in multiple malignant neoplasms,Cross-mapped,NA
HIV,B21.8,HIV disease resulting in other malignant neoplasms,Cross-mapped,NA
HIV,B21.9,HIV disease resulting in unspecified malignant neoplasm,Cross-mapped,NA
HIV,B22,Human immunodeficiency virus [HIV] disease resulting in other specified diseases,Kuan,NA
HIV,B22.0,HIV disease resulting in encephalopathy,Cross-mapped,NA
HIV,B22.1,HIV disease resulting in lymphoid interstitial pneumonitis,Cross-mapped,NA
HIV,B22.2,HIV disease resulting in wasting syndrome,Cross-mapped,NA
HIV,B23,Human immunodeficiency virus [HIV] disease resulting in other conditions,Kuan,NA
HIV,B23.0,Acute HIV infection syndrome,Cross-mapped,NA
HIV,B23.8,HIV disease resulting in other specified conditions,Cross-mapped,NA
HIV,B24,Unspecified human immunodeficiency virus [HIV] disease,Overlap,NA
HIV,F02.4,Dementia in human immunodeficiency virus [HIV] disease,Kuan,NA
HIV,R75,Laboratory evidence of human immunodeficiency virus [HIV],Overlap,NA
HIV,Z21,Asymptomatic human immunodeficiency virus [HIV] infection status,Overlap,NA
HIV,Z71.7,Human immunodeficiency virus [HIV] counselling,Cross-mapped,NA
Hodgkin Lymphoma,C81,Hodgkin lymphoma,Kuan,NA
Hodgkin Lymphoma,C81.0,Nodular lymphocyte predominant Hodgkin lymphoma,Cross-mapped,NA
Hodgkin Lymphoma,C81.1,Nodular sclerosis (classical) Hodgkin lymphoma,Cross-mapped,NA
Hodgkin Lymphoma,C81.2,Mixed cellularity (classical) Hodgkin lymphoma,Cross-mapped,NA
Hodgkin Lymphoma,C81.3,Lymphocyte depleted (classical) Hodgkin lymphoma,Cross-mapped,NA
Hodgkin Lymphoma,C81.4,Lymphocyte-rich (classical) Hodgkin lymphoma,Cross-mapped,NA
Hodgkin Lymphoma,C81.7,Other (classical) Hodgkin lymphoma,Cross-mapped,NA
Hodgkin Lymphoma,C81.9,"Hodgkin lymphoma, unspecified",Cross-mapped,NA
Hodgkin Lymphoma,Z85.7,"Personal history of other malignant neoplasms of lymphoid, haematopoietic and related tissues",Cross-mapped,NA
Hyperparathyroidism,E21.0,Primary hyperparathyroidism,Overlap,NA
Hyperparathyroidism,E21.1,Secondary hyperparathyroidism not elsewhere classified,Overlap,NA
Hyperparathyroidism,E21.2,Other hyperparathyroidism,Overlap,NA
Hyperparathyroidism,E21.3,Hyperparathyroidism unspecified,Overlap,NA
Hyperparathyroidism,E34.2,"Ectopic hormone secretion, not elsewhere classified",Cross-mapped,NA
Hyperplasia of prostate,N40,Hyperplasia of prostate,Overlap,NA
Hyperprolactinaemia and prolactinoma,E22.1,Hyperprolactinaemia,New code list,NA
Hypertension,E26.0,Primary hyperaldosteronism,Cross-mapped,NA
Hypertension,E26.9,"Hyperaldosteronism, unspecified",Cross-mapped,NA
Hypertension,H35.0,Background retinopathy and retinal vascular changes,Cross-mapped,NA
Hypertension,H44.8,Other disorders of globe,Cross-mapped,NA
Hypertension,I10,Essential (primary) hypertension,Overlap,NA
Hypertension,I11,Hypertensive heart disease,Kuan,NA
Hypertension,I11.9,Hypertensive heart disease without (congestive) heart failure,Cross-mapped,NA
Hypertension,I12,Hypertensive renal disease,Kuan,NA
Hypertension,I12.0,Hypertensive renal disease with renal failure,Cross-mapped,NA
Hypertension,I12.9,Hypertensive renal disease without renal failure,Cross-mapped,NA
Hypertension,I13,Hypertensive heart and renal disease,Kuan,NA
Hypertension,I13.1,Hypertensive heart and renal disease with renal failure,Cross-mapped,NA
Hypertension,I13.9,"Hypertensive heart and renal disease, unspecified",Cross-mapped,NA
Hypertension,I15,Secondary hypertension,Kuan,NA
Hypertension,I15.0,Renovascular hypertension,Cross-mapped,NA
Hypertension,I15.1,Hypertension secondary to other renal disorders,Cross-mapped,NA
Hypertension,I15.2,Hypertension secondary to endocrine disorders,Cross-mapped,NA
Hypertension,I15.8,Other secondary hypertension,Cross-mapped,NA
Hypertension,I15.9,"Secondary hypertension, unspecified",Cross-mapped,NA
Hypertension,I67.4,Hypertensive encephalopathy,Cross-mapped,NA
Hypertension,O10.9,"Unspecified pre-existing hypertension complicating pregnancy, childbirth and the puerperium",Cross-mapped,NA
Hypertension,O11,Pre-eclampsia superimposed on chronic hypertension,Cross-mapped,NA
Hypertension,Y52.5,"Other antihypertensive drugs, not elsewhere classified",Cross-mapped,NA
Hypertrophic Cardiomyopathy,I42.1,Obstructive hypertrophic cardiomyopathy,Overlap,NA
Hypertrophic Cardiomyopathy,I42.2,Other hypertrophic cardiomyopathy,Overlap,NA
Hypertrophy of nasal turbinates,J34.2,Deviated nasal septum,Cross-mapped,NA
Hypertrophy of nasal turbinates,J34.3,Hypertrophy of nasal turbinates,Overlap,NA
Hyposplenism,D73.0,Hyposplenism,Overlap,NA
Hyposplenism,D73.5,Infarction of spleen,Overlap,NA
Hyposplenism,D73.8,Other diseases of spleen,Cross-mapped,NA
Hyposplenism,Q89.0,Congenital malformations of spleen,Cross-mapped,NA
Immunodeficiencies,D80,Immunodeficiency with predominantly antibody defects,Kuan,NA
Immunodeficiencies,D80.0,Hereditary hypogammaglobulinaemia,Cross-mapped,NA
Immunodeficiencies,D80.1,Nonfamilial hypogammaglobulinaemia,Cross-mapped,NA
Immunodeficiencies,D80.2,Selective deficiency of immunoglobulin A [IgA],Cross-mapped,NA
Immunodeficiencies,D80.3,Selective deficiency of immunoglobulin G [IgG] subclasses,Cross-mapped,NA
