prodcode,CodingSystem,productname,gemscriptcode
1640,prodcode,Kapake 30mg/500mg tablets (Galen Ltd),53130020
1688,prodcode,Indocid 50mg capsules (Merck Sharp & Dohme Ltd),49933020
1689,prodcode,Paracetamol 120mg/5ml oral suspension sugar free,69387020
1692,prodcode,Diclofenac sodium 50mg gastro-resistant / Misoprostol 200microgram tablets,74349020
1708,prodcode,Codafen Continus tablets (Napp Pharmaceuticals Ltd),54315020
1739,prodcode,Brufen 400mg tablets (Mylan),53998020
1755,prodcode,Piroxicam 20mg capsules,65859020
1757,prodcode,Choline Mg trisalicylate 500mg tablets,69012020
1762,prodcode,Dextropropoxyphene HCl with paracetamol 32.5mg with 325mg tablets,64851020
1778,prodcode,Surgam 300mg Tablet (Sanofi),51746020
1862,prodcode,Paracetamol 500mg/5ml oral suspension sugar free,69389020
1865,prodcode,PARACETAMOL 1 GM TAB,06596007
1866,prodcode,Naprosyn 500mg tablets (Atnahs Pharma UK Ltd),57763020
1946,prodcode,PARACETAMOL 500 MG SUP,02139007
1983,prodcode,Mefenamic acid 250mg Dispersible tablet,64363020
1999,prodcode,Paracetamol 125mg suppositories,73000020
2034,prodcode,Alvedon 125mg suppositories (Intrapharm Laboratories Ltd),58882020
2040,prodcode,Remedeine tablets (Crescent Pharma Ltd),55873020
2041,prodcode,Dihydrocodeine 60mg modified-release tablets,62548020
2047,prodcode,Co-codaprin 8mg with 400mg tablets,55578020
2055,prodcode,Paracetamol 120mg/5ml oral solution paediatric,58933020
2129,prodcode,Brufen retard tabs 800mg Modified-release tablet (Abbott Laboratories Ltd),68365020
2200,prodcode,Indometacin 25mg modified-release capsules,80094020
2211,prodcode,Solpadol 30mg/500mg effervescent tablets (Sanofi),73727020
2234,prodcode,Nabumetone 500mg tablets,68000020
2235,prodcode,Relifex 500mg tablets (Meda Pharmaceuticals Ltd),67974020
2237,prodcode,Benorilate 750mg tablets,64100020
2243,prodcode,Meloxicam 7.5mg tablets,81614020
2250,prodcode,CODEINE & PARACETAMOL TAB,06150007
2257,prodcode,Surgam SA 300mg capsules (Sanofi),67923020
2258,prodcode,Emflex 60mg capsules (Merck Serono Ltd),53285020
2288,prodcode,Naprosyn 250mg tablets (Atnahs Pharma UK Ltd),57757020
2344,prodcode,Paracetamol 120mg suppositories,72999020
2363,prodcode,Dolobid 250mg tablets (Merck Sharp & Dohme Ltd),49076020
2366,prodcode,Flurbiprofen 100mg tablets,62062020
2367,prodcode,Pentazocine 25mg tablets,65564020
2382,prodcode,Tiaprofenic acid 300mg modified-release capsules,50009020
2386,prodcode,Voltarol Retard 100mg tablets (Novartis Pharmaceuticals UK Ltd),53298020
2387,prodcode,Arthrotec 75 gastro-resistant tablets (Pfizer Ltd),81620020
2391,prodcode,NAPROXEN 250 MG CAP,04699007
2450,prodcode,Pethidine 50mg tablets,69167020
2462,prodcode,Cosalgesic Tablet (Actavis UK Ltd),64854020
2463,prodcode,Piroxicam 10mg dispersible tablets,68349020
2525,prodcode,Amitriptyline 75mg modified-release capsules,60224020
2546,prodcode,PARACETAMOL SOLUBLE TAB,02141007
2555,prodcode,Dihydrocodeine with paracetamol 10mg+500mg tablets,50340020
2576,prodcode,Econacort cream (Bristol-Myers Squibb Pharmaceuticals Ltd),53047020
2586,prodcode,Disprol 120mg/5ml Oral suspension (Reckitt Benckiser Healthcare (UK) Ltd),57029020
2606,prodcode,Ketoprofen 2.5% gel,67624020
2622,prodcode,Ibuprofen 800mg tablets,68109020
2671,prodcode,Indometacin 50mg modified-release tablets,63546020
2693,prodcode,Proflex 5% cream (Novartis Consumer Health UK Ltd),72463020
2698,prodcode,CODEINE & PARACETAMOL 8 MG TAB,06691007
2794,prodcode,Co-codamol 30mg/500mg tablets (Wockhardt UK Ltd),49325020
2800,prodcode,Panadol 500mg Soluble tablet (GlaxoSmithKline Consumer Healthcare),54181020
2827,prodcode,Feldene 10mg dispersible tablets (Pfizer Ltd),55305020
2846,prodcode,Paracetamol 500mg with codeine phosphate 30mg effervescent tablet,65994020
2858,prodcode,Feldene 0.5% gel (Pfizer Ltd),70323020
2863,prodcode,Tiaprofenic acid 300mg tablets,67057020
2904,prodcode,Diclofenac sodium 75mg gastro-resistant modified-release capsules,75877020
2917,prodcode,Paracetamol 500mg with codeine phosphate 30 mg tablet,65993020
2936,prodcode,Motival 10mg/500microgram tablets (Sanofi),57463020
2938,prodcode,Ibuprofen 100mg/5ml Oral suspension,63503020
2957,prodcode,MST Continus 30mg tablets (Napp Pharmaceuticals Ltd),50522020
2966,prodcode,Pethidine 50mg/ml injection,51090020
2985,prodcode,Lentizol 50mg modified-release capsules (Pfizer Ltd),55410020
2988,prodcode,CODEINE PHOSPHATE 15 MG ELI,06690007
2997,prodcode,Oramorph sr 10mg Tablet (Boehringer Ingelheim Ltd),75362020
2998,prodcode,PARACETAM/DYHYDROCODEINE(500MG/30MG) MG TAB,03895007
3029,prodcode,CO-CODAMOL EFF 30MG/500MG TAB,06657007
3043,prodcode,Ketoprofen 200mg modified-release capsules,69512020
3053,prodcode,Naproxen 500mg gastro-resistant tablets,74065020
3074,prodcode,Paracetamol 120mg soluble tablets sugar free,57015020
3077,prodcode,Oruvail 2.5% gel (Sanofi),67651020
3156,prodcode,Solpadol 30mg/500mg caplets (Sanofi),73728020
3165,prodcode,Diamorphine 10mg Injection (Manufacturer unknown),70490020
3168,prodcode,Indometacin 25mg/5ml oral suspension sugar free,63544020
3170,prodcode,Meloxicam 15mg suppositories,81649020
3182,prodcode,Froben 50mg tablets (Abbott Laboratories Ltd),49559020
3185,prodcode,Paracetamol 500mg with codeine phosphate 30mg capsule,68499020
3216,prodcode,Indometacin 25mg modified-release tablets,67393020
3239,prodcode,Meptazinol 200mg tablets,69566020
3266,prodcode,Flurbiprofen 50mg tablets,62061020
3272,prodcode,PARACETAM/DYHYDROCODEINE(500MG/20MG) TAB,03095007
3275,prodcode,Benoral 2g/5ml oral suspension (Sanofi-Synthelabo Ltd),52400020
3311,prodcode,Etodolac 200mg capsules,60932020
3313,prodcode,Calpol six plus 250mg/5ml Oral suspension sugar free (McNeil Products Ltd),55058020
3316,prodcode,Disprol Paracetamol 120mg soluble tablets (Reckitt Benckiser Healthcare (UK) Ltd),57030020
3378,prodcode,Tramadol 50mg soluble tablets sugar free,75788020
3409,prodcode,Feldene 20mg Orodispersible tablet (Pfizer Ltd),55307020
3416,prodcode,Diclofenac sodium 100mg modified-release tablets,83823020
3431,prodcode,Naproxen 250mg gastro-resistant tablets,74064020
3432,prodcode,Naproxen 375mg gastro-resistant tablets,74066020
3435,prodcode,Tylex 30mg/500mg effervescent tablets (UCB Pharma Ltd),68283020
3492,prodcode,Diflunisal 500mg tablets,62516020
3496,prodcode,Nycopren 250mg gastro-resistant tablets (Ardern Healthcare Ltd),74060020
3597,prodcode,Nurofen 200mg Soluble tablet (Crookes Healthcare Ltd),73682020
3599,prodcode,Ibuprofen 600mg effervescent granules sachets,50929020
3644,prodcode,Zydol SR 100mg tablets (Grunenthal Ltd),79957020
3653,prodcode,Dihydrocodeine 50mg/1ml solution for injection ampoules,72309020
3698,prodcode,Df118 40mg Tablet (Martindale Pharmaceuticals Ltd),52618020
3710,prodcode,Piroxicam 20mg dispersible tablets,68350020
3713,prodcode,Medocodene Tablet (Manufacturer unknown),66034020
3714,prodcode,DEXTROPROPOXYPHENE NAPSYLATE/PARACETAMOL MG TAB,06705007
3724,prodcode,Migraleve Yellow tablets (McNeil Products Ltd),84215020
3794,prodcode,Acupan 30mg Tablet (3M Health Care Ltd),48022020
3817,prodcode,Synflex 275mg tablets (Roche Products Ltd),57767020
3897,prodcode,Sulindac 100mg tablets,66832020
3899,prodcode,Dolobid 500mg tablets (Merck Sharp & Dohme Ltd),49077020
3901,prodcode,Naprosyn EC 500mg tablets (Atnahs Pharma UK Ltd),67332020
3919,prodcode,Sevredol 10mg tablets (Napp Pharmaceuticals Ltd),74003020
3935,prodcode,Feldene 20 capsules (Pfizer Ltd),49420020
3958,prodcode,Diclofenac 25mg suppositories,76044020
3972,prodcode,Naprosyn EC 250mg tablets (Atnahs Pharma UK Ltd),67330020
3974,prodcode,Tenoxicam 20mg tablets,69415020
3990,prodcode,Dextromoramide 5mg tablets,62391020
4016,prodcode,Nefopam 30mg tablets,64959020
4043,prodcode,Froben sr 200mg Modified-release capsule (Abbott Laboratories Ltd),68387020
4045,prodcode,Naprosyn EC 375mg tablets (Atnahs Pharma UK Ltd),67331020
4114,prodcode,Tramadol 100mg modified-release capsules,79974020
4115,prodcode,Tramadol 100mg modified-release tablets,79961020
4118,prodcode,Nortriptyline 10mg Capsule,65157020
4149,prodcode,PROTRIPTYLINE HCl 10 MG TAB,03583007
4186,prodcode,Paracetamol 250mg/5ml oral suspension sugar free,69388020
4196,prodcode,Paracetamol 240mg suppositories,82136020
4203,prodcode,Medised Liquid (SSL International Plc),71664020
4216,prodcode,Brufen 600mg tablets (Mylan),54001020
4236,prodcode,Palfium 5mg tablets (Roche Products Ltd),56382020
4266,prodcode,Morphine 10mg tablets,74008020
4280,prodcode,MST Continus 5mg tablets (Napp Pharmaceuticals Ltd),50530020
4298,prodcode,Nurofen 200mg Tablet (Crookes Healthcare Ltd),73681020
4309,prodcode,Ibuprofen lysine 200mg tablets,86342020
4319,prodcode,Benorilate 2g/5ml oral suspension sugar free,64101020
4320,prodcode,Naprosyn 125mg/5ml oral suspension (Roche Products Ltd),57758020
4349,prodcode,PARACETAMOL & CODEINE TAB,04615007
4368,prodcode,Lodine 200mg Capsule (Shire Pharmaceuticals Ltd),58036020
4369,prodcode,Galcodine 3mg/5ml Oral solution (Thornton & Ross Ltd),70344020
4469,prodcode,Fenoprofen 300mg tablets,61813020
4476,prodcode,MST Continus Suspension 60mg granules sachets (Napp Pharmaceuticals Ltd),75448020
4477,prodcode,MST Continus 60mg tablets (Napp Pharmaceuticals Ltd),50523020
4487,prodcode,CAFFEINE CITRATE/CODEINE PHOSPHATE/PARAC 15 MG TAB,02985007
4506,prodcode,Volsaid Retard 75 tablets (Chiesi Ltd),80722020
4556,prodcode,Paramol tablets (SSL International Plc),50988020
4564,prodcode,Fenoprofen 200mg Tablet,61812020
4565,prodcode,Fenoprofen 600mg tablets,61814020
4600,prodcode,Chlormezanone with paracetamol tablets,61193020
4607,prodcode,Co-proxamol 32.5/325 Tablet (Dista Products Ltd),58599020
4625,prodcode,Voltarol 75mg SR tablets (Novartis Pharmaceuticals UK Ltd),83774020
4631,prodcode,Voltarol 50mg gastro-resistant tablets (Novartis Pharmaceuticals UK Ltd),83710020
4633,prodcode,Paracetamol 120mg/5ml oral solution paediatric sugar free,80440020
4671,prodcode,Codeine phosphate 30mg with Paracetamol 500mg capsules,68504020
4682,prodcode,Amitriptyline 50mg modified-release capsules,60223020
4691,prodcode,Fentanyl 100micrograms/hour transdermal patches,76090020
4692,prodcode,Dicloflex 50mg gastro-resistant tablets (Dexcel-Pharma Ltd),50465020
4693,prodcode,Oramorph 10mg/5ml oral solution unit dose vials (Boehringer Ingelheim Ltd),68360020
4710,prodcode,Mefenamic acid 250mg Capsule (Actavis UK Ltd),49999020
4713,prodcode,Voltarol 75mg/3ml solution for injection ampoules (Novartis Pharmaceuticals UK Ltd),83756020
4731,prodcode,Nurofen for children 100mg/5ml Oral suspension (Reckitt Benckiser Healthcare (UK) Ltd),86753020
4762,prodcode,Ibuleve Sports 5% gel (Dendron Ltd),59639020
4805,prodcode,Codeine phosphate 15mg/5ml diabetic oral solution,59907020
4806,prodcode,Voltarol 100mg suppositories (Novartis Pharmaceuticals UK Ltd),83744020
4823,prodcode,Dihydrocodeine 40mg tablets,62540020
4834,prodcode,Tramadol 150mg modified-release capsules,79975020
4880,prodcode,Diclofenac sodium 75mg gastro-resistant / Misoprostol 200microgram tablets,74350020
4911,prodcode,Ibuprofen 400mg Granules,80143020
4950,prodcode,Dihydrocodeine with paracetamol 30mg+500mg tablets,62545020
4965,prodcode,Piroxicam 20mg orodispersible tablets sugar free,65860020
4999,prodcode,Tramadol 24 Modified-release tablet,82219020
5028,prodcode,Tramadol 24 Modified-release tablet,82220020
5048,prodcode,Durogesic 50micrograms transdermal patches (Janssen-Cilag Ltd),76081020
5079,prodcode,Diamorphine hydrochloride 5mg powder for injection solution,59881020
5080,prodcode,Celebrex 200mg capsules (Pfizer Ltd),81598020
5085,prodcode,Voltarol Rapid 50mg tablets (Novartis Pharmaceuticals UK Ltd),82739020
5137,prodcode,Hydromorphone 2.6mg capsules,84396020
5138,prodcode,Hydromorphone 1.3mg capsules,84397020
5169,prodcode,Zydol SR 200mg tablets (Grunenthal Ltd),79959020
5173,prodcode,Dexketoprofen 25mg tablets,67445020
5175,prodcode,Celebrex 100mg capsules (Pfizer Ltd),81597020
5200,prodcode,Voltarol 50mg suppositories (Novartis Pharmaceuticals UK Ltd),83742020
5239,prodcode,Paracetamol 1g oral powder sachets,82146020
5243,prodcode,Paracetamol 500mg suppositories,73001020
5254,prodcode,Celecoxib 200mg capsules,79024020
5257,prodcode,Tramadol 12 Modified-release tablet,79962020
5266,prodcode,Lodine sr 600mg Modified-release tablet (Shire Pharmaceuticals Ltd),75111020
5268,prodcode,Naproxen 500mg modified-release tablets,74184020
5323,prodcode,Paracetamol 250mg suppositories,82138020
5401,prodcode,Voltarol Rapid 25mg tablets (Novartis Pharmaceuticals UK Ltd),82738020
5407,prodcode,Naproxen 125mg/5ml oral suspension,64942020
5455,prodcode,Etodolac 600mg modified-release tablets,75114020
5482,prodcode,Sulindac 200mg tablets,66833020
5498,prodcode,Propain caplet (Sankyo Pharma UK Ltd),71764020
5555,prodcode,Sevredol 10mg/5ml oral solution (Napp Pharmaceuticals Ltd),76946020
5563,prodcode,Morphine sulphate 12 20mg Modified-release capsule,83126020
5585,prodcode,Oxycodone 10mg capsules,80383020
5599,prodcode,OxyContin 10mg modified-release tablets (Napp Pharmaceuticals Ltd),76934020
5648,prodcode,Ibuprofen 200mg orodispersible tablets sugar free,80145020
5651,prodcode,Fentanyl 400microgram lozenges,76092020
5652,prodcode,Morphine sulphate 12 50mg Modified-release capsule,83127020
5657,prodcode,Durogesic 75micrograms transdermal patches (Janssen-Cilag Ltd),76082020
5664,prodcode,Morphine hydrochloride 15mg suppositories,55627020
5668,prodcode,Diamorphine hydrochloride 30mg powder for injection solution,59883020
5670,prodcode,Diamorphine hydrochloride 10mg powder for injection solution,59882020
5681,prodcode,Morphine 10mg modified-release tablets,64805020
5685,prodcode,Syndol easy to swallow Tablet (SSL International Plc),85209020
5696,prodcode,Fentanyl 600microgram lozenges,77203020
5697,prodcode,Fentanyl 800microgram lozenges,77204020
5714,prodcode,MST Continus 15mg tablets (Napp Pharmaceuticals Ltd),56809020
5812,prodcode,Etoricoxib 90mg tablets,77854020
5833,prodcode,Cyclimorph 10 solution for injection 1ml ampoules (AMCo),58643020
5840,prodcode,Morphine sulfate 10mg/5ml oral solution,68485020
5843,prodcode,Oxycodone 10mg modified-release tablets,79350020
5936,prodcode,Transtec 35micrograms/hour transdermal patches (Napp Pharmaceuticals Ltd),80250020
5938,prodcode,Etoricoxib 120mg tablets,84667020
5955,prodcode,Paracetamol 500mg / Dihydrocodeine 30mg tablets,76478020
5991,prodcode,MST Continus 100mg tablets (Napp Pharmaceuticals Ltd),50528020
6002,prodcode,Morphine 10mg modified-release capsules,79867020
6040,prodcode,Transtec 52.5micrograms/hour transdermal patches (Napp Pharmaceuticals Ltd),84669020
6153,prodcode,Zydol SR 150mg tablets (Grunenthal Ltd),79958020
6181,prodcode,Transtec 70micrograms/hour transdermal patches (Napp Pharmaceuticals Ltd),84671020
6215,prodcode,Tramadol 200mg modified-release capsules,79982020
6226,prodcode,Aspirin 500mg / Papaveretum 7.71mg dispersible tablets sugar free,70312020
6232,prodcode,Sevredol 20mg tablets (Napp Pharmaceuticals Ltd),74004020
6234,prodcode,Dihydrocodeine 120mg modified-release tablets,62550020
6249,prodcode,Froben 100mg tablets (Abbott Laboratories Ltd),49560020
6269,prodcode,Morphine sulfate 20mg/ml oral solution sugar free,72523020
6298,prodcode,Fentanyl 75micrograms/hour transdermal patches,76087020
6366,prodcode,Sevredol 50mg tablets (Napp Pharmaceuticals Ltd),73519020
6414,prodcode,Oxycodone hydrochloride 10mg/ml injection,83857020
6458,prodcode,Diamorphine hydrochloride 500mg powder for injection solution,59889020
6459,prodcode,Diamorphine hydrochloride 100mg powder for injection solution,59888020
6464,prodcode,Arcoxia 60mg tablets (Grunenthal Ltd),84678020
6498,prodcode,Arcoxia 90mg tablets (Grunenthal Ltd),77845020
6557,prodcode,OxyNorm 5mg capsules (Napp Pharmaceuticals Ltd),80388020
6558,prodcode,Tramadol 37.5mg / Paracetamol 325mg tablets,87618020
6571,prodcode,Paracetamol 240mg oral powder sachets sugar free,58934020
6584,prodcode,Lyrica 75mg capsules (Pfizer Ltd),88052020
6608,prodcode,Oxycodone 20mg modified-release tablets,79351020
6609,prodcode,Oxycodone 5mg/5ml oral solution sugar free,76930020
6631,prodcode,Pregabalin 150mg capsules,88042020
6699,prodcode,Paracetamol 60mg suppositories,82137020
6708,prodcode,Oxycodone 40mg modified-release tablets,79352020
6736,prodcode,Morphine 20mg modified-release granules sachets sugar free,56798020
6769,prodcode,Oxycodone 5mg modified-release tablets,73071020
6790,prodcode,Oxycodone 5mg capsules,80382020
6853,prodcode,Ibutop Ralgex Ibuprofen 5% gel (SSL International Plc),83599020
6879,prodcode,Buprenorphine 35micrograms/hour transdermal patches,83959020
6886,prodcode,Codeine phosphate 30mg with paracetamol 500mg tablets,61569020
6892,prodcode,Morphine sulphate 10mg/ml Injection,59712020
6917,prodcode,Buprenorphine 52.5micrograms/hour transdermal patches,78619020
6936,prodcode,Pregabalin 50mg capsules,88036020
6948,prodcode,Oxycodone 80mg modified-release tablets,76929020
6949,prodcode,Pregabalin 200mg capsules,88044020
6999,prodcode,Pregabalin 100mg capsules,88040020
7005,prodcode,Pregabalin 300mg capsules,88046020
7058,prodcode,Calprofen 100mg/5ml Oral suspension (McNeil Products Ltd),83707020
7063,prodcode,Co-dydramol 10mg/500mg/5ml oral suspension,89000020
7072,prodcode,Co-codamol 15mg/500mg tablets,78380020
7082,prodcode,Durogesic DTrans 25micrograms transdermal patches (Janssen-Cilag Ltd),88867020
7104,prodcode,Kapake 30mg/500mg effervescent tablets (Galen Ltd),87756020
7107,prodcode,Durogesic DTrans 50micrograms transdermal patches (Janssen-Cilag Ltd),88869020
7114,prodcode,Diamorphine 3mg/5ml oral solution,70367020
7126,prodcode,Fentanyl 12micrograms/hour transdermal patches,89905020
7167,prodcode,OxyContin 5mg modified-release tablets (Napp Pharmaceuticals Ltd),73078020
7197,prodcode,Morphine sulphate 12 30mg Modified-release capsule,79868020
7205,prodcode,Panadol 500mg capsules (GlaxoSmithKline Consumer Healthcare),54172020
7208,prodcode,Lyrica 100mg capsules (Pfizer Ltd),88054020
7209,prodcode,Lyrica 50mg capsules (Pfizer Ltd),88050020
7236,prodcode,Buprenorphine 10micrograms/hour transdermal patches,89596020
7238,prodcode,Buprenorphine 20micrograms/hour transdermal patches,89598020
7275,prodcode,Oxycodone 20mg capsules,80384020
7334,prodcode,Buprenorphine 5micrograms/hour transdermal patches,89594020
7372,prodcode,OxyNorm 20mg capsules (Napp Pharmaceuticals Ltd),73057020
7389,prodcode,OxyContin 20mg modified-release tablets (Napp Pharmaceuticals Ltd),76935020
7394,prodcode,Lyrica 200mg capsules (Pfizer Ltd),88058020
7397,prodcode,Durogesic DTrans 75micrograms transdermal patches (Janssen-Cilag Ltd),88871020
7406,prodcode,OxyNorm 10mg/ml concentrate oral solution (Napp Pharmaceuticals Ltd),80387020
7424,prodcode,Fenbufen 300mg capsules,61799020
7426,prodcode,Lederfen 300mg Capsule (Wyeth Pharmaceuticals),50135020
7432,prodcode,Oruvail IM 100mg/2ml solution for injection ampoules (Sanofi),74128020
7434,prodcode,Clinoril 100mg tablets (Merck Sharp & Dohme Ltd),48703020
7450,prodcode,Pentazocine 15mg with paracetamol 500mg tablet,65567020
7457,prodcode,Temgesic 0.3mg/ml Injection (Reckitt Benckiser Healthcare (UK) Ltd),51847020
7458,prodcode,DICLOFENAC SODIUM (3ML) 25 MG/ML INJ,02704007
7469,prodcode,Df118 10mg/5ml Oral solution (Martindale Pharmaceuticals Ltd),52617020
7481,prodcode,Lederfen 450mg Tablet (Wyeth Pharmaceuticals),50136020
7483,prodcode,Butazolidin 100mg Tablet (Novartis Pharmaceuticals UK Ltd),65708020
7488,prodcode,Acupan 20mg/1ml solution for injection ampoules (3M Health Care Ltd),48023020
7489,prodcode,Panadol baby & infant 120mg/5ml Oral suspension (GlaxoSmithKline Consumer Healthcare),54176020
7490,prodcode,Froben 100mg suppositories (Abbott Laboratories Ltd),49561020
7499,prodcode,Calpol extra Tablet (Warner Lambert UK Ltd),66452020
7517,prodcode,Morphine sulfate 15mg suppositories,59813020
7522,prodcode,Lederfen 300mg Tablet (Wyeth Pharmaceuticals),50134020
7524,prodcode,Feldene 20mg dispersible tablets (Pfizer Ltd),55306020
7534,prodcode,Benylin with Codeine oral solution (Pfizer Consumer Healthcare Ltd),48372020
7535,prodcode,Nurofen 200mg Capsule (Crookes Healthcare Ltd),85652020
7542,prodcode,Codeine phosphate 8mg with paracetamol 500mg tablets,61567020
7555,prodcode,BuTrans 5micrograms/hour transdermal patches (Napp Pharmaceuticals Ltd),89600020
7621,prodcode,PARACETAMOL 300 MG TAB,04619007
7650,prodcode,PARACETAMOL 125 MG ELI,05731007
7667,prodcode,Diclofenac 12.5mg suppositories,62461020
7668,prodcode,PARACETAMOL 250 MG TAB,05733007
7678,prodcode,Nortriptyline 25mg Capsule,65158020
7696,prodcode,PARACETAMOL 500MG/CODEINE 10MG MG TAB,06703007
7729,prodcode,Morphine hcl Oral solution (Thornton and Ross Ltd),50127020
7755,prodcode,Concordin 10 Tablet (Merck Sharp & Dohme Ltd),57970020
7756,prodcode,Protriptyline 5mg tablet,66327020
7769,prodcode,ASPIRIN/PARACETAMOL TAB,00248007
7770,prodcode,ASPIRIN/CODEINE PHOSPHATE/PARACETAMOL 250 MG TAB,00262007
7774,prodcode,DICLOFENAC 75 MG INJ,03449007
7780,prodcode,Nortriptyline 10mg / Fluphenazine 500microgram tablets,68989020
7800,prodcode,Palfium 5mg/ml Injection (Roche Products Ltd),56384020
7801,prodcode,MORPHINE SULPHATE SR 30 MG TAB,03921007
7816,prodcode,Concordin 5 Tablet (Merck Sharp & Dohme Ltd),57965020
7849,prodcode,Diamorphine 100mg Injection (Manufacturer unknown),70494020
7872,prodcode,MORPHINE S/R 64 MG INJ,05493007
7875,prodcode,Morphine 30mg modified-release tablets,64806020
7913,prodcode,Tiaprofenic acid 200mg tablets,67056020
7950,prodcode,DOLOXENE 65 MG PUL,03784007
7976,prodcode,PARACETAMOL 450MG/CODEINE 8.1MG TAB,03267007
7979,prodcode,Pertofran 25mg Tablet (Novartis Pharmaceuticals UK Ltd),55380020
7981,prodcode,Desipramine 25mg tablets,62277020
7989,prodcode,DIHYDROCODEINE TARTRATE/ASPIRIN 300 MG TAB,02694007
7998,prodcode,Dextromoramide 10mg tablets,62392020
7999,prodcode,Diamorphine 5mg Injection (Manufacturer unknown),70489020
8020,prodcode,PARACETAMOL 125 MG MIX,05732007
8039,prodcode,MST Continus 200mg tablets (Napp Pharmaceuticals Ltd),50529020
8040,prodcode,Diamorphine 30mg Injection (Manufacturer unknown),70493020
8053,prodcode,BROMPHENIRAMINE /CODEINE PHOSPHATE / 2 MG ELI,03006007
8062,prodcode,Motifene 75mg modified-release capsules (Daiichi Sankyo UK Ltd),75820020
8075,prodcode,Morphine sulphate 30mg/ml Injection,59714020
8091,prodcode,PARACETAMOL CO TAB,02135007
8093,prodcode,PARACETAMOL SOLUBLE TAB,06054007
8139,prodcode,Midrid 325mg/65mg capsules (DHP Healthcare Ltd),62452020
8145,prodcode,Fenbufen 300mg tablets,61800020
8220,prodcode,MORPHINE ANHYDROUS 8.4 MG ELI,02228007
8233,prodcode,Kaolin light 1.5g/5ml / Codeine 5mg/5ml oral suspension sugar free,70855020
8246,prodcode,Codeine phosphate 8mg with paracetamol 500mg effervescent tablets,61568020
8259,prodcode,PARACETAMOL 500 MG ELI,05965007
8271,prodcode,Benoral 750mg tablets (Sanofi-Synthelabo Ltd),52399020
8292,prodcode,PARACETAMOL 240 MG ELI,04620007
8329,prodcode,Solpadeine Tablet (GlaxoSmithKline Consumer Healthcare),54214020
8332,prodcode,Tryptizol 50mg Tablet (Merck Sharp & Dohme Ltd),55442020
8335,prodcode,Paracodol 8mg/500mg capsules (Bayer Plc),57693020
8375,prodcode,Fortral 25mg tablets (Zentiva),53469020
8385,prodcode,Ketoprofen 150mg modified-release capsules,69513020
8401,prodcode,Motrin 400mg tablets (Pfizer Ltd),56329020
8416,prodcode,Tramadol 12 Modified-release tablet,79963020
8420,prodcode,MORPHINE SULPHATE 5 MG INJ,02227007
8447,prodcode,Meptid 200mg Tablet (Shire Pharmaceuticals Ltd),52951020
8451,prodcode,Etodolac 200mg Tablet,60933020
8456,prodcode,DHC Continus 60mg tablets (Napp Pharmaceuticals Ltd),62558020
8460,prodcode,DIAMORPHINE 1.5 GM INJ,02713007
8493,prodcode,Motipress tablets (Sanofi-Synthelabo Ltd),57473020
8500,prodcode,CODEINE PHOSPHATE/PARACETAMOL/SODIUM CIT 8 MG CAP,02810007
8544,prodcode,Fenbufen 450mg tablets,61801020
8600,prodcode,Piroxicam 20mg suppositories,65863020
8663,prodcode,Naprosyn S/R 500mg tablets (Roche Products Ltd),74549020
8672,prodcode,Feldene 20mg suppositories (Pfizer Ltd),49421020
8700,prodcode,PARACETAMOL 125 MG TAB,04617007
8723,prodcode,Balmosa cream (Selsdon Healthcare Ltd),70420020
8732,prodcode,BUCLIZINE HYD/CODEINE PHOS/DOCUSATE SOD/ 6.25 MG TAB,03877007
8735,prodcode,Diamorphine 5mg/5ml Oral solution (Manufacturer unknown),73131020
8740,prodcode,Morphine hydrochloride 30mg suppositories,55628020
8766,prodcode,MORPHINE HCl 30 MG INJ,02229007
8822,prodcode,Morphine 60mg modified-release tablets,64807020
8823,prodcode,DIAMORPHINE HYDROCHLORIDE 60 MG INJ,02715007
8831,prodcode,Tryptizol mr 75mg Modified-release capsule (Merck Sharp & Dohme Ltd),55446020
8835,prodcode,CODEINE PHOS /DIPHENHYDRAMINE HYD. /MENT 5.7 MG ELI,03833007
8866,prodcode,Diamorphine 10mg Tablet (Manufacturer unknown),70488020
8867,prodcode,MORPHINE SULPHATE CR 30 MG TAB,03160007
8876,prodcode,Oramorph 20mg/ml concentrated oral solution (Boehringer Ingelheim Ltd),68381020
8959,prodcode,MORPHINE SULPHATE 15 MG TAB,00054007
8969,prodcode,Lodine 300mg Capsule (Shire Pharmaceuticals Ltd),58038020
9001,prodcode,Diconal tablets (Amdipharm Plc),54783020
9012,prodcode,Cyclimorph 15 solution for injection 1ml ampoules (AMCo),58646020
9053,prodcode,Diamorphine 500mg Injection (Manufacturer unknown),70495020
9126,prodcode,DIAMORPHINE 4 GM INJ,02714007
9137,prodcode,Morphine 20mg tablets,74009020
9163,prodcode,Remedeine 20mg+500mg Effervescent tablet (Napp Pharmaceuticals Ltd),55875020
9183,prodcode,Morphine 100mg modified-release tablets,64810020
9193,prodcode,Paracetamol 500mg with sodium bicarbonate 1342 mg effervescent tablet,84058020
9201,prodcode,Ibuleve 5% spray (Dendron Ltd),59640020
9202,prodcode,CODEINE PHOS/EPHEDRINE HYD/PROMETHAZINE LIN,06692007
9209,prodcode,DHC Continus 90mg tablets (Napp Pharmaceuticals Ltd),62559020
9222,prodcode,Dicloflex 75mg SR tablets (Dexcel-Pharma Ltd),79017020
