Condition,ICD10code,ICD10codeDescr
Enthesopathies & synovial disorders,M12.8,Other specific arthropathies, not elsewhere classified
Enthesopathies & synovial disorders,M24.8,Other specific joint derangements, not elsewhere classified
Enthesopathies & synovial disorders,M25.5,Pain in joint
Enthesopathies & synovial disorders,M46.0,Spinal enthesopathy
Enthesopathies & synovial disorders,M65,Synovitis and tenosynovitis
Enthesopathies & synovial disorders,M65.2,Calcific tendinitis
Enthesopathies & synovial disorders,M65.3,Trigger finger
Enthesopathies & synovial disorders,M65.4,Radial styloid tenosynovitis [de Quervain]
Enthesopathies & synovial disorders,M65.8,Other synovitis and tenosynovitis
Enthesopathies & synovial disorders,M65.9,Synovitis and tenosynovitis
Enthesopathies & synovial disorders,M65.9,Synovitis and tenosynovitis, unspecified
Enthesopathies & synovial disorders,M66,Spontaneous rupture of synovium and tendon
Enthesopathies & synovial disorders,M66.0,Rupture of popliteal cyst
Enthesopathies & synovial disorders,M66.1,Rupture of synovium
Enthesopathies & synovial disorders,M66.2,Spontaneous rupture of extensor tendons
Enthesopathies & synovial disorders,M66.3,Spontaneous rupture of flexor tendons
Enthesopathies & synovial disorders,M66.4,Spontaneous rupture of other tendons
Enthesopathies & synovial disorders,M66.5,Spontaneous rupture of unspecified tendon
Enthesopathies & synovial disorders,M67.3,Transient synovitis
Enthesopathies & synovial disorders,M70,Soft tissue disorders related to use
Enthesopathies & synovial disorders,M70.0,Chronic crepitant synovitis of hand and wrist
Enthesopathies & synovial disorders,M70.1,Bursitis of hand
Enthesopathies & synovial disorders,M70.2,Olecranon bursitis
Enthesopathies & synovial disorders,M70.3,Other bursitis of elbow
Enthesopathies & synovial disorders,M70.4,Prepatellar bursitis
Enthesopathies & synovial disorders,M70.5,Other bursitis of knee
Enthesopathies & synovial disorders,M70.6,Trochanteric bursitis
Enthesopathies & synovial disorders,M70.7,Other bursitis of hip
Enthesopathies & synovial disorders,M70.8,Other soft tissue disorders related to use, overuse and pressure
Enthesopathies & synovial disorders,M71.2,Synovial cyst of popliteal space [Baker]
Enthesopathies & synovial disorders,M71.3,Other bursal cyst
Enthesopathies & synovial disorders,M71.4,Calcium deposit in bursa
Enthesopathies & synovial disorders,M71.5,Other bursitis
Enthesopathies & synovial disorders,M71.5,Other bursitis, not elsewhere classified
Enthesopathies & synovial disorders,M71.8,Other specified bursopathies
Enthesopathies & synovial disorders,M71.9,Bursopathy
Enthesopathies & synovial disorders,M71.9,Bursopathy, unspecified
Enthesopathies & synovial disorders,M75,Shoulder lesions
Enthesopathies & synovial disorders,M75.0,Adhesive capsulitis of shoulder
Enthesopathies & synovial disorders,M75.1,Rotator cuff syndrome
Enthesopathies & synovial disorders,M75.2,Bicipital tendinitis
Enthesopathies & synovial disorders,M75.3,Calcific tendinitis of shoulder
Enthesopathies & synovial disorders,M75.4,Impingement syndrome of shoulder
Enthesopathies & synovial disorders,M75.5,Bursitis of shoulder
Enthesopathies & synovial disorders,M75.8,Other shoulder lesions
Enthesopathies & synovial disorders,M75.9,Shoulder lesion, unspecified
Enthesopathies & synovial disorders,M76,Enthesopathies of lower limb
Enthesopathies & synovial disorders,M76.0,Gluteal tendinitis
Enthesopathies & synovial disorders,M76.1,Psoas tendinitis
Enthesopathies & synovial disorders,M76.2,Iliac crest spur
Enthesopathies & synovial disorders,M76.3,Iliotibial band syndrome
Enthesopathies & synovial disorders,M76.4,Tibial collateral bursitis [Pellegrini-Stieda]
Enthesopathies & synovial disorders,M76.5,Patellar tendinitis
Enthesopathies & synovial disorders,M76.6,Achilles tendinitis
Enthesopathies & synovial disorders,M76.7,Peroneal tendinitis
Enthesopathies & synovial disorders,M76.8,Other enthesopathies of lower limb, excluding foot
Enthesopathies & synovial disorders,M76.9,Enthesopathy of lower limb, unspecified
Enthesopathies & synovial disorders,M77.0,Medial epicondylitis
Enthesopathies & synovial disorders,M77.1,Lateral epicondylitis
Enthesopathies & synovial disorders,M77.2,Periarthritis of wrist
Enthesopathies & synovial disorders,M77.3,Calcaneal spur
Enthesopathies & synovial disorders,M77.5,Other enthesopathy of foot
Enthesopathies & synovial disorders,M77.8,Other enthesopathies
Enthesopathies & synovial disorders,M77.8,Other enthesopathies, not elsewhere classified
Enthesopathies & synovial disorders,M77.9,Enthesopathy
Enthesopathies & synovial disorders,M77.9,Enthesopathy, unspecified
Enthesopathies & synovial disorders,S46.0,Injury of muscle(s) and tendon(s) of the rotator cuff of shoulder
Enthesopathies & synovial disorders,S46.1,Injury of muscle and tendon of long head of biceps
Enthesopathies & synovial disorders,S76.1,Injury of quadriceps muscle and tendon
Enthesopathies & synovial disorders,S86.1,Injury of other muscle(s) and tendon(s) of posterior muscle group at lower leg level
Enthesopathies & synovial disorders,S86.3,Injury of muscle(s) and tendon(s) of peroneal muscle group at lower leg level
Epilepsy,F80.3,Acquired aphasia with epilepsy [Landau-Kleffner]
Epilepsy,G25.3,Myoclonus
Epilepsy,G40,Epilepsy
Epilepsy,G40.0,Localization-related (focal)(partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset
Epilepsy,G40.1,Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures
Epilepsy,G40.2,Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures
Epilepsy,G40.3,Generalized idiopathic epilepsy and epileptic syndromes
Epilepsy,G40.4,Other generalized epilepsy and epileptic syndromes
Epilepsy,G40.5,Special epileptic syndromes
Epilepsy,G40.6,Grand mal seizures, unspecified (with or without petit mal)
Epilepsy,G40.7,Petit mal, unspecified, without grand mal seizures
Epilepsy,G40.8,Other epilepsy
Epilepsy,G40.9,Epilepsy, unspecified
Epilepsy,G41,Status epilepticus
Epilepsy,G41.0,Grand mal status epilepticus
Epilepsy,G41.1,Petit mal status epilepticus
Epilepsy,G41.2,Complex partial status epilepticus
Epilepsy,G41.8,Other status epilepticus
Epilepsy,G41.9,Status epilepticus, unspecified
Erectile dysfunction,F52.2,Failure of genital response
Erectile dysfunction,N48.4,Impotence of organic origin
Female genital prolapse,N81,Female genital prolapse
Female genital prolapse,N81.0,Female urethrocele
Female genital prolapse,N81.1,Cystocele
Female genital prolapse,N81.2,Incomplete uterovaginal prolapse
Female genital prolapse,N81.3,Complete uterovaginal prolapse
Female genital prolapse,N81.4,Uterovaginal prolapse, unspecified
Female genital prolapse,N81.5,Vaginal enterocele
Female genital prolapse,N81.6,Rectocele
Female genital prolapse,N81.8,Other female genital prolapse
Female genital prolapse,N81.9,Female genital prolapse, unspecified
Female genital prolapse,N99.3,Prolapse of vaginal vault after hysterectomy
Female genital prolapse,T83.9,Unspecified complication of genitourinary prosthetic device, implant and graft
Female infertility,N97,Female infertility
Female infertility,N97.0,Female infertility associated with anovulation
Female infertility,N97.1,Female infertility of tubal origin
Female infertility,N97.2,Female infertility of uterine origin
Female infertility,N97.3,Female infertility of cervical origin
Female infertility,N97.4,Female infertility associated with male factors
Female infertility,N97.8,Female infertility of other origin
Female infertility,N97.9,Female infertility, unspecified
Female infertility,Z31.9,Procreative management, unspecified
Female infertility,Z35.0,Supervision of pregnancy with history of infertility
Fibromyalgia,M79.7,Fibromyalgia
Folate deficiency, with and without anaemia,D52,Folate deficiency anaemia
Folate deficiency, with and without anaemia,D52.0,Dietary folate deficiency anaemia
Folate deficiency, with and without anaemia,D52.1,Drug-induced folate deficiency anaemia
Folate deficiency, with and without anaemia,D52.8,Other folate deficiency anaemias
Folate deficiency, with and without anaemia,D52.9,Folate deficiency anaemia, unspecified
Fracture of hip,S72.0,Fracture of neck of femur
Fracture of hip,S72.1,Pertrochanteric fracture
Fracture of hip,S72.2,Subtrochanteric fracture
Fracture of hip,S72.8,Fractures of other parts of femur
Fracture of hip,T93.1,Sequelae of fracture of femur
Gastritis and duodenitis,A04.5,Campylobacter enteritis
Gastritis and duodenitis,K29,Gastritis and duodenitis
Gastritis and duodenitis,K29.1,Other acute gastritis
Gastritis and duodenitis,K29.2,Alcoholic gastritis
Gastritis and duodenitis,K29.3,Chronic superficial gastritis
Gastritis and duodenitis,K29.4,Chronic atrophic gastritis
Gastritis and duodenitis,K29.5,Chronic gastritis, unspecified
Gastritis and duodenitis,K29.6,Other gastritis
Gastritis and duodenitis,K29.7,Gastritis, unspecified
Gastritis and duodenitis,K29.8,Duodenitis
Gastritis and duodenitis,K29.9,Gastroduodenitis, unspecified
Gastro-oesophageal reflux disease,K21,Gastro-oesophageal reflux disease
Gastro-oesophageal reflux disease,K21.0,Gastro-oesophageal reflux disease with oesophagitis
Gastro-oesophageal reflux disease,K21.9,Gastro-oesophageal reflux disease without oesophagitis
Gastrointestinal angiodysplasia,K31.8,Other specified diseases of stomach and duodenum
Gastrointestinal angiodysplasia,K55.2,Angiodysplasia of colon
Giant Cell arteritis,M31.5,Giant cell arteritis with polymyalgia rheumatica
Giant Cell arteritis,M31.6,Other giant cell arteritis
Glaucoma,H40.1,Primary open-angle glaucoma
Glaucoma,H40.2,Primary angle-closure glaucoma
Glaucoma,H40.3,Glaucoma secondary to eye trauma
Glaucoma,H40.4,Glaucoma secondary to eye inflammation
Glaucoma,H40.5,Glaucoma secondary to other eye disorders
Glaucoma,H40.6,Glaucoma secondary to drugs
Glaucoma,H40.8,Other glaucoma
Glaucoma,H40.9,Glaucoma
Glaucoma,H40.9,Glaucoma, unspecified
Glaucoma,Q15.0,Congenital glaucoma
Glomerulonephritis and other nephritides,M31.0,Hypersensitivity angiitis
Glomerulonephritis and other nephritides,N00,Acute nephritic syndrome
Glomerulonephritis and other nephritides,N00.0,Acute nephritic syndrome - Minor glomerular abnormality
Glomerulonephritis and other nephritides,N00.0,Acute nephritic syndrome minor glomerular abnormality
Glomerulonephritis and other nephritides,N00.1,Acute nephritic syndrome - Focal and segmental glomerular lesions
Glomerulonephritis and other nephritides,N00.2,Acute nephritic syndrome - Diffuse membranous glomerulonephritis
Glomerulonephritis and other nephritides,N00.3,Acute nephritic syndrome - Diffuse mesangial proliferative glomerulonephritis
Glomerulonephritis and other nephritides,N00.4,Acute nephritic syndrome - Diffuse endocapillary proliferative glomerulonephritis
Glomerulonephritis and other nephritides,N00.5,Acute nephritic syndrome - Diffuse mesangiocapillary glomerulonephritis
Glomerulonephritis and other nephritides,N00.6,Acute nephritic syndrome - Dense deposit disease
Glomerulonephritis and other nephritides,N00.6,Acute nephritic syndrome dense deposit disease
Glomerulonephritis and other nephritides,N00.7,Acute nephritic syndrome - Diffuse crescentic glomerulonephritis
Glomerulonephritis and other nephritides,N00.8,Acute nephritic syndrome - Other
Glomerulonephritis and other nephritides,N00.8,Acute nephritic syndrome other
Glomerulonephritis and other nephritides,N00.9,Acute nephritic syndrome - Unspecified
Glomerulonephritis and other nephritides,N00.9,Acute nephritic syndrome unspecified
Glomerulonephritis and other nephritides,N01,Rapidly progressive nephritic syndrome
Glomerulonephritis and other nephritides,N01.0,Rapidly progressive nephritic syndrome - Minor glomerular abnormality
Glomerulonephritis and other nephritides,N01.1,Rapidly progressive nephritic syndrome - Focal and segmental glomerular lesions
Glomerulonephritis and other nephritides,N01.2,Rapidly progressive nephritic syndrome - Diffuse membranous glomerulonephritis
Glomerulonephritis and other nephritides,N01.3,Rapidly progressive nephritic syndrome - Diffuse mesangial proliferative glomerulonephritis
Glomerulonephritis and other nephritides,N01.4,Rapidly progressive nephritic syndrome - Diffuse endocapillary proliferative glomerulonephritis
Glomerulonephritis and other nephritides,N01.5,Rapidly progressive nephritic syndrome - Diffuse mesangiocapillary glomerulonephritis
Glomerulonephritis and other nephritides,N01.7,Rapidly progressive nephritic syndrome - Diffuse crescentic glomerulonephritis
Glomerulonephritis and other nephritides,N01.8,Rapidly progressive nephritic syndrome - Other
Glomerulonephritis and other nephritides,N01.9,Rapidly progressive nephritic syndrome - Unspecified
Glomerulonephritis and other nephritides,N01.9,Rapidly progressive nephritic syndrome unspecified
Glomerulonephritis and other nephritides,N02,Recurrent and persistent haematuria
Glomerulonephritis and other nephritides,N02.0,Recurrent and persistent haematuria - Minor glomerular abnormality
Glomerulonephritis and other nephritides,N02.1,Recurrent and persistent haematuria - Focal and segmental glomerular lesions
Glomerulonephritis and other nephritides,N02.2,Recurrent and persistent haematuria - Diffuse membranous glomerulonephritis
Glomerulonephritis and other nephritides,N02.3,Recurrent and persistent haematuria - Diffuse mesangial proliferative glomerulonephritis
Glomerulonephritis and other nephritides,N02.4,Recurrent and persistent haematuria - Diffuse endocapillary proliferative glomerulonephritis
Glomerulonephritis and other nephritides,N02.5,Recurrent and persistent haematuria - Diffuse mesangiocapillary glomerulonephritis
Glomerulonephritis and other nephritides,N02.6,Recurrent and persistent haematuria - Dense deposit disease
Glomerulonephritis and other nephritides,N02.6,Recurrent and persistent haematuria dense deposit disease
Glomerulonephritis and other nephritides,N02.7,Recurrent and persistent haematuria - Diffuse crescentic glomerulonephritis
Glomerulonephritis and other nephritides,N02.8,Recurrent and persistent haematuria - Other
Glomerulonephritis and other nephritides,N02.8,Recurrent and persistent haematuria other
Glomerulonephritis and other nephritides,N02.9,Recurrent and persistent haematuria - Unspecified
Glomerulonephritis and other nephritides,N02.9,Recurrent and persistent haematuria unspecified
Glomerulonephritis and other nephritides,N03,Chronic nephritic syndrome
Glomerulonephritis and other nephritides,N03.0,Chronic nephritic syndrome - Minor glomerular abnormality
Glomerulonephritis and other nephritides,N03.0,Chronic nephritic syndrome minor glomerular abnormality
Glomerulonephritis and other nephritides,N03.1,Chronic nephritic syndrome - Focal and segmental glomerular lesions
Glomerulonephritis and other nephritides,N03.1,Chronic nephritic syndrome focal and segmental glomerular lesions
Glomerulonephritis and other nephritides,N03.2,Chronic nephritic syndrome - Diffuse membranous glomerulonephritis
Glomerulonephritis and other nephritides,N03.2,Chronic nephritic syndrome diffuse membranous glomerulonephritis
Glomerulonephritis and other nephritides,N03.3,Chronic nephritic syndrome - Diffuse mesangial proliferative glomerulonephritis
Glomerulonephritis and other nephritides,N03.3,Chronic nephritic syndrome diffuse mesangial proliferative glomerulonephritis
Glomerulonephritis and other nephritides,N03.4,Chronic nephritic syndrome - Diffuse endocapillary proliferative glomerulonephritis
Glomerulonephritis and other nephritides,N03.5,Chronic nephritic syndrome - Diffuse mesangiocapillary glomerulonephritis
Glomerulonephritis and other nephritides,N03.5,Chronic nephritic syndrome diffuse mesangiocapillary glomerulonephritis
Glomerulonephritis and other nephritides,N03.6,Chronic nephritic syndrome - Dense deposit disease
Glomerulonephritis and other nephritides,N03.6,Chronic nephritic syndrome dense deposit disease
Glomerulonephritis and other nephritides,N03.7,Chronic nephritic syndrome - Diffuse crescentic glomerulonephritis
Glomerulonephritis and other nephritides,N03.8,Chronic nephritic syndrome - Other
Glomerulonephritis and other nephritides,N03.8,Chronic nephritic syndrome other
Glomerulonephritis and other nephritides,N03.9,Chronic nephritic syndrome - Unspecified
Glomerulonephritis and other nephritides,N03.9,Chronic nephritic syndrome unspecified
Glomerulonephritis and other nephritides,N04,Nephrotic syndrome
Glomerulonephritis and other nephritides,N04.0,Nephrotic syndrome - Minor glomerular abnormality
Glomerulonephritis and other nephritides,N04.0,Nephrotic syndrome minor glomerular abnormality
Glomerulonephritis and other nephritides,N04.1,Nephrotic syndrome - Focal and segmental glomerular lesions
Glomerulonephritis and other nephritides,N04.1,Nephrotic syndrome focal and segmental glomerular lesions
Glomerulonephritis and other nephritides,N04.2,Nephrotic syndrome - Diffuse membranous glomerulonephritis
Glomerulonephritis and other nephritides,N04.2,Nephrotic syndrome diffuse membranous glomerulonephritis
Glomerulonephritis and other nephritides,N04.3,Nephrotic syndrome - Diffuse mesangial proliferative glomerulonephritis
Glomerulonephritis and other nephritides,N04.4,Nephrotic syndrome - Diffuse endocapillary proliferative glomerulonephritis
Glomerulonephritis and other nephritides,N04.5,Nephrotic syndrome - Diffuse mesangiocapillary glomerulonephritis
Glomerulonephritis and other nephritides,N04.6,Nephrotic syndrome - Dense deposit disease
Glomerulonephritis and other nephritides,N04.6,Nephrotic syndrome dense deposit disease
Glomerulonephritis and other nephritides,N04.7,Nephrotic syndrome - Diffuse crescentic glomerulonephritis
Glomerulonephritis and other nephritides,N04.7,Nephrotic syndrome diffuse crescentic glomerulonephritis
Glomerulonephritis and other nephritides,N04.8,Nephrotic syndrome - Other
Glomerulonephritis and other nephritides,N04.8,Nephrotic syndrome other
Glomerulonephritis and other nephritides,N04.9,Nephrotic syndrome - Unspecified
Glomerulonephritis and other nephritides,N04.9,Nephrotic syndrome unspecified
Glomerulonephritis and other nephritides,N05,Unspecified nephritic syndrome
Glomerulonephritis and other nephritides,N05.0,Unspecified nephritic syndrome - Minor glomerular abnormality
Glomerulonephritis and other nephritides,N05.1,Unspecified nephritic syndrome - Focal and segmental glomerular lesions
Glomerulonephritis and other nephritides,N05.1,Unspecified nephritic syndrome focal and segmental glomerular lesions
Glomerulonephritis and other nephritides,N05.2,Unspecified nephritic syndrome - Diffuse membranous glomerulonephritis
Glomerulonephritis and other nephritides,N05.2,Unspecified nephritic syndrome diffuse membranous glomerulonephritis
Glomerulonephritis and other nephritides,N05.3,Unspecified nephritic syndrome - Diffuse mesangial proliferative glomerulonephritis
Glomerulonephritis and other nephritides,N05.4,Unspecified nephritic syndrome - Diffuse endocapillary proliferative glomerulonephritis
Glomerulonephritis and other nephritides,N05.5,Unspecified nephritic syndrome - Diffuse mesangiocapillary glomerulonephritis
Glomerulonephritis and other nephritides,N05.5,Unspecified nephritic syndrome diffuse mesangiocapillary glomerulonephritis
Glomerulonephritis and other nephritides,N05.6,Unspecified nephritic syndrome - Dense deposit disease
Glomerulonephritis and other nephritides,N05.6,Unspecified nephritic syndrome dense deposit disease
Glomerulonephritis and other nephritides,N05.7,Unspecified nephritic syndrome - Diffuse crescentic glomerulonephritis
Glomerulonephritis and other nephritides,N05.7,Unspecified nephritic syndrome diffuse crescentic glomerulonephritis
Glomerulonephritis and other nephritides,N05.8,Unspecified nephritic syndrome - Other
Glomerulonephritis and other nephritides,N05.8,Unspecified nephritic syndrome other
Glomerulonephritis and other nephritides,N05.9,Unspecified nephritic syndrome - Unspecified
Glomerulonephritis and other nephritides,N05.9,Unspecified nephritic syndrome unspecified
Glomerulonephritis and other nephritides,N06,Isolated proteinuria with specified morphological lesion
Glomerulonephritis and other nephritides,N06.0,Isolated proteinuria with specified morphological lesion - Minor glomerular abnormality
Glomerulonephritis and other nephritides,N06.1,Isolated proteinuria with specified morphological lesion - Focal and segmental glomerular lesions
Glomerulonephritis and other nephritides,N06.2,Isolated proteinuria with specified morphological lesion - Diffuse membranous glomerulonephritis
Glomerulonephritis and other nephritides,N06.3,Isolated proteinuria with specified morphological lesion - Diffuse mesangial proliferative glomerulonephritis
Glomerulonephritis and other nephritides,N06.5,Isolated proteinuria with specified morphological lesion - Diffuse mesangiocapillary glomerulonephritis
Glomerulonephritis and other nephritides,N06.6,Isolated proteinuria with specified morphological lesion - Dense deposit disease
Glomerulonephritis and other nephritides,N06.8,Isolated proteinuria with specified morphological lesion - Other
Glomerulonephritis and other nephritides,N06.9,Isolated proteinuria with specified morphological lesion - Unspecified
Glomerulonephritis and other nephritides,N08,Glomerular disorders in diseases classified elsewhere
Glomerulonephritis and other nephritides,N083,Glomerular disorders in diabetes mellitus
Glomerulonephritis and other nephritides,N11,Chronic tubulo-interstitial nephritis
Glomerulonephritis and other nephritides,N26,Unspecified contracted kidney
Glomerulonephritis and other nephritides,Q60,Renal agenesis and other reduction defects of kidney
Gout,M10,Gout
Gout,M10.0,Idiopathic gout
Gout,M10.1,Lead-induced gout
Gout,M10.2,Drug-induced gout
Gout,M10.3,Gout due to impairment of renal function
Gout,M10.4,Other secondary gout
Gout,M10.9,Gout, unspecified
Gout,M14.0,Gouty arthropathy due to enzyme defects and other inherited disorders
Hearing loss,H83.3,Noise effects on inner ear
Hearing loss,H90,Conductive and sensorineural hearing loss
Hearing loss,H90.0,Conductive hearing loss, bilateral
Hearing loss,H90.2,Conductive hearing loss, unspecified
Hearing loss,H90.3,Sensorineural hearing loss, bilateral
Hearing loss,H90.5,Sensorineural hearing loss, unspecified
Hearing loss,H90.6,Mixed conductive and sensorineural hearing loss, bilateral
Hearing loss,H90.8,Mixed conductive and sensorineural hearing loss, unspecified
Hearing loss,H91,Other hearing loss
Hearing loss,H91.0,Ototoxic hearing loss
Hearing loss,H91.1,Presbycusis
Hearing loss,H91.2,Sudden idiopathic hearing loss
Hearing loss,H91.3,Deaf mutism, not elsewhere classified
Hearing loss,H91.8,Other specified hearing loss
Hearing loss,H91.9,Hearing loss, unspecified
Hearing loss,Q16.1,Congenital absence, atresia and stricture of auditory canal (external)
Hearing loss,Q16.9,Congenital malformation of ear causing impairment of hearing, unspecified
Hearing loss,Q89.8,Other specified congenital malformations
Hearing loss,S04.6,Injury of acoustic nerve
Hearing loss,Z45.3,Adjustment and management of implanted hearing device
Hearing loss,Z46.1,Fitting and adjustment of hearing aid
Hearing loss,Z96.2,Presence of otological and audiological implants
Hearing loss,Z97.4,Presence of external hearing-aid
Heart failure,I09.9,Rheumatic heart disease, unspecified
Heart failure,I11.0,Hypertensive heart disease with (congestive) heart failure
Heart failure,I13.0,Hypertensive heart and renal disease with (congestive) heart failure
Heart failure,I13.2,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure
Heart failure,I13.9,Hypertensive heart and renal disease, unspecified
Heart failure,I26.0,Pulmonary embolism with mention of acute cor pulmonale
Heart failure,I27.9,Pulmonary heart disease, unspecified
Heart failure,I50,Heart failure
Heart failure,I50.0,Congestive heart failure
Heart failure,I50.1,Left ventricular failure
Heart failure,I50.9,Heart failure, unspecified
Heart valve disease non-rheumatic,I05.0,Mitral stenosis
Heart valve disease non-rheumatic,I05.2,Mitral stenosis with insufficiency
Heart valve disease non-rheumatic,I05.8,Other mitral valve diseases
Heart valve disease non-rheumatic,I05.9,Mitral valve disease, unspecified
Heart valve disease non-rheumatic,I07.0,Tricuspid stenosis
Heart valve disease non-rheumatic,I07.1,Tricuspid insufficiency
Heart valve disease non-rheumatic,I07.2,Tricuspid stenosis with insufficiency
Heart valve disease non-rheumatic,I07.8,Other tricuspid valve diseases
Heart valve disease non-rheumatic,I07.9,Tricuspid valve disease, unspecified
Heart valve disease non-rheumatic,I08,Multiple valve diseases
Heart valve disease non-rheumatic,I08.0,Disorders of both mitral and aortic valves
Heart valve disease non-rheumatic,I08.1,Disorders of both mitral and tricuspid valves
Heart valve disease non-rheumatic,I08.2,Disorders of both aortic and tricuspid valves
Heart valve disease non-rheumatic,I08.3,Combined disorders of mitral, aortic and tricuspid valves
Heart valve disease non-rheumatic,I08.9,Multiple valve disease, unspecified
Heart valve disease non-rheumatic,I34,Nonrheumatic mitral valve disorders
Heart valve disease non-rheumatic,I34.0,Mitral (valve) insufficiency
Heart valve disease non-rheumatic,I34.1,Mitral (valve) prolapse
Heart valve disease non-rheumatic,I34.8,Other nonrheumatic mitral valve disorders
Heart valve disease non-rheumatic,I34.9,Nonrheumatic mitral valve disorder, unspecified
Heart valve disease non-rheumatic,I35,Nonrheumatic aortic valve disorders
Heart valve disease non-rheumatic,I35.0,Aortic (valve) stenosis
Heart valve disease non-rheumatic,I35.1,Aortic (valve) insufficiency
Heart valve disease non-rheumatic,I35.2,Aortic (valve) stenosis with insufficiency
Heart valve disease non-rheumatic,I35.8,Other aortic valve disorders
Heart valve disease non-rheumatic,I35.9,Aortic valve disorder, unspecified
Heart valve disease non-rheumatic,I36,Nonrheumatic tricuspid valve disorders
Heart valve disease non-rheumatic,I36.0,Nonrheumatic tricuspid (valve) stenosis
Heart valve disease non-rheumatic,I36.1,Nonrheumatic tricuspid (valve) insufficiency
Heart valve disease non-rheumatic,I36.2,Nonrheumatic tricuspid (valve) stenosis with insufficiency
Heart valve disease non-rheumatic,I36.9,Nonrheumatic tricuspid valve disorder, unspecified
Hidradenitis suppurativa,L73.2,Hidradenitis suppurativa
HIV,B20,Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases
HIV,B20.0,HIV disease resulting in mycobacterial infection
HIV,B20.1,HIV disease resulting in other bacterial infections
HIV,B20.2,HIV disease resulting in cytomegaloviral disease
HIV,B20.3,HIV disease resulting in other viral infections
HIV,B20.4,HIV disease resulting in candidiasis
HIV,B20.5,HIV disease resulting in other mycoses
HIV,B20.6,HIV disease resulting in Pneumocystis jirovecii pneumonia
HIV,B20.7,HIV disease resulting in multiple infections
HIV,B21,Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms
HIV,B21.0,HIV disease resulting in Kaposi sarcoma
HIV,B21.1,HIV disease resulting in Burkitt lymphoma
HIV,B21.2,HIV disease resulting in other types of non-Hodgkin lymphoma
HIV,B21.7,HIV disease resulting in multiple malignant neoplasms
HIV,B21.8,HIV disease resulting in other malignant neoplasms
HIV,B21.9,HIV disease resulting in unspecified malignant neoplasm
HIV,B22,Human immunodeficiency virus [HIV] disease resulting in other specified diseases
HIV,B22.0,HIV disease resulting in encephalopathy
HIV,B22.1,HIV disease resulting in lymphoid interstitial pneumonitis
HIV,B22.2,HIV disease resulting in wasting syndrome
HIV,B23,Human immunodeficiency virus [HIV] disease resulting in other conditions
HIV,B23.0,Acute HIV infection syndrome
HIV,B23.8,HIV disease resulting in other specified conditions
HIV,B24,Unspecified human immunodeficiency virus [HIV] disease
HIV,F02.4,Dementia in human immunodeficiency virus [HIV] disease
HIV,R75,Laboratory evidence of human immunodeficiency virus [HIV]
HIV,Z21,Asymptomatic human immunodeficiency virus [HIV] infection status
HIV,Z71.7,Human immunodeficiency virus [HIV] counselling
Hodgkin Lymphoma,C81,Hodgkin lymphoma
Hodgkin Lymphoma,C81.0,Nodular lymphocyte predominant Hodgkin lymphoma
Hodgkin Lymphoma,C81.1,Nodular sclerosis (classical) Hodgkin lymphoma
Hodgkin Lymphoma,C81.2,Mixed cellularity (classical) Hodgkin lymphoma
Hodgkin Lymphoma,C81.3,Lymphocyte depleted (classical) Hodgkin lymphoma
Hodgkin Lymphoma,C81.4,Lymphocyte-rich (classical) Hodgkin lymphoma
Hodgkin Lymphoma,C81.7,Other (classical) Hodgkin lymphoma
Hodgkin Lymphoma,C81.9,Hodgkin lymphoma, unspecified
Hyperparathyroidism,E21.0,Primary hyperparathyroidism
Hyperparathyroidism,E21.0,Primary hyperparathyroidism
Hyperparathyroidism,E21.1,Secondary hyperparathyroidism not elsewhere classified
Hyperparathyroidism,E21.1,Secondary hyperparathyroidism, not elsewhere classified
Hyperparathyroidism,E21.2,Other hyperparathyroidism
Hyperparathyroidism,E21.2,Other hyperparathyroidism
Hyperparathyroidism,E21.3,Hyperparathyroidism unspecified
Hyperparathyroidism,E21.3,Hyperparathyroidism, unspecified
Hyperplasia of prostate,N40,Hyperplasia of prostate
Hyperprolactinaemia and prolactinoma,E22.1,Hyperprolactinaemia
Hypertension,E26.0,Primary hyperaldosteronism
Hypertension,E26.9,Hyperaldosteronism, unspecified
Hypertension,H44.8,Other disorders of globe
Hypertension,I10,Essential (primary) hypertension
Hypertension,I11,Hypertensive heart disease
Hypertension,I11.9,Hypertensive heart disease without (congestive) heart failure
Hypertension,I12,Hypertensive renal disease
Hypertension,I12.0,Hypertensive renal disease with renal failure
Hypertension,I12.9,Hypertensive renal disease without renal failure
Hypertension,I13,Hypertensive heart and renal disease
Hypertension,I13.1,Hypertensive heart and renal disease with renal failure
Hypertension,I13.2,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure
Hypertension,I13.9,Hypertensive heart and renal disease, unspecified
Hypertension,I15,Secondary hypertension
Hypertension,I15.0,Renovascular hypertension
Hypertension,I15.1,Hypertension secondary to other renal disorders
Hypertension,I15.2,Hypertension secondary to endocrine disorders
Hypertension,I15.8,Other secondary hypertension
Hypertension,I15.9,Secondary hypertension, unspecified
Hypertension,I67.4,Hypertensive encephalopathy
