Condition,ReadCode,MedCodeId,ReadTerm
Epilepsy,14On.00,2466801000000118,At risk of sudden unexpected death in epilepsy
Epilepsy,1B1W.00,1489345013,Transient epileptic amnesia
Epilepsy,1O30.00,2159227017,Epilepsy confirmed
Epilepsy,2126000,647261000006115,Epilepsy resolved
Epilepsy,212J.00,253531010,Epilepsy resolved
Epilepsy,6110.00,1175991000000119,Contraceptive advice for patients with epilepsy
Epilepsy,667..00,264629018,Epilepsy monitoring
Epilepsy,6672.00,264631010,Follow-up epilepsy assessment
Epilepsy,6674.00,264634019,Epilepsy associated problems
Epilepsy,6675.00,264635018,Fit frequency
Epilepsy,6676.00,264636017,Last fit
Epilepsy,6677.00,264637014,Epilepsy drug side effect
Epilepsy,6678.00,264638016,Epilepsy treatment changed
Epilepsy,6679.00,264639012,Epilepsy treatment started
Epilepsy,667A.00,264640014,Epilepsy treatment stopped
Epilepsy,667B.00,345323014,Nocturnal epilepsy
Epilepsy,667C.00,459233015,Epilepsy control good
Epilepsy,667D.00,459234014,Epilepsy control poor
Epilepsy,667E.00,1780375016,Epilepsy care arrangement
Epilepsy,667F.00,930341000006113,Seizure free > 12 months
Epilepsy,667G.00,141981000000118,Epilepsy restricts employment
Epilepsy,667H.00,141991000000116,Epilepsy prevents employment
Epilepsy,667J.00,154851000000115,Epilepsy impairs education
Epilepsy,667K.00,137801000000112,Epilepsy limits activities
Epilepsy,667L.00,142041000000115,Epilepsy does not limit activities
Epilepsy,667M.00,142051000000117,Epilepsy management plan given
Epilepsy,667N.00,2159216019,Epilepsy severity
Epilepsy,667P.00,2159217011,No seizures on treatment
Epilepsy,667Q.00,2159218018,1 to 12 seizures a year
Epilepsy,667R.00,2159219014,2 to 4 seizures a month
Epilepsy,667S.00,2159220015,1 to 7 seizures a week
Epilepsy,667T.00,2159221016,Daily seizures
Epilepsy,667V.00,2159222011,Many seizures a day
Epilepsy,667W.00,2159223018,Emergency epilepsy treatment since last appointment
Epilepsy,667X.00,2533403014,No epilepsy drug side effects
Epilepsy,667Z.00,264645016,Epilepsy monitoring NOS
Epilepsy,67AF.00,1176071000000111,Pregnancy advice for patients with epilepsy
Epilepsy,67IJ000,1176031000000114,Pre-conception advice for patients with epilepsy
Epilepsy,8BIF.00,1780267013,Epilepsy medication review
Epilepsy,8BL3.00,2159171011,Patient on maximal tolerated anticonvulsant therapy
Epilepsy,9N0r.00,2692343011,Seen in epilepsy clinic
Epilepsy,9N4V.00,166001000000113,Did not attend epilepsy clinic
Epilepsy,9Of3.00,2548491016,Epilepsy monitoring verbal invite
Epilepsy,9Of4.00,406781000000119,Epilepsy monitoring telephone invite
Epilepsy,9Of5.00,307861000000113,Epilepsy monitoring call first letter
Epilepsy,9Of6.00,307881000000116,Epilepsy monitoring call second letter
Epilepsy,9Of7.00,307901000000118,Epilepsy monitoring call third letter
Epilepsy,Eu05212,425631000006118,[X]Schizophrenia-like psychosis in epilepsy
Epilepsy,Eu05y11,379901000006113,[X]Epileptic psychosis NOS
Epilepsy,Eu06013,395221000006119,[X]Limbic epilepsy personality
Epilepsy,Eu80300,362161000006110,Acquired epileptic aphasia
Epilepsy,F132100,399395015,Progressive myoclonic epilepsy
Epilepsy,F132111,72751000006116,Unverricht - Lundborg disease
Epilepsy,F132200,297060016,Myoclonic encephalopathy
Epilepsy,F142200,297107018,Dyssynergia cerebellaris myoclonica
Epilepsy,F25..00,178739011,Epilepsy
Epilepsy,F250.00,2550890017,Generalised non-convulsive epilepsy
Epilepsy,F250000,230321000006117,Petit mal (minor) epilepsy
Epilepsy,F250011,647301000006112,Epileptic absences
Epilepsy,F250100,495804010,Pykno-epilepsy
Epilepsy,F250200,297266016,Epileptic seizures - atonic
Epilepsy,F250300,297267013,Epileptic seizures - akinetic
Epilepsy,F250400,345275015,Juvenile absence epilepsy
Epilepsy,F250500,345281011,Lennox-Gastaut syndrome
Epilepsy,F250y00,10791000006116,Other specified generalised nonconvulsive epilepsy
Epilepsy,F250z00,800721000006115,Generalised nonconvulsive epilepsy NOS
Epilepsy,F251.00,500033015,Generalised convulsive epilepsy
Epilepsy,F251000,223811000000118,Generalised epilepsy
Epilepsy,F251011,103531000006110,Tonic-clonic epilepsy
Epilepsy,F251100,297281010,Neonatal myoclonic epilepsy
Epilepsy,F251111,253231000006116,Otohara syndrome
Epilepsy,F251200,297282015,Epileptic seizures - clonic
Epilepsy,F251300,297283013,Epileptic seizures - myoclonic
Epilepsy,F251400,297284019,Epileptic seizures - tonic
Epilepsy,F251500,472410017,Tonic-clonic epilepsy
Epilepsy,F251y00,297289012,Other specified generalised convulsive epilepsy
Epilepsy,F251z00,297290015,Generalised convulsive epilepsy NOS
Epilepsy,F252.00,12602012,Petit-mal status
Epilepsy,F253.00,23819016,Grand mal status
Epilepsy,F253.11,23820010,Status epilepticus
Epilepsy,F254.00,297295013,Partial epilepsy with impairment of consciousness
Epilepsy,F254000,297296014,Temporal lobe epilepsy
Epilepsy,F254100,477355017,Psychomotor epilepsy
Epilepsy,F254200,297300010,Psychosensory epilepsy
Epilepsy,F254300,743461000006119,Limbic system epilepsy
Epilepsy,F254400,297302019,Epileptic automatism
Epilepsy,F254500,2159274014,Complex partial epileptic seizure
Epilepsy,F254z00,297303012,Partial epilepsy with impairment of consciousness NOS
Epilepsy,F255.00,245341000006117,Localisation-related epilepsy
Epilepsy,F255000,450603013,"Jacksonian, focal or motor epilepsy"
Epilepsy,F255011,345225017,Focal epilepsy
Epilepsy,F255012,450602015,Motor epilepsy
Epilepsy,F255100,148591000006114,Sensory induced epilepsy
Epilepsy,F255200,297311019,Somatosensory epilepsy
Epilepsy,F255300,297313016,Visceral reflex epilepsy
Epilepsy,F255311,297312014,Partial epilepsy with autonomic symptoms
Epilepsy,F255400,297314010,Visual reflex epilepsy
Epilepsy,F255500,297315011,Unilateral epilepsy
Epilepsy,F255600,301541000000116,Simple partial epileptic seizure
Epilepsy,F255y00,245361000006118,Partial epilepsy without impairment of consciousness OS
Epilepsy,F255z00,245351000006115,Partial epilepsy
Epilepsy,F256.00,46969011,Infantile spasms
Epilepsy,F256.11,46972016,Lightning spasms
Epilepsy,F256.12,46968015,West syndrome
Epilepsy,F256000,46970012,Hypsarrhythmia
Epilepsy,F256100,46971011,Salaam attacks
Epilepsy,F256z00,297320011,Infantile spasms
Epilepsy,F257.00,297321010,Kojevnikov's epilepsy
Epilepsy,F258.00,485041012,Post-ictal state
Epilepsy,F259.00,931711000006118,Early infantile epileptic encephalopathy with suppression bursts
Epilepsy,F259.11,345302015,Ohtahara syndrome
Epilepsy,F25A.00,11300012,Juvenile myoclonic epilepsy
Epilepsy,F25B.00,478024019,Alcohol-induced epilepsy
Epilepsy,F25C.00,345318014,Drug-induced epilepsy
Epilepsy,F25D.00,345321011,Menstrual epilepsy
Epilepsy,F25E.00,2474650018,Stress-induced epilepsy
Epilepsy,F25F.00,512000013,Photosensitive epilepsy
Epilepsy,F25G.00,345311015,Severe myoclonic epilepsy in infancy
Epilepsy,F25G.11,2193821000000118,Dravet syndrome
Epilepsy,F25X.00,125721000006111,"Status epilepticus, unspecified"
Epilepsy,F25y.00,297324019,Other forms of epilepsy
Epilepsy,F25y000,297325018,Cursive (running) epilepsy
Epilepsy,F25y100,148427014,Gelastic epilepsy
Epilepsy,F25y200,736371000006112,Localization-related(focal)(partial)idiopathic epilepsy and epileptic syndromes with seizures of localised onset
Epilepsy,F25y300,345345010,Complex partial status epilepticus
Epilepsy,F25y400,73622018,Benign Rolandic epilepsy
Epilepsy,F25y500,632721000000111,Panayiotopoulos syndrome
Epilepsy,F25yz00,297330019,Other forms of epilepsy NOS
Epilepsy,F25z.00,399408014,Epilepsy NOS
Epilepsy,F25z.11,453344019,Epileptic seizure
Epilepsy,Fyu5000,299334015,[X]Other generalized epilepsy and epileptic syndromes
Epilepsy,Fyu5100,299336018,[X]Other epilepsy
Epilepsy,Fyu5200,299337010,[X]Other status epilepticus
Epilepsy,Fyu5900,299345017,"[X]Status epilepticus, unspecified"
Epilepsy,SC20000,2478828012,Traumatic epilepsy
Erectile dysfunction,1ABB.00,371290017,Cannot get an erection
Erectile dysfunction,1ABC.00,371298012,Cannot sustain an erection
Erectile dysfunction,1D1B.00,1734321000000113,C/O erectile dysfunction
Erectile dysfunction,7A6G000,272294012,Revascularisation for impotence
Erectile dysfunction,7A6G500,272299019,Ligation of penile veins for impotence
Erectile dysfunction,7C25B00,273365014,Penile injection to produce erection
Erectile dysfunction,7C25E00,369101000000114,Management of erectile dysfunction
Erectile dysfunction,7C25F00,489201000000110,Operations on penis for erectile dysfunction NEC
Erectile dysfunction,8BB4.00,1768751000006113,Erectile dysfunction unresponsive to phosphodiesterase-5 inhibitor
Erectile dysfunction,8HTj.00,302271000000119,Referral to erectile dysfunction clinic
Erectile dysfunction,E227300,1777409015,Impotence
Erectile dysfunction,E227311,1786154013,Erectile dysfunction
Erectile dysfunction,Eu52200,384551000006110,Failure of genital response
Erectile dysfunction,Eu52212,396141000006114,[X]Male erectile disorder
Erectile dysfunction,Eu52213,424011000006115,Psychogenic impotence
Erectile dysfunction,K27y100,304501018,Impotence of organic origin
Erectile dysfunction,K27y700,2243331000000115,Erectile dysfunction due to diabetes mellitus
Erectile dysfunction,Z9E9.00,5191041000006114,Provision of device for impotence
Erectile dysfunction,ZG43600,5182251000006113,Advice on technique for impotence
Female genital prolapse,1594.00,397858018,H/O: genital prolapse
Female genital prolapse,7D17.00,273561018,Repair of vaginal prolapse and amputation of cervix uteri
Female genital prolapse,7D17.11,273562013,Colporrhaphy and amputation of cervix uteri
Female genital prolapse,7D17000,485271000006111,Anterior and posterior colporrhaphy and amputation of cervix uteri
Female genital prolapse,7D17100,394459012,Anterior colporrhaphy and amputation of cervix uteri NEC
Female genital prolapse,7D17111,790201000006116,Fothergill anterior colporrhaphy and amputation of cervix
Female genital prolapse,7D17200,273566011,Posterior colporrhaphy and amputation of cervix uteri NEC
Female genital prolapse,7D17y00,172811000006118,Repair of vaginal prolapse & amputation of cervix uteri OS
Female genital prolapse,7D17z00,172801000006116,Repair of vaginal prolapse & amputation of cervix uteri NOS
Female genital prolapse,7D17z11,698981000006110,Manchester repair
Female genital prolapse,7D18.00,394462010,Repair of vaginal wall prolapse
Female genital prolapse,7D18.11,356788017,Colporrhaphy
Female genital prolapse,7D18000,485981000006115,Anterior and posterior colporrhaphy
Female genital prolapse,7D18011,475586011,Anterior and posterior repair
Female genital prolapse,7D18100,394464011,Anterior colporrhaphy
Female genital prolapse,7D18111,492278013,Anterior repair
Female genital prolapse,7D18200,394465012,Posterior repair of vagina
Female genital prolapse,7D18211,210981000006112,Posterior repair
Female genital prolapse,7D18300,394466013,Repair of enterocele
Female genital prolapse,7D18311,715461000006112,McCall repair of enterocele
Female genital prolapse,7D18312,1491651014,Moschowitz repair of enterocele
Female genital prolapse,7D18400,273589015,Colporrhaphy NEC
Female genital prolapse,7D18500,458854012,Anterior mesh vaginal repair
Female genital prolapse,7D18600,365131000000118,Paravaginal repair
Female genital prolapse,7D18700,1588221000006112,Anterior colporrhaphy with mesh reinforcement
Female genital prolapse,7D18800,491011000000117,Posterior colporrhaphy with mesh reinforcement
Female genital prolapse,7D18y00,273591011,Other specified other repair of vaginal prolapse
Female genital prolapse,7D18z00,273592016,Other repair of vaginal prolapse NOS
Female genital prolapse,7D19.00,265671011,Repair of vault of vagina
Female genital prolapse,7D19000,173111000006117,Repair of vault of vagina using combined abdominal and vaginal approach
Female genital prolapse,7D19100,273597010,Repair of vault of vagina using abdominal approach NEC
Female genital prolapse,7D19200,273598017,Repair of vault of vagina using vaginal approach NEC
Female genital prolapse,7D19300,273599013,Sacrocolpopexy
Female genital prolapse,7D19400,273600011,Suspension of vagina NEC
Female genital prolapse,7D19500,355002017,Sacrospinous fixation of vaginal vault
Female genital prolapse,7D19600,2674348013,Repair of vault of vagina with mesh using abdominal approach
Female genital prolapse,7D19700,2674349017,Repair of vault of vagina with mesh using vaginal approach
Female genital prolapse,7D19y00,273601010,Other specified repair of vault of vagina
Female genital prolapse,7D19z00,273602015,Repair of vault of vagina NOS
Female genital prolapse,7D1A411,354998017,Colpoperineorrhaphy
Female genital prolapse,7D1B.00,767481000006114,Insertion of supporting pessary into vagina
Female genital prolapse,7D1B000,273610019,Insertion of Hodge pessary into vagina
Female genital prolapse,7D1B100,739131000006116,Insertion of ring into vagina
Female genital prolapse,7D1B200,482042011,Removal of supporting pessary from vagina
Female genital prolapse,7D1B300,545301000006110,Replacement of pessary in vagina
Female genital prolapse,7D1B400,355009014,Removal of ring pessary from vagina
Female genital prolapse,7D1B500,1216364011,Renewal of supporting pessary in vagina
Female genital prolapse,7D1B600,273611015,Insertion of ring pessary into vagina
Female genital prolapse,7D1By00,767501000006116,Introduction of supporting pessary into vagina OS
Female genital prolapse,7D1Bz00,273615012,Insertion of pessary into vagina
Female genital prolapse,K51..00,122880015,Genital prolapse
Female genital prolapse,K510.00,2476660012,Vaginal wall prolapse without uterine prolapse
Female genital prolapse,K510000,67395018,Cystocele without uterine prolapse
Female genital prolapse,K510100,136591012,Cystourethrocele without uterine prolapse
Female genital prolapse,K510200,188921000006111,Female rectocele without uterine prolapse
Female genital prolapse,K510211,201281000006111,Female proctocele without uterine prolapse
Female genital prolapse,K510300,1231269014,Urethrocele without uterine prolapse
Female genital prolapse,K510400,304809013,Vaginal prolapse without uterine prolapse
Female genital prolapse,K510z00,304810015,Vaginal prolapse without uterine prolapse NOS
Female genital prolapse,K511.00,20046011,Uterine prolapse without vaginal wall prolapse
Female genital prolapse,K511.11,482074016,Descens uteri
Female genital prolapse,K511000,80356011,First degree uterine prolapse
Female genital prolapse,K511100,16299015,Second degree uterine prolapse
Female genital prolapse,K511200,106143018,Third degree uterine prolapse
Female genital prolapse,K511z00,304814012,Uterine prolapse without vaginal wall prolapse NOS
Female genital prolapse,K512.00,304815013,"Uterovaginal prolapse, incomplete"
Female genital prolapse,K512000,2534193019,Cystocele with first degree uterine prolapse
Female genital prolapse,K512100,2534194013,Cystocele with second degree uterine prolapse
Female genital prolapse,K513.00,71541000006116,Complete uterovaginal prolapse
Female genital prolapse,K513.11,201221000006112,Uterine procidentia
Female genital prolapse,K513000,2532948010,Cystocele with third degree uterine prolapse
Female genital prolapse,K514.00,304817017,Uterovaginal prolapse
Female genital prolapse,K514000,2534254015,Cystocele with unspecified uterine prolapse
Female genital prolapse,K515.00,216331000006113,Post-hysterectomy vaginal vault prolapse
Female genital prolapse,K516.00,1777629012,Vaginal enterocele
Female genital prolapse,K516.11,237281000006110,Pelvic enterocele
Female genital prolapse,K516100,472886013,Acquired vaginal enterocele
Female genital prolapse,K516z00,304824016,Vaginal enterocele NOS
Female genital prolapse,K517.00,1230378010,Old laceration of pelvic floor muscle
Female genital prolapse,K518.00,1705831000006116,Herniation of rectum into vagina
Female genital prolapse,K519.00,375351014,Cystocele
Female genital prolapse,K51y.00,304825015,Other genital prolapse
Female genital prolapse,K51y000,150853015,Incompetence of pelvic fundus
Female genital prolapse,K51y100,304827011,Relaxation of pelvic floor
Female genital prolapse,K51y300,1495579017,Relaxation of pelvis
Female genital prolapse,K51yz00,304832012,Other genital prolapse NOS
Female genital prolapse,K51z.00,304833019,Genital prolapse NOS
Female genital prolapse,Kyu9100,305248013,Prolapse of female genital organs
Female genital prolapse,SP07900,324959012,Problem with vaginal pessary
Female infertility,1597.00,252120016,H/O: infertility - female
Female infertility,1597.11,252121017,H/O: female infertility
Female infertility,1AZ2.11,779241000006115,Infertility
Female infertility,3189100,256399019,Female infertility test abnormal
Female infertility,6242.00,263130015,A/N care: H/O infertility
Female infertility,8C8..00,86791000006115,Infertility therapy
Female infertility,8C82.00,282947017,Female infertility therapy
Female infertility,8C8Z.00,397174013,Treatment for infertility NOS
Female infertility,8Cf..00,1483150015,Infertility care
Female infertility,K26y000,133297015,Infertility due to drug therapy
Female infertility,K26y200,779151000006114,Infertility due to efferent duct obstruction
Female infertility,K26y300,89449014,Infertility due to radiation
Female infertility,K26y400,779201000006117,Secondary infertility
Female infertility,K5B..00,779131000006119,Female infertility
Female infertility,K5B0.00,396795017,Female infertility of anovulatory origin
Female infertility,K5B0.11,396797013,Anovular cycle
Female infertility,K5B0000,305102011,Primary anovulatory infertility
Female infertility,K5B0100,305103018,Secondary anovulatory infertility
Female infertility,K5B0z00,305104012,Female infertility of anovulatory origin NOS
Female infertility,K5B1.00,305105013,Female infertility of pituitary - hypothalamic origin
Female infertility,K5B1000,305106014,Primary pituitary - hypothalamic infertility
Female infertility,K5B1100,305107017,Secondary pituitary - hypothalamic infertility
Female infertility,K5B1z00,305108010,Female infertility of pituitary - hypothalamic cause NOS
Female infertility,K5B2.00,66155016,Female infertility of tubal origin
Female infertility,K5B2000,305109019,Primary tubal infertility
Female infertility,K5B2100,305110012,Secondary tubal infertility
Female infertility,K5B2300,355463016,Blocked fallopian tube
Female infertility,K5B2z00,305112016,Female infertility of tubal origin NOS
Female infertility,K5B3.00,45005010,Female infertility of uterine origin
Female infertility,K5B3000,305113014,Primary uterine infertility
Female infertility,K5B3100,305114015,Secondary uterine infertility
Female infertility,K5B3z00,305115019,Female infertility of uterine origin NOS
Female infertility,K5B4.00,6341018,Female infertility of cervical origin
Female infertility,K5B4000,305116018,Primary cervical infertility
Female infertility,K5B4100,305117010,Secondary cervical infertility
Female infertility,K5B5.00,51600018,Female infertility of vaginal origin
Female infertility,K5B5000,305122010,Primary vaginal infertility
Female infertility,K5B5100,305123017,Secondary vaginal infertility
Female infertility,K5B5z00,305124011,Female infertility of vaginal origin NOS
Female infertility,K5B6.00,2536834014,Female infertility associated with male factors
Female infertility,K5B7.00,2674253018,Female infertility due to diminished ovarian reserve
Female infertility,K5By.00,305126013,Other female infertility
Female infertility,K5By000,305127016,Primary infertility
Female infertility,K5By100,305128014,Secondary female infertility
Female infertility,K5Byz00,396798015,Other female infertility NOS
Female infertility,K5Byz11,457148011,Subfertility
Female infertility,K5Bz.00,305133013,Female infertility NOS
Female infertility,Kyu9G00,305263011,[X]Female infertility of other origin
Female infertility,ZV23000,460458015,[V]Pregnancy with history of infertility
Female infertility,ZV26.00,460513011,Infertility care management
Female infertility,ZV26y00,460526010,[V]Other specified infertility management
Female infertility,ZV26z00,460527018,[V]Unspecified infertility management
Fibromyalgia,N239.00,709441000006113,Fibromyalgia
Fibromyalgia,N248.00,41386013,Fibromyalgia
"Folate deficiency, with and without anaemia",42U2.00,257560017,Serum folate low
"Folate deficiency, with and without anaemia",42U8.00,257565010,RBC folate low
"Folate deficiency, with and without anaemia",42UB.00,257568012,Whole blood folate low
"Folate deficiency, with and without anaemia",C262000,293006011,Folic acid deficiency
"Folate deficiency, with and without anaemia",D012.00,763221000006115,Megaloblastic anaemia due to folate deficiency
"Folate deficiency, with and without anaemia",D012.11,506651010,Folic acid deficiency anaemia
"Folate deficiency, with and without anaemia",D012000,293925011,Congenital folate malabsorption anaemia
"Folate deficiency, with and without anaemia",D012100,763231000006117,Folate deficiency anaemia due to dietary causes
"Folate deficiency, with and without anaemia",D012111,804971000006111,Goat's milk anaemia
"Folate deficiency, with and without anaemia",D012200,763271000006119,"Folate-deficiency anaemia, drug induced"
"Folate deficiency, with and without anaemia",D012300,763251000006112,Folate-deficiency anaemia due to malabsorption
"Folate deficiency, with and without anaemia",D012400,763241000006110,Folate-deficiency anaemia due to liver disorders
"Folate deficiency, with and without anaemia",D012z00,763261000006114,Folate-deficiency anaemia NOS
"Folate deficiency, with and without anaemia",D013000,293948018,Combined B12 and folate deficiency anaemia
"Folate deficiency, with and without anaemia",Dyu0300,294572011,Folate deficiency anaemia
Fracture of hip,14G7.00,1485120014,H/O: hip fracture
Fracture of hip,7K1D000,207611000006114,Primary open reduction and internal fixation of proximal femoral fracture with screw/nail and plate device
Fracture of hip,7K1D011,208671000006118,Prim open reduct # neck femur & op fix - Blount nail plate
Fracture of hip,7K1D012,208601000006112,Primary open reduction of fracture of neck of femur and open fixation using Charnley compression screw
Fracture of hip,7K1D013,208591000006116,Primary open reduction of fracture of neck of femur and open fixation using Deyerle multiple hip pinning
Fracture of hip,7K1D014,208681000006115,Primary open reduction of fracture of neck of femur and open fixation using Holt nail
Fracture of hip,7K1D015,208691000006117,Prim open reduct # neck femur & op fix - Jewett nail plate
Fracture of hip,7K1D016,208701000006117,Prim open reduct # neck femur & op fix - Massie nail plate
Fracture of hip,7K1D017,208641000006114,Prim open red # neck femur & op fix - McLaughlin nail plate
Fracture of hip,7K1D018,208711000006119,Prim open reduct # neck femur & op fix - Neufield nail plate
Fracture of hip,7K1D019,208721000006110,Prim open reduct # neck femur & op fix - Pugh nail plate
Fracture of hip,7K1D01A,208731000006113,Primary open reduction of fracture of neck of femur and open fixation using Richards screw
Fracture of hip,7K1D01B,208741000006115,Primary open reduction of fracture of neck of femur and open fixation using Ross Brown nail
Fracture of hip,7K1D01D,208611000006110,Prim op red # nck femur & op fix- Zickel intramed nail plate
Fracture of hip,7K1D01E,358600013,DHS - Dynamic hip screw primary fixation of neck of femur
Fracture of hip,7K1D01F,632911000006110,Primary open reduction of fracture of neck of femur and open fixation using dynamic hip screw
Fracture of hip,7K1D600,207601000006111,Open reduction of fracture of femur with internal fixation
Fracture of hip,7K1D700,207591000006115,Primary open reduction and internal fixation of proximal femoral fracture with screw/nail and intramedullary device
Fracture of hip,7K1DE00,1843951000006113,Primary open reduction of fracture of neck of femur and open fixation using proximal femoral nail antirotation
Fracture of hip,7K1H500,166991000006112,Revision to open reduction and external fixation of proximal femoral fracture
Fracture of hip,7K1H600,167991000006110,Revsn to opn red+int fxtn prox fem #+screw/nail device alone
Fracture of hip,7K1H700,159521000006117,Revision to open reduction and internal fixation of proximal femoral fracture with screw/nail and intramedullary device
Fracture of hip,7K1H800,159511000006113,Revision to open reduction and internal fixation of proximal femoral fracture with screw/nail and plate device
Fracture of hip,7K1J000,570621000006118,Closed reduction of fracture of proximal femur and internal fixation using bone screw
Fracture of hip,7K1J011,557961000006116,Cl red intracaps frac neck femur fix-Garden cannulated screw
Fracture of hip,7K1J012,557971000006111,Closed reduction of intracapsular fracture of neck of femur and fixation using Smith-Petersen nail
Fracture of hip,7K1J013,570611000006114,Closed reduction and internal fixation of proximal femoral fracture with Richard's cannulated hip screw
Fracture of hip,7K1J500,210921000006113,Internal fixation of femur without fracture reduction
Fracture of hip,7K1J600,210941000006118,Primary internal fixation(without reduction) of proximal femoral fracture with screw/nail and intramedullary device
Fracture of hip,7K1J700,210931000006111,Primary internal fixation(without reduction) of proximal femoral fracture with screw/nail and plate device
Fracture of hip,7K1J800,167971000006114,Revisn to int fxn(no red) prox fem #+screw/nail device alone
Fracture of hip,7K1J900,159501000006110,Revision to internal fixation(without reduction) of proximal femoral fracture with screw/nail and intramedullary device
Fracture of hip,7K1JA00,167981000006112,Revision to internal fixation(without reduction) of proximal femoral fracture with screw/nail and plate device
Fracture of hip,7K1JB00,210031000006112,Closed reduction of fracture of femur with internal fixation
Fracture of hip,7K1JC00,208561000006112,Primary closed reduction and internal fixation of proximal femoral fracture with screw/nail and intramedullary device
Fracture of hip,7K1Jd00,567461000006115,Closed reduction of intracapsular fracture of neck of femur and internal fixation using a dynamic hip screw
Fracture of hip,7K1JD00,210041000006119,Primary closed reduction and internal fixation of proximal femoral fracture with screw/nail and plate device
Fracture of hip,7K1JE00,159481000006117,Rvsn to cls red+int fxn prox fem #+screw/nail device alone
Fracture of hip,7K1JF00,159351000006118,Revision to closed reduction and internal fixation of proximal femoral fracture with screw/nail and intramedullary device
Fracture of hip,7K1JG00,159491000006119,Revision to closed reduction and internal fixation of proximal femoral fracture with screw/nail and plate device
Fracture of hip,7K1K300,210531000006116,Primary external fixation(without reduction) of proximal femoral fracture
Fracture of hip,7K1K400,166821000006118,Revision to external fixation(without reduction) of proximal femoral fracture
Fracture of hip,7K1K500,210151000006118,Primary closed reduction and external fixation of proximal femoral fracture
Fracture of hip,7K1L400,277185016,Closed reduction of fracture of hip
Fracture of hip,7K1Y000,1702401000006118,Revision to closed reduction and internal fixation of proximal femoral fracture with screw/nail device alone
Fracture of hip,7P20100,370861000000115,Delivery of rehabilitation for hip fracture
Fracture of hip,S30..00,10843018,Fracture of neck of femur
Fracture of hip,S30..11,391384012,Hip fracture
Fracture of hip,S300.00,319084014,"Closed fracture proximal femur, transcervical"
Fracture of hip,S300000,570541000006112,Closed fracture of intracapsular section of femur
Fracture of hip,S300100,319086011,"Closed fracture proximal femur, transepiphyseal"
Fracture of hip,S300200,319087019,"Closed fracture proximal femur, midcervical section"
Fracture of hip,S300300,564391000006113,Closed fracture of base of neck of femur
Fracture of hip,S300311,565211000006111,"Closed fracture, base of neck of femur"
Fracture of hip,S300400,319090013,Closed fracture head of femur
Fracture of hip,S300500,570551000006114,"Cls # prox femur, subcapital, Garden grade unspec."
Fracture of hip,S300600,319092017,"Closed fracture proximal femur, subcapital, Garden grade I"
Fracture of hip,S300700,319093010,"Closed fracture proximal femur, subcapital, Garden grade II"
Fracture of hip,S300800,319094016,"Closed fracture proximal femur, subcapital, Garden grade III"
Fracture of hip,S300900,319095015,"Closed fracture proximal femur, subcapital, Garden grade IV"
Fracture of hip,S300A00,299771000000110,"Closed fracture of femur, upper epiphysis"
Fracture of hip,S300y00,402869013,"Closed fracture proximal femur, other transcervical"
Fracture of hip,S300y11,411305015,"Closed fracture of femur, subcapital"
Fracture of hip,S300z00,564491000006115,"Closed fracture proximal femur, transcervical, NOS"
Fracture of hip,S301.00,319100018,"Open fracture proximal femur, transcervical"
Fracture of hip,S301000,44341000006111,"Opn # proximal femur, intracapsular section, unspecified"
Fracture of hip,S301100,319102014,"Open fracture proximal femur, transepiphyseal"
Fracture of hip,S301311,391394019,Open fracture base of neck of femur
Fracture of hip,S301400,259461000006112,Open fracture of head of femur
Fracture of hip,S301500,319108013,"Open fracture proximal femur,subcapital, Garden grade unspec"
Fracture of hip,S301600,319109017,"Open fracture proximal femur,subcapital, Garden grade I"
Fracture of hip,S301700,319110010,"Open fracture proximal femur,subcapital, Garden grade II"
Fracture of hip,S301800,319111014,"Open fracture proximal femur,subcapital, Garden grade III"
Fracture of hip,S301900,319112019,"Open fracture proximal femur,subcapital, Garden grade IV"
Fracture of hip,S301A00,299791000000114,"Open fracture of femur, upper epiphysis"
Fracture of hip,S301y00,402871013,"Open fracture proximal femur, other transcervical"
Fracture of hip,S301y11,411306019,"Open fracture of femur, subcapital"
Fracture of hip,S302.00,319118015,"Closed fracture of proximal femur, pertrochanteric"
Fracture of hip,S302000,570571000006116,"Cls # proximal femur, trochanteric section, unspecified"
Fracture of hip,S302011,411307011,"Closed fracture of femur, greater trochanter"
Fracture of hip,S302012,411308018,"Closed fracture of femur, lesser trochanter"
Fracture of hip,S302100,319123015,"Closed fracture proximal femur, intertrochanteric, two part"
Fracture of hip,S302200,319124014,"Closed fracture proximal femur, subtrochanteric"
Fracture of hip,S302300,570561000006111,"Closed fracture proximal femur, intertrochanteric, comminuted"
Fracture of hip,S302400,562981000006117,Closed intertrochanteric fracture
Fracture of hip,S302z00,570531000006119,"Cls # of proximal femur, pertrochanteric section, NOS"
Fracture of hip,S303.00,319128012,"Open fracture of proximal femur, pertrochanteric"
Fracture of hip,S303000,265421000006113,"Open # of proximal femur, trochanteric section, unspecified"
Fracture of hip,S303011,411310016,"Open fracture of femur, greater trochanter"
Fracture of hip,S303100,319133011,"Open fracture proximal femur, intertrochanteric, two part"
Fracture of hip,S303200,319134017,"Open fracture proximal femur, subtrochanteric"
Fracture of hip,S303300,319135016,"Open fracture proximal femur, intertrochanteric, comminuted"
Fracture of hip,S303400,258471000006114,Open intertrochanteric fracture
Fracture of hip,S303z00,258191000006119,"Open fracture of proximal femur, pertrochanteric, NOS"
