Condition,OPCS4code,OPCS4codeDescr
Intervertebral disc disorders,V33.1,Primary laminectomy excision of lumbar intervertebral disc
Intervertebral disc disorders,V33.2,Primary fenestration excision of lumbar intervertebral disc
Intervertebral disc disorders,V33.3,Primary anterior excision of lumbar intervertebral disc and interbody fusion of joint of lumbar spine
Intervertebral disc disorders,V33.4,Primary anterior excision of lumbar intervertebral disc NEC
Intervertebral disc disorders,V33.5,Primary anterior excision of lumbar intervertebral disc and posterior graft fusion of joint of lumbar spine
Intervertebral disc disorders,V33.6,Primary anterior excision of lumbar intervertebral disc and posterior instrumentation of lumbar spine
Intervertebral disc disorders,V33.7,Primary microdiscectomy of lumbar intervertebral disc
Intervertebral disc disorders,V33.8,Other specified primary excision of lumbar intervertebral disc
Intervertebral disc disorders,V33.9,Unspecified primary excision of lumbar intervertebral disc
Intervertebral disc disorders,V34,Revisional excision of lumbar intervertebral disc
Intervertebral disc disorders,V34.1,Revisional laminectomy excision of lumbar intervertebral disc
Intervertebral disc disorders,V34.2,Revisional fenestration excision of lumbar intervertebral disc
Intervertebral disc disorders,V34.3,Revisional anterior excision of lumbar intervertebral disc and interbody fusion of joint of lumbar spine
Intervertebral disc disorders,V34.4,Revisional anterior excision of lumbar intervertebral disc NEC
Intervertebral disc disorders,V34.5,Revisional anterior excision of lumbar intervertebral disc and posterior graft fusion of joint of lumbar spine
Intervertebral disc disorders,V34.6,Revisional anterior excision of lumbar intervertebral disc and posterior instrumentation of lumbar spine
Intervertebral disc disorders,V34.7,Revisional microdiscectomy of lumbar intervertebral disc
Intervertebral disc disorders,V34.8,Other specified revisional excision of lumbar intervertebral disc
Intervertebral disc disorders,V34.9,Unspecified revisional excision of lumbar intervertebral disc
Intervertebral disc disorders,V35,Excision of unspecified intervertebral disc
Intervertebral disc disorders,V35.1,Primary excision of intervertebral disc NEC
Intervertebral disc disorders,V35.2,Revisional excision of intervertebral disc NEC
Intervertebral disc disorders,V35.8,Other specified excision of unspecified intervertebral disc
Intervertebral disc disorders,V35.9,Unspecified excision of unspecified intervertebral disc
Intervertebral disc disorders,V36,Prosthetic replacement of intervertebral disc
Intervertebral disc disorders,V36.1,Prosthetic replacement of cervical intervertebral disc
Intervertebral disc disorders,V36.2,Prosthetic replacement of thoracic intervertebral disc
Intervertebral disc disorders,V36.3,Prosthetic replacement of lumbar intervertebral disc
Intervertebral disc disorders,V36.8,Other specified prosthetic replacement of intervertebral disc
Intervertebral disc disorders,V36.9,Unspecified prosthetic replacement of intervertebral disc
Intervertebral disc disorders,V51,Other primary excision of lumbar intervertebral disc
Intervertebral disc disorders,V51.1,Primary direct lateral excision of lumbar intervertebral disc and interbody fusion of joint of lumbar spine
Intervertebral disc disorders,V51.8,Other specified other primary excision of lumbar intervertebral disc
Intervertebral disc disorders,V51.9,Unspecified other primary excision of lumbar intervertebral disc
Intervertebral disc disorders,V52,Other operations on intervertebral disc
Intervertebral disc disorders,V52.1,Enzyme destruction of intervertebral disc
Intervertebral disc disorders,V52.2,Destruction of intervertebral disc NEC
Intervertebral disc disorders,V52.3,Discography of intervertebral disc
Intervertebral disc disorders,V52.4,Biopsy of lesion of intervertebral disc NEC
Intervertebral disc disorders,V52.5,Aspiration of intervertebral disc NEC
Intervertebral disc disorders,V52.8,Other specified other operations on intervertebral disc
Intervertebral disc disorders,V52.9,Unspecified other operations on intervertebral disc
Intervertebral disc disorders,V58,Primary automated percutaneous mechanical excision of intervertebral disc
Intervertebral disc disorders,V58.1,Primary automated percutaneous mechanical excision of cervical intervertebral disc
Intervertebral disc disorders,V58.2,Primary automated percutaneous mechanical excision of thoracic intervertebral disc
Intervertebral disc disorders,V58.3,Primary automated percutaneous mechanical excision of lumbar intervertebral disc
Intervertebral disc disorders,V58.8,Other specified primary automated percutaneous mechanical excision of intervertebral disc
Intervertebral disc disorders,V58.9,Unspecified primary automated percutaneous mechanical excision of intervertebral disc
Intervertebral disc disorders,V59,Revisional automated percutaneous mechanical excision of intervertebral disc
Intervertebral disc disorders,V59.1,Revisional automated percutaneous mechanical excision of cervical intervertebral disc
Intervertebral disc disorders,V59.2,Revisional automated percutaneous mechanical excision of thoracic intervertebral disc
Intervertebral disc disorders,V59.3,Revisional automated percutaneous mechanical excision of lumbar intervertebral disc
Intervertebral disc disorders,V59.8,Other specified revisional automated percutaneous mechanical excision of intervertebral disc
Intervertebral disc disorders,V59.9,Unspecified revisional automated percutaneous mechanical excision of intervertebral disc
Intervertebral disc disorders,V60,Primary percutaneous decompression using coblation to intervertebral disc
Intervertebral disc disorders,V60.1,Primary percutaneous decompression using coblation to cervical intervertebral disc
Intervertebral disc disorders,V60.2,Primary percutaneous decompression using coblation to thoracic intervertebral disc
Intervertebral disc disorders,V60.3,Primary percutaneous decompression using coblation to lumbar intervertebral disc
Intervertebral disc disorders,V60.8,Other specified primary percutaneous decompression using coblation to intervertebral disc
Intervertebral disc disorders,V60.9,Unspecified primary percutaneous decompression using coblation to intervertebral disc
Intervertebral disc disorders,V61,Revisional percutaneous decompression using coblation to intervertebral disc
Intervertebral disc disorders,V61.1,Revisional percutaneous decompression using coblation to cervical intervertebral disc
Intervertebral disc disorders,V61.2,Revisional percutaneous decompression using coblation to thoracic intervertebral disc
Intervertebral disc disorders,V61.3,Revisional percutaneous decompression using coblation to lumbar intervertebral disc
Intervertebral disc disorders,V61.8,Other specified revisional percutaneous decompression using coblation to intervertebral disc
Intervertebral disc disorders,V61.9,Unspecified revisional percutaneous decompression using coblation to intervertebral disc
Intervertebral disc disorders,V62,Primary percutaneous intradiscal radiofrequency thermocoagulation to intervertebral disc
Intervertebral disc disorders,V62.1,Primary percutaneous intradiscal radiofrequency thermocoagulation to cervical intervertebral disc
Intervertebral disc disorders,V62.2,Primary percutaneous intradiscal radiofrequency thermocoagulation to thoracic intervertebral disc
Intervertebral disc disorders,V62.3,Primary percutaneous intradiscal radiofrequency thermocoagulation to lumbar intervertebral disc
Intervertebral disc disorders,V62.8,Other specified primary percutaneous intradiscal radiofrequency thermocoagulation to intervertebral disc
Intervertebral disc disorders,V62.9,Unspecified primary percutaneous intradiscal radiofrequency thermocoagulation to intervertebral disc
Intervertebral disc disorders,V63,Revisional percutaneous intradiscal radiofrequency thermocoagulation to intervertebral disc
Intervertebral disc disorders,V63.1,Revisional percutaneous intradiscal radiofrequency thermocoagulation to cervical intervertebral disc
Intervertebral disc disorders,V63.2,Revisional percutaneous intradiscal radiofrequency thermocoagulation to thoracic intervertebral disc
Intervertebral disc disorders,V63.3,Revisional percutaneous intradiscal radiofrequency thermocoagulation to lumbar intervertebral disc
Intervertebral disc disorders,V63.8,Other specified revisional percutaneous intradiscal radiofrequency thermocoagulation to intervertebral disc
Intervertebral disc disorders,V63.9,Unspecified revisional percutaneous intradiscal radiofrequency thermocoagulation to intervertebral disc
Intracerebral haemorrhage,A05.4,Evacuation of intracerebral haematoma NEC
Liver failure and transplant,J01,Transplantation of liver
Liver failure and transplant,J01.2,Heterotopic transplantation of liver
Liver failure and transplant,J01.3,Replacement of previous liver transplant
Liver failure and transplant,J01.5,Orthotopic transplantation of whole liver
Liver failure and transplant,J01.8,Other specified transplantation of liver
Liver failure and transplant,J01.9,Unspecified transplantation of liver
Liver failure and transplant,J07.3,Exploration of liver
Liver failure and transplant,J15.2,Percutaneous transluminal insertion of stent into hepatic artery NEC
Liver failure and transplant,X43,Compensation for liver failure
Liver failure and transplant,X43.9,Unspecified compensation for liver failure
Motor neuron disease,X85.2,Amyotrophic lateral sclerosis drugs Band 1
Myelodysplastic syndromes,X90.7,Myelodysplastic syndrome drugs Band 1
Nasal polyp,E03.2,Excision of lesion of septum of nose
Nasal polyp,E08.1,Polypectomy of internal nose
"Non-malignant tumour of brain, central nervous system and pituitary",B01.8,Other specified excision of pituitary gland
"Non-malignant tumour of brain, central nervous system and pituitary",B01.9,Unspecified excision of pituitary gland
"Non-malignant tumour of brain, central nervous system and pituitary",B02.1,Cryotherapy to pituitary gland
"Non-malignant tumour of brain, central nervous system and pituitary",B02.2,Implantation of radioactive substance into pituitary gland
"Non-malignant tumour of brain, central nervous system and pituitary",B04,Other operations on pituitary gland
"Non-malignant tumour of brain, central nervous system and pituitary",B04.1,Excision of lesion of pituitary gland
"Non-malignant tumour of brain, central nervous system and pituitary",B04.3,Decompression of pituitary gland
"Non-malignant tumour of brain, central nervous system and pituitary",B04.4,Exploration of pituitary gland
"Non-malignant tumour of brain, central nervous system and pituitary",B04.8,Other specified other operations on pituitary gland
"Non-malignant tumour of brain, central nervous system and pituitary",B04.9,Unspecified other operations on pituitary gland
Obesity,G28.4,Sleeve gastrectomy and duodenal switch
Obesity,G28.5,Sleeve gastrectomy NEC
Obesity,G30.2,Partitioning of stomach NEC
Obesity,G30.3,Partitioning of stomach using band
Obesity,G30.4,Partitioning of stomach using staples
Obesity,G30.5,Maintenance of gastric band
Obesity,G31.2,Bypass of stomach by anastomosis of stomach to duodenum
Obesity,G33.1,Bypass of stomach by anastomosis of stomach to jejunum NEC
Obesity,G38.7,Removal of gastric band
Obesity,G61,Bypass of jejunum
Obesity,G61.1,Bypass of jejunum by anastomosis of jejunum to jejunum
Obesity,G61.2,Bypass of jejunum by anastomosis of jejunum to ileum
Obesity,G61.3,Bypass of jejunum by anastomosis of jejunum to colon
Obesity,G61.8,Other specified bypass of jejunum
Obesity,G61.9,Unspecified bypass of jejunum
Obesity,G71.6,Duodenal switch
Osteoarthritis (excl spine),U50.5,Delivery of rehabilitation for osteoarthritis
Other psychoactive substance misuse,U52.1,Delivery of rehabilitation for drug addiction
Peptic ulcer disease,G29.2,Open excision of lesion of stomach NEC
Peptic ulcer disease,G29.8,Other specified open extirpation of lesion of stomach
Peptic ulcer disease,G35,Operations on ulcer of stomach
Peptic ulcer disease,G35.1,Closure of perforated ulcer of stomach
Peptic ulcer disease,G35.2,Closure of ulcer of stomach NEC
Peptic ulcer disease,G35.8,Other specified operations on ulcer of stomach
Peptic ulcer disease,G35.9,Unspecified operations on ulcer of stomach
Peptic ulcer disease,G52,Operations on ulcer of duodenum
Peptic ulcer disease,G52.1,Closure of perforated ulcer of duodenum
Peptic ulcer disease,G52.2,Suture of ulcer of duodenum NEC
Peptic ulcer disease,G52.3,Oversew of blood vessel of duodenal ulcer
Peptic ulcer disease,G52.8,Other specified operations on ulcer of duodenum
Peptic ulcer disease,G52.9,Unspecified operations on ulcer of duodenum
Peripheral arterial disease,L16.2,Bypass of aorta by anastomosis of axillary artery to femoral artery NEC
Peripheral arterial disease,L16.3,Bypass of aorta by anastomosis of axillary artery to bilateral femoral arteries
Peripheral arterial disease,L21,Other bypass of segment of aorta
Peripheral arterial disease,L21.6,Bypass of bifurcation of aorta by anastomosis of aorta to iliac artery NEC
Peripheral arterial disease,L21.8,Other specified other bypass of segment of aorta
Peripheral arterial disease,L21.9,Unspecified other bypass of segment of aorta
Peripheral arterial disease,L25.3,Open embolectomy of bifurcation of aorta
Peripheral arterial disease,L50,Other emergency bypass of iliac artery
Peripheral arterial disease,L50.1,Emergency bypass of common iliac artery by anastomosis of aorta to common iliac artery NEC
Peripheral arterial disease,L50.2,Emergency bypass of iliac artery by anastomosis of aorta to external iliac artery NEC
Peripheral arterial disease,L50.3,Emergency bypass of artery of leg by anastomosis of aorta to common femoral artery NEC
Peripheral arterial disease,L50.4,Emergency bypass of artery of leg by anastomosis of aorta to deep femoral artery NEC
Peripheral arterial disease,L50.5,Emergency bypass of iliac artery by anastomosis of iliac artery to iliac artery NEC
Peripheral arterial disease,L50.6,Emergency bypass of artery of leg by anastomosis of iliac artery to femoral artery NEC
Peripheral arterial disease,L50.8,Other specified other emergency bypass of iliac artery
Peripheral arterial disease,L50.9,Unspecified other emergency bypass of iliac artery
Peripheral arterial disease,L51,Other bypass of iliac artery
Peripheral arterial disease,L51.1,Bypass of common iliac artery by anastomosis of aorta to common iliac artery NEC
Peripheral arterial disease,L51.2,Bypass of iliac artery by anastomosis of aorta to external iliac artery NEC
Peripheral arterial disease,L51.3,Bypass of artery of leg by anastomosis of aorta to common femoral artery NEC
Peripheral arterial disease,L51.4,Bypass of artery of leg by anastomosis of aorta to deep femoral artery NEC
Peripheral arterial disease,L51.5,Bypass of iliac artery by anastomosis of iliac artery to iliac artery NEC
Peripheral arterial disease,L51.6,Bypass of artery of leg by anastomosis of iliac artery to femoral artery NEC
Peripheral arterial disease,L51.8,Other specified other bypass of iliac artery
Peripheral arterial disease,L51.9,Unspecified other bypass of iliac artery
Peripheral arterial disease,L52,Reconstruction of iliac artery
Peripheral arterial disease,L52.1,Endarterectomy of iliac artery and patch repair of iliac artery
Peripheral arterial disease,L52.2,Endarterectomy of iliac artery NEC
Peripheral arterial disease,L52.8,Other specified reconstruction of iliac artery
Peripheral arterial disease,L52.9,Unspecified reconstruction of iliac artery
Peripheral arterial disease,L53,Other open operations on iliac artery
Peripheral arterial disease,L53.1,Repair of iliac artery NEC
Peripheral arterial disease,L53.2,Open embolectomy of iliac artery
Peripheral arterial disease,L54.1,Percutaneous transluminal angioplasty of iliac artery
Peripheral arterial disease,L54.2,Percutaneous transluminal embolectomy of iliac artery
Peripheral arterial disease,L54.4,Percutaneous transluminal insertion of stent into iliac artery
Peripheral arterial disease,L54.8,Other specified transluminal operations on iliac artery
Peripheral arterial disease,L54.9,Unspecified transluminal operations on iliac artery
Peripheral arterial disease,L58,Other emergency bypass of femoral artery
Peripheral arterial disease,L58.1,Emergency bypass of femoral artery by anastomosis of femoral artery to femoral artery NEC
Peripheral arterial disease,L58.2,Emergency bypass of femoral artery by anastomosis of femoral artery to popliteal artery using prosthesis NEC
Peripheral arterial disease,L58.3,Emergency bypass of femoral artery by anastomosis of femoral artery to popliteal artery using vein graft NEC
Peripheral arterial disease,L58.4,Emergency bypass of femoral artery by anastomosis of femoral artery to tibial artery using prosthesis NEC
Peripheral arterial disease,L58.5,Emergency bypass of femoral artery by anastomosis of femoral artery to tibial artery using vein graft NEC
Peripheral arterial disease,L58.6,Emergency bypass of femoral artery by anastomosis of femoral artery to peroneal artery using prosthesis NEC
Peripheral arterial disease,L58.7,Emergency bypass of femoral artery by anastomosis of femoral artery to peroneal artery using vein graft NEC
Peripheral arterial disease,L58.8,Other specified other emergency bypass of femoral artery
Peripheral arterial disease,L58.9,Unspecified other emergency bypass of femoral artery
Peripheral arterial disease,L59,Other bypass of femoral artery
Peripheral arterial disease,L59.1,Bypass of femoral artery by anastomosis of femoral artery to femoral artery NEC
Peripheral arterial disease,L59.2,Bypass of femoral artery by anastomosis of femoral artery to popliteal artery using prosthesis NEC
Peripheral arterial disease,L59.3,Bypass of femoral artery by anastomosis of femoral artery to popliteal artery using vein graft NEC
Peripheral arterial disease,L59.4,Bypass of femoral artery by anastomosis of femoral artery to tibial artery using prosthesis NEC
Peripheral arterial disease,L59.5,Bypass of femoral artery by anastomosis of femoral artery to tibial artery using vein graft NEC
Peripheral arterial disease,L59.6,Bypass of femoral artery by anastomosis of femoral artery to peroneal artery using prosthesis NEC
Peripheral arterial disease,L59.7,Bypass of femoral artery by anastomosis of femoral artery to peroneal artery using vein graft NEC
Peripheral arterial disease,L59.8,Other specified other bypass of femoral artery
Peripheral arterial disease,L59.9,Unspecified other bypass of femoral artery
Peripheral arterial disease,L60,Reconstruction of femoral artery
Peripheral arterial disease,L60.1,Endarterectomy of femoral artery and patch repair of femoral artery
Peripheral arterial disease,L60.2,Endarterectomy of femoral artery NEC
Peripheral arterial disease,L60.3,Profundoplasty of femoral artery and patch repair of deep femoral artery
Peripheral arterial disease,L60.4,Profundoplasty of femoral artery NEC
Peripheral arterial disease,L60.8,Other specified reconstruction of femoral artery
Peripheral arterial disease,L60.9,Unspecified reconstruction of femoral artery
Peripheral arterial disease,L62,Other open operations on femoral artery
Peripheral arterial disease,L62.1,Repair of femoral artery NEC
Peripheral arterial disease,L62.2,Open embolectomy of femoral artery
Peripheral arterial disease,L62.8,Other specified other open operations on femoral artery
Peripheral arterial disease,L62.9,Unspecified other open operations on femoral artery
Peripheral arterial disease,L63.1,Percutaneous transluminal angioplasty of femoral artery
Peripheral arterial disease,L63.2,Percutaneous transluminal embolectomy of femoral artery
Peripheral arterial disease,L63.3,Percutaneous transluminal embolisation of femoral artery
Peripheral arterial disease,L63.5,Percutaneous transluminal insertion of stent into femoral artery
Peripheral arterial disease,L65,Revision of reconstruction of artery
Peripheral arterial disease,L65.1,Revision of reconstruction involving aorta
Peripheral arterial disease,L65.2,Revision of reconstruction involving iliac artery
Peripheral arterial disease,L65.3,Revision of reconstruction involving femoral artery
Peripheral arterial disease,L65.8,Other specified revision of reconstruction of artery
Peripheral venous and lymphatic disease,L83.2,Subfascial ligation of perforating vein of leg
Peripheral venous and lymphatic disease,L84,Combined operations on varicose vein of leg
Peripheral venous and lymphatic disease,L84.8,Other specified combined operations on varicose vein of leg
Peripheral venous and lymphatic disease,L84.9,Unspecified combined operations on varicose vein of leg
Peripheral venous and lymphatic disease,L85,Ligation of varicose vein of leg
Peripheral venous and lymphatic disease,L85.3,Ligation of recurrent varicose vein of leg
Peripheral venous and lymphatic disease,L85.8,Other specified ligation of varicose vein of leg
Peripheral venous and lymphatic disease,L85.9,Unspecified ligation of varicose vein of leg
Peripheral venous and lymphatic disease,L86,Injection into varicose vein of leg
Peripheral venous and lymphatic disease,L86.1,Injection of sclerosing substance into varicose vein of leg NEC
Peripheral venous and lymphatic disease,L86.8,Other specified injection into varicose vein of leg
Peripheral venous and lymphatic disease,L86.9,Unspecified injection into varicose vein of leg
Peripheral venous and lymphatic disease,L87,Other operations on varicose vein of leg
Peripheral venous and lymphatic disease,L87.5,Local excision of varicose vein of leg
Peripheral venous and lymphatic disease,L87.6,Incision of varicose vein of leg
Peripheral venous and lymphatic disease,L87.7,Transilluminated powered phlebectomy of varicose vein of leg
Peripheral venous and lymphatic disease,L87.8,Other specified other operations on varicose vein of leg
Peripheral venous and lymphatic disease,L87.9,Unspecified other operations on varicose vein of leg
Peripheral venous and lymphatic disease,L88,Transluminal operations on varicose vein of leg
Peripheral venous and lymphatic disease,L88.2,Radiofrequency ablation of varicose vein of leg
Peripheral venous and lymphatic disease,L88.8,Other specified transluminal operations on varicose vein of leg
Peripheral venous and lymphatic disease,L88.9,Unspecified transluminal operations on varicose vein of leg
Peripheral venous and lymphatic disease,T92,Other operations on lymphatic tissue
Peripheral venous and lymphatic disease,T92.2,Excision of lymphoedematous tissue of arm
Peripheral venous and lymphatic disease,T92.3,Excision of lymphoedematous tissue of leg and buried flaps HFQ
Peripheral venous and lymphatic disease,T92.4,Excision of lymphoedematous tissue of leg NEC
Peripheral venous and lymphatic disease,T92.5,Excision of lymphoedematous tissue of scrotum
Peripheral venous and lymphatic disease,T92.6,Excision of lymphoedematous tissue NEC
Peripheral venous and lymphatic disease,T92.8,Other specified other operations on lymphatic tissue
Portal hypertension and oesophageal varices,G10,Open operations on varices of oesophagus
Portal hypertension and oesophageal varices,G10.1,Disconnection of azygos vein
Portal hypertension and oesophageal varices,G10.2,Transection of oesophagus using staple gun
Portal hypertension and oesophageal varices,G10.3,Transection of oesophagus NEC
Portal hypertension and oesophageal varices,G10.4,Local ligation of varices of oesophagus
Portal hypertension and oesophageal varices,G10.5,Open injection sclerotherapy to varices of oesophagus
Portal hypertension and oesophageal varices,G10.8,Other specified open operations on varices of oesophagus
Portal hypertension and oesophageal varices,G10.9,Unspecified open operations on varices of oesophagus
Portal hypertension and oesophageal varices,G14.8,Other specified fibreoptic endoscopic extirpation of lesion of oesophagus
Portal hypertension and oesophageal varices,G17.4,Endoscopic injection sclerotherapy to varices of oesophagus using rigid oesophagoscope
Portal hypertension and oesophageal varices,G17.8,Other specified endoscopic extirpation of lesion of oesophagus using rigid oesophagoscope
Portal hypertension and oesophageal varices,G43.7,Fibreoptic endoscopic rubber band ligation of upper gastrointestinal tract varices
Primary malignancy prostate,M34.1,Cystoprostatectomy
Primary malignancy prostate,M61.1,Total excision of prostate and capsule of prostate
Primary Malignancy_Other Skin and subcutaneous tissue,S06.9,Unspecified other excision of lesion of skin
Ptosis of eyelid,C18,Correction of ptosis of eyelid
Ptosis of eyelid,C18.1,Correction of ptosis of eyelid using levator muscle technique
Ptosis of eyelid,C18.2,Correction of ptosis of eyelid using frontalis muscle technique
Ptosis of eyelid,C18.3,Correction of ptosis of eyelid using sling of fascia
Ptosis of eyelid,C18.4,Correction of ptosis of eyelid using superior rectus muscle technique
Ptosis of eyelid,C18.5,Tarsomullerectomy
Ptosis of eyelid,C18.6,Correction of ptosis of eyelid using aponeurosis technique
Ptosis of eyelid,C18.8,Other specified correction of ptosis of eyelid
Ptosis of eyelid,C18.9,Unspecified correction of ptosis of eyelid
Retinal detachments and breaks,C81,Photocoagulation of retina for detachment
Retinal detachments and breaks,C81.1,Xenon photocoagulation of retina for detachment
Retinal detachments and breaks,C81.2,Laser photocoagulation of retina for detachment
Retinal detachments and breaks,C81.8,Other specified photocoagulation of retina for detachment
Retinal detachments and breaks,C81.9,Unspecified photocoagulation of retina for detachment
Retinal detachments and breaks,C82.1,Cauterisation of lesion of retina
Rheumatoid Arthritis,U50.4,Delivery of rehabilitation for rheumatoid arthritis
Scoliosis,V41.2,Anterior attachment of correctional instrument to spine
Spina bifida,A12.2,Creation of ventriculovascular shunt
Spina bifida,A49,Repair of spina bifida
Spina bifida,A49.1,Freeing of spinal tether NEC
Spina bifida,A49.2,Closure of spinal myelomeningocele
Spina bifida,A49.3,Closure of spinal meningocele
Spina bifida,A49.4,Complex freeing of spinal tether
Spina bifida,A49.8,Other specified repair of spina bifida
Spina bifida,A49.9,Unspecified repair of spina bifida
Spondylolisthesis,V38.3,Primary posterior fusion of joint of lumbar spine NEC
Spondylolisthesis,V43.8,Other specified extirpation of lesion of spine
Spondylolisthesis,V54.8,Other specified other operations on spine
Subdural haematoma,A41,Drainage of subdural space
Subdural haematoma,A41.1,Evacuation of subdural haematoma
Subdural haematoma,A41.8,Other specified drainage of subdural space
Subdural haematoma,A41.9,Unspecified drainage of subdural space
Thyroid disease,B08,Excision of thyroid gland
Thyroid disease,B08.1,Total thyroidectomy
Thyroid disease,B08.2,Subtotal thyroidectomy
Thyroid disease,B08.8,Other specified excision of thyroid gland
Thyroid disease,B08.9,Unspecified excision of thyroid gland
Thyroid disease,B12.8,Other specified other operations on thyroid gland
Thyroid disease,B12.9,Unspecified other operations on thyroid gland
Urolithiasis,M06.1,Open removal of calculus from kidney
Urolithiasis,M09,Therapeutic endoscopic operations on calculus of kidney
Urolithiasis,M09.1,Endoscopic ultrasound fragmentation of calculus of kidney
Urolithiasis,M09.2,Endoscopic electrohydraulic shockwave fragmentation of calculus of kidney
Urolithiasis,M09.3,Endoscopic laser fragmentation of calculus of kidney
Urolithiasis,M09.4,Endoscopic extraction of calculus of kidney NEC
Urolithiasis,M09.8,Other specified therapeutic endoscopic operations on calculus of kidney
Urolithiasis,M09.9,Unspecified therapeutic endoscopic operations on calculus of kidney
Urolithiasis,M14,Extracorporeal fragmentation of calculus of kidney
Urolithiasis,M14.1,Extracorporeal shock wave lithotripsy of calculus of kidney
Urolithiasis,M14.8,Other specified extracorporeal fragmentation of calculus of kidney
Urolithiasis,M14.9,Unspecified extracorporeal fragmentation of calculus of kidney
Urolithiasis,M16.4,Percutaneous nephrolithotomy NEC
Urolithiasis,M23.1,Open ureterolithotomy
Urolithiasis,M26.1,Nephroscopic laser fragmentation of calculus of ureter
Urolithiasis,M26.2,Nephroscopic fragmentation of calculus of ureter NEC
Urolithiasis,M26.3,Nephroscopic extraction of calculus of ureter
Urolithiasis,M27.1,Ureteroscopic laser fragmentation of calculus of ureter
Urolithiasis,M27.2,Ureteroscopic fragmentation of calculus of ureter NEC
Urolithiasis,M27.3,Ureteroscopic extraction of calculus of ureter
Urolithiasis,M28,Other endoscopic removal of calculus from ureter
Urolithiasis,M28.1,Endoscopic laser fragmentation of calculus of ureter NEC
Urolithiasis,M28.2,Endoscopic fragmentation of calculus of ureter NEC
Urolithiasis,M28.3,Endoscopic extraction of calculus of ureter NEC
Urolithiasis,M28.4,Endoscopic catheter drainage of calculus of ureter
Urolithiasis,M28.5,Endoscopic drainage of calculus of ureter by dilation of ureter
Urolithiasis,M28.8,Other specified other endoscopic removal of calculus from ureter
Urolithiasis,M28.9,Unspecified other endoscopic removal of calculus from ureter
Urolithiasis,M31,Extracorporeal fragmentation of calculus of ureter
Urolithiasis,M31.1,Extracorporeal shockwave lithotripsy of calculus of ureter
Urolithiasis,M31.8,Other specified extracorporeal fragmentation of calculus of ureter
Urolithiasis,M31.9,Unspecified extracorporeal fragmentation of calculus of ureter
Urolithiasis,M39.1,Open removal of calculus from bladder
Urolithiasis,M44.1,Endoscopic lithopaxy
Urolithiasis,M44.2,Endoscopic extraction of calculus of bladder NEC
Urolithiasis,M47.8,Other specified urethral catheterisation of bladder
Urolithiasis,M75.4,Open extraction of calculus from urethra
Urolithiasis,M75.9,Unspecified other open operations on urethra
Urolithiasis,M76.2,Endoscopic removal of foreign body from urethra
Urolithiasis,M86.1,Endoscopic extraction of calculus of urinary diversion
