Disease,ICD10code,ICD10codeDescr,Category,OPCS4code,OPCS4codeDescr
Dysmenorrhoea,N94.5,Secondary dysmenorrhoea,Diagnosis of Dysmenorrhoea,NA,NA
Dysmenorrhoea,N94.6,"Dysmenorrhoea, unspecified",Diagnosis of Dysmenorrhoea,NA,NA
End stage renal disease,N18.5,"Chronic kidney disease, stage 5",Diagnosis of End stage renal disease,NA,NA
End stage renal disease,T82.4,Mechanical complication of vascular dialysis catheter,Procedure for End stage renal disease,NA,NA
End stage renal disease,Y60.2,During kidney dialysis or other perfusion,Procedure for End stage renal disease,NA,NA
End stage renal disease,Y61.2,During kidney dialysis or other perfusion,Procedure for End stage renal disease,NA,NA
End stage renal disease,Y84.1,Kidney dialysis,Procedure for End stage renal disease,NA,NA
End stage renal disease,Z49.1,Extracorporeal dialysis,Procedure for End stage renal disease,NA,NA
End stage renal disease,Z49.2,Other dialysis,Procedure for End stage renal disease,NA,NA
End stage renal disease,Z99.2,Dependence on renal dialysis,Procedure for End stage renal disease,NA,NA
End stage renal disease,N16.5,Renal tubulo-interstitial disorders in transplant rejection,Procedure for End stage renal disease,NA,NA
End stage renal disease,T86.1,Kidney transplant failure and rejection,Procedure for End stage renal disease,NA,NA
End stage renal disease,Z94.0,Kidney transplant status,Procedure for End stage renal disease,NA,NA
End stage renal disease,NA,NA,Procedure for End stage renal disease,L74.6,Creation of graft fistula for dialysis
End stage renal disease,NA,NA,Procedure for End stage renal disease,M01.1,Autotransplantation of kidney
End stage renal disease,NA,NA,Procedure for End stage renal disease,M01.2,Allotransplantation of kidney from live donor
End stage renal disease,NA,NA,Procedure for End stage renal disease,M01.3,Allotransplantation of kidney from cadaver NEC
End stage renal disease,NA,NA,Procedure for End stage renal disease,M01.4,Allotransplantation of kidney from cadaver heart beating
End stage renal disease,NA,NA,Procedure for End stage renal disease,M01.5,Allotransplantation of kidney from cadaver heart non-beating
End stage renal disease,NA,NA,Procedure for End stage renal disease,M01.8,Other specified transplantation of kidney
End stage renal disease,NA,NA,Procedure for End stage renal disease,M01.9,Unspecified transplantation of kidney
End stage renal disease,NA,NA,Procedure for End stage renal disease,M02.6,Excision of rejected transplanted kidney
End stage renal disease,NA,NA,Procedure for End stage renal disease,M02.7,Excision of transplanted kidney NEC
End stage renal disease,NA,NA,Procedure for End stage renal disease,M08.4,Exploration of transplanted kidney
End stage renal disease,NA,NA,Procedure for End stage renal disease,M17.2,Pre-transplantation of kidney work-up - recipient
End stage renal disease,NA,NA,Procedure for End stage renal disease,M17.4,Post-transplantation of kidney examination - recipient
End stage renal disease,NA,NA,Procedure for End stage renal disease,M17.8,Other specified interventions associated with transplantation of kidney
End stage renal disease,NA,NA,Procedure for End stage renal disease,M17.9,Unspecified interventions associated with transplantation of kidney
End stage renal disease,NA,NA,Procedure for End stage renal disease,X40.1,Renal dialysis
End stage renal disease,NA,NA,Procedure for End stage renal disease,X40.2,Peritoneal dialysis NEC
End stage renal disease,NA,NA,Procedure for End stage renal disease,X40.3,Haemodialysis NEC
End stage renal disease,NA,NA,Procedure for End stage renal disease,X40.5,Automated peritoneal dialysis
End stage renal disease,NA,NA,Procedure for End stage renal disease,X40.6,Continuous ambulatory peritoneal dialysis
End stage renal disease,NA,NA,Procedure for End stage renal disease,X41.1,Insertion of ambulatory peritoneal dialysis catheter
End stage renal disease,NA,NA,Procedure for End stage renal disease,X41.2,Removal of ambulatory peritoneal dialysis catheter
End stage renal disease,NA,NA,Procedure for End stage renal disease,X42.1,Insertion of temporary peritoneal dialysis catheter
Endometriosis,N80,Endometriosis,Diagnosis of Endometriosis,NA,NA
Enteropathic arthropathy,M07.4,Arthropathy in Crohn's disease [regional enteritis],Diagnosis of Enteropathic arthropathy,NA,NA
Enteropathic arthropathy,M07.5,Arthropathy in ulcerative colitis,Diagnosis of Enteropathic arthropathy,NA,NA
Enteropathic arthropathy,M07.6,Other enteropathic arthropathies,Diagnosis of Enteropathic arthropathy,NA,NA
Enthesopathies & synovial disorders,M46.0,Spinal enthesopathy,Diagnosis of Enthesopathies & synovial disorders,NA,NA
Enthesopathies & synovial disorders,M65.2,Calcific tendinitis,Diagnosis of Enthesopathies & synovial disorders,NA,NA
Enthesopathies & synovial disorders,M65.3,Trigger finger,Diagnosis of Enthesopathies & synovial disorders,NA,NA
Enthesopathies & synovial disorders,M65.4,Radial styloid tenosynovitis [de Quervain],Diagnosis of Enthesopathies & synovial disorders,NA,NA
Enthesopathies & synovial disorders,M65.8,Other synovitis and tenosynovitis,Diagnosis of Enthesopathies & synovial disorders,NA,NA
Enthesopathies & synovial disorders,M65.9,"Synovitis and tenosynovitis, unspecified",Diagnosis of Enthesopathies & synovial disorders,NA,NA
Enthesopathies & synovial disorders,M66,Spontaneous rupture of synovium and tendon,Diagnosis of Enthesopathies & synovial disorders,NA,NA
Enthesopathies & synovial disorders,M70,"Soft tissue disorders related to use, overuse and pressure",Diagnosis of Enthesopathies & synovial disorders,NA,NA
Enthesopathies & synovial disorders,M71.2,Synovial cyst of popliteal space [Baker],Diagnosis of Enthesopathies & synovial disorders,NA,NA
Enthesopathies & synovial disorders,M71.3,Other bursal cyst,Diagnosis of Enthesopathies & synovial disorders,NA,NA
Enthesopathies & synovial disorders,M71.4,Calcium deposit in bursa,Diagnosis of Enthesopathies & synovial disorders,NA,NA
Enthesopathies & synovial disorders,M71.5,"Other bursitis, not elsewhere classified",Diagnosis of Enthesopathies & synovial disorders,NA,NA
Enthesopathies & synovial disorders,M71.8,Other specified bursopathies,Diagnosis of Enthesopathies & synovial disorders,NA,NA
Enthesopathies & synovial disorders,M71.9,"Bursopathy, unspecified",Diagnosis of Enthesopathies & synovial disorders,NA,NA
Enthesopathies & synovial disorders,M75,Shoulder lesions,Diagnosis of Enthesopathies & synovial disorders,NA,NA
Enthesopathies & synovial disorders,M76,"Enthesopathies of lower limb, excluding foot",Diagnosis of Enthesopathies & synovial disorders,NA,NA
Enthesopathies & synovial disorders,M77.0,Medial epicondylitis,Diagnosis of Enthesopathies & synovial disorders,NA,NA
Enthesopathies & synovial disorders,M77.1,Lateral epicondylitis,Diagnosis of Enthesopathies & synovial disorders,NA,NA
Enthesopathies & synovial disorders,M77.2,Periarthritis of wrist,Diagnosis of Enthesopathies & synovial disorders,NA,NA
Enthesopathies & synovial disorders,M77.3,Calcaneal spur,Diagnosis of Enthesopathies & synovial disorders,NA,NA
Enthesopathies & synovial disorders,M77.5,Other enthesopathy of foot,Diagnosis of Enthesopathies & synovial disorders,NA,NA
Enthesopathies & synovial disorders,M77.8,"Other enthesopathies, not elsewhere classified",Diagnosis of Enthesopathies & synovial disorders,NA,NA
Enthesopathies & synovial disorders,M77.9,"Enthesopathy, unspecified",Diagnosis of Enthesopathies & synovial disorders,NA,NA
Epilepsy,G40,Epilepsy,History of Epilepsy,NA,NA
Epilepsy,G41,Status epilepticus,History of Epilepsy,NA,NA
Erectile dysfunction,F52.2,Failure of genital response,Possible diagnosis of erectile dysfunction,NA,NA
Erectile dysfunction,N48.4,Impotence of organic origin,Diagnosis of erectile dysfunction,NA,NA
Female genital prolapse,N81,Female genital prolapse,Diagnosis of Female genital prolapse,NA,NA
Female infertility,N97,Female infertility,Diagnosis of Female Infertility,NA,NA
Folate deficiency anaemia,D52,Folate deficiency anaemia,Diagnosis of Folate deficiency anaemia,NA,NA
Fracture of hip,S72.0,Fracture of neck of femur,Diagnosis of Fracture of hip,NA,NA
Fracture of hip,S72.1,Pertrochanteric fracture,Diagnosis of Fracture of hip,NA,NA
Fracture of hip,S72.2,Subtrochanteric fracture,Diagnosis of Fracture of hip,NA,NA
Fracture of hip,NA,NA,Procedure for Fracture of the hip,W19.1,Primary open reduction of fracture of neck of femur and open fixation using pin and plate
Fracture of hip,NA,NA,Procedure for Fracture of the hip,W24.1,Closed reduction of intracapsular fracture of neck of femur and fixation using nail or screw
Fracture of hip,NA,NA,Procedure for Fracture of the hip,O17.1,Remanipulation of intracapsular fracture of neck of femur and fixation using nail or screw
Gastritis and duodenitis,K29,Gastritis and duodenitis,Diagnosis of Gastritis and duodenitis,NA,NA
Gastro-oesophageal reflux disease,K21,Gastro-oesophageal reflux disease,Diagnosis of Gastro-oesophageal reflux disease,NA,NA
Gastro-oesophageal reflux disease,NA,NA,Procedure for Gastro-oesophageal reflux disease,G24,Antireflux operations
Gastro-oesophageal reflux disease,NA,NA,Procedure for Gastro-oesophageal reflux disease,G24.1,Antireflux fundoplication using thoracic approach
Gastro-oesophageal reflux disease,NA,NA,Procedure for Gastro-oesophageal reflux disease,G24.2,Antireflux operation using thoracic approach NEC
Gastro-oesophageal reflux disease,NA,NA,Procedure for Gastro-oesophageal reflux disease,G24.3,Antireflux fundoplication using abdominal approach
Gastro-oesophageal reflux disease,NA,NA,Procedure for Gastro-oesophageal reflux disease,G24.4,Antireflux gastropexy
Gastro-oesophageal reflux disease,NA,NA,Procedure for Gastro-oesophageal reflux disease,G24.5,Gastroplasty and antireflux procedure HFQ
Gastro-oesophageal reflux disease,NA,NA,Procedure for Gastro-oesophageal reflux disease,G24.6,Insertion of Angelchick prosthesis
Gastro-oesophageal reflux disease,NA,NA,Procedure for Gastro-oesophageal reflux disease,G24.8,Other specified antireflux operations
Gastro-oesophageal reflux disease,NA,NA,Procedure for Gastro-oesophageal reflux disease,G24.9,Unspecified antireflux operations
Gastro-oesophageal reflux disease,NA,NA,Procedure for Gastro-oesophageal reflux disease,G25,Revision of antireflux operations
Gastro-oesophageal reflux disease,NA,NA,Procedure for Gastro-oesophageal reflux disease,G25.1,Revision of fundoplication of stomach
Gastro-oesophageal reflux disease,NA,NA,Procedure for Gastro-oesophageal reflux disease,G25.2,Adjustment to Angelchick prosthesis
Gastro-oesophageal reflux disease,NA,NA,Procedure for Gastro-oesophageal reflux disease,G25.3,Removal of Angelchick prosthesis
Gastro-oesophageal reflux disease,NA,NA,Procedure for Gastro-oesophageal reflux disease,G25.8,Other specified revision of antireflux operations
Gastro-oesophageal reflux disease,NA,NA,Procedure for Gastro-oesophageal reflux disease,G25.9,Unspecified revision of antireflux operations
Giant Cell arteritis,M31.5,Giant cell arteritis with polymyalgia rheumatica,Diagnosis of Giant Cell arteritis,NA,NA
Giant Cell arteritis,M31.6,Other giant cell arteritis,Diagnosis of Giant Cell arteritis,NA,NA
Glaucoma,H40.1,Primary open-angle glaucoma,Diagnosis of Glaucoma,NA,NA
Glaucoma,H40.2,Primary angle-closure glaucoma,Diagnosis of Glaucoma,NA,NA
Glaucoma,H40.9,"Glaucoma, unspecified",Diagnosis of Glaucoma,NA,NA
Glaucoma,NA,NA,Procedure for glaucoma,C60.1,Trabeculectomy
Glaucoma,NA,NA,Procedure for glaucoma,C60.2,Inclusion of iris
Glaucoma,NA,NA,Procedure for glaucoma,C60.3,Fixation of iris
Glaucoma,NA,NA,Procedure for glaucoma,C60.4,Iridoplasty NEC
Glaucoma,NA,NA,Procedure for glaucoma,C60.5,Insertion of tube into anterior chamber of eye to assist drainage of aqueous humour
Glaucoma,NA,NA,Procedure for glaucoma,C60.6,Viscocanulostomy
Glaucoma,NA,NA,Procedure for glaucoma,C60.8,Other specified filtering operations on iris
Glaucoma,NA,NA,Procedure for glaucoma,C60.9,Unspecified filtering operations on iris
Glaucoma,NA,NA,Procedure for glaucoma,C61.1,Laser trabeculoplasty
Glaucoma,NA,NA,Procedure for glaucoma,C61.2,Trabeculotomy
Glaucoma,NA,NA,Procedure for glaucoma,C61.3,Goniotomy
Glaucoma,NA,NA,Procedure for glaucoma,C61.4,Goniopuncture
Glaucoma,NA,NA,Procedure for glaucoma,C61.5,Viscogonioplasty
Glaucoma,NA,NA,Procedure for glaucoma,C61.8,Other specified other operations on trabecular meshwork of eye
Glaucoma,NA,NA,Procedure for glaucoma,C61.9,Unspecified other operations on trabecular meshwork of eye
Glaucoma,NA,NA,Procedure for glaucoma,C62.1,Iridosclerotomy
Glaucoma,NA,NA,Procedure for glaucoma,C62.2,Surgical iridotomy
Glaucoma,NA,NA,Procedure for glaucoma,C62.3,Laser iridotomy
Glaucoma,NA,NA,Procedure for glaucoma,C62.4,Correction iridodialysis NEC
Glaucoma,NA,NA,Procedure for glaucoma,C62.8,Other specified incision of iris
Glaucoma,NA,NA,Procedure for glaucoma,C62.9,Unspecified incision of iris
Glomerulonephritis,N00.0,Acute nephritic syndrome - Minor glomerular abnormality,Diagnosis of Glomerulonephritis,NA,NA
Glomerulonephritis,N00.1,Acute nephritic syndrome - Focal and segmental glomerular lesions,Diagnosis of Glomerulonephritis,NA,NA
Glomerulonephritis,N00.2,Acute nephritic syndrome - Diffuse membranous glomerulonephritis,Diagnosis of Glomerulonephritis,NA,NA
Glomerulonephritis,N00.3,Acute nephritic syndrome - Diffuse mesangial proliferative glomerulonephritis,Diagnosis of Glomerulonephritis,NA,NA
Glomerulonephritis,N00.4,Acute nephritic syndrome - Diffuse endocapillary proliferative glomerulonephritis,Diagnosis of Glomerulonephritis,NA,NA
Glomerulonephritis,N00.5,Acute nephritic syndrome - Diffuse mesangiocapillary glomerulonephritis,Diagnosis of Glomerulonephritis,NA,NA
Glomerulonephritis,N00.6,Acute nephritic syndrome - Dense deposit disease,Diagnosis of Glomerulonephritis,NA,NA
Glomerulonephritis,N00.7,Acute nephritic syndrome - Diffuse crescentic glomerulonephritis,Diagnosis of Glomerulonephritis,NA,NA
Glomerulonephritis,N00.8,Acute nephritic syndrome - Other,Diagnosis of Glomerulonephritis,NA,NA
Glomerulonephritis,N00.9,Acute nephritic syndrome - Unspecified,Diagnosis of Glomerulonephritis,NA,NA
Glomerulonephritis,N01.0,Rapidly progressive nephritic syndrome - Minor glomerular abnormality,Diagnosis of Glomerulonephritis,NA,NA
Glomerulonephritis,N01.1,Rapidly progressive nephritic syndrome - Focal and segmental glomerular lesions,Diagnosis of Glomerulonephritis,NA,NA
Glomerulonephritis,N01.2,Rapidly progressive nephritic syndrome - Diffuse membranous glomerulonephritis,Diagnosis of Glomerulonephritis,NA,NA
Glomerulonephritis,N01.3,Rapidly progressive nephritic syndrome - Diffuse mesangial proliferative glomerulonephritis,Diagnosis of Glomerulonephritis,NA,NA
Glomerulonephritis,N01.4,Rapidly progressive nephritic syndrome - Diffuse endocapillary proliferative glomerulonephritis,Diagnosis of Glomerulonephritis,NA,NA
Glomerulonephritis,N01.5,Rapidly progressive nephritic syndrome - Diffuse mesangiocapillary glomerulonephritis,Diagnosis of Glomerulonephritis,NA,NA
Glomerulonephritis,N01.7,Rapidly progressive nephritic syndrome - Diffuse crescentic glomerulonephritis,Diagnosis of Glomerulonephritis,NA,NA
Glomerulonephritis,N01.8,Rapidly progressive nephritic syndrome - Other,Diagnosis of Glomerulonephritis,NA,NA
Glomerulonephritis,N01.9,Rapidly progressive nephritic syndrome - Unspecified,Diagnosis of Glomerulonephritis,NA,NA
Glomerulonephritis,N02.0,Recurrent and persistent haematuria - Minor glomerular abnormality,Diagnosis of Glomerulonephritis,NA,NA
Glomerulonephritis,N02.1,Recurrent and persistent haematuria - Focal and segmental glomerular lesions,Diagnosis of Glomerulonephritis,NA,NA
Glomerulonephritis,N02.2,Recurrent and persistent haematuria - Diffuse membranous glomerulonephritis,Diagnosis of Glomerulonephritis,NA,NA
Glomerulonephritis,N02.3,Recurrent and persistent haematuria - Diffuse mesangial proliferative glomerulonephritis,Diagnosis of Glomerulonephritis,NA,NA
Glomerulonephritis,N02.4,Recurrent and persistent haematuria - Diffuse endocapillary proliferative glomerulonephritis,Diagnosis of Glomerulonephritis,NA,NA
Glomerulonephritis,N02.5,Recurrent and persistent haematuria - Diffuse mesangiocapillary glomerulonephritis,Diagnosis of Glomerulonephritis,NA,NA
Glomerulonephritis,N02.6,Recurrent and persistent haematuria - Dense deposit disease,Diagnosis of Glomerulonephritis,NA,NA
Glomerulonephritis,N02.7,Recurrent and persistent haematuria - Diffuse crescentic glomerulonephritis,Diagnosis of Glomerulonephritis,NA,NA
Glomerulonephritis,N02.8,Recurrent and persistent haematuria - Other,Diagnosis of Glomerulonephritis,NA,NA
Glomerulonephritis,N02.9,Recurrent and persistent haematuria - Unspecified,Diagnosis of Glomerulonephritis,NA,NA
Glomerulonephritis,N03.0,Chronic nephritic syndrome - Minor glomerular abnormality,Diagnosis of Glomerulonephritis,NA,NA
Glomerulonephritis,N03.1,Chronic nephritic syndrome - Focal and segmental glomerular lesions,Diagnosis of Glomerulonephritis,NA,NA
Glomerulonephritis,N03.2,Chronic nephritic syndrome - Diffuse membranous glomerulonephritis,Diagnosis of Glomerulonephritis,NA,NA
Glomerulonephritis,N03.3,Chronic nephritic syndrome - Diffuse mesangial proliferative glomerulonephritis,Diagnosis of Glomerulonephritis,NA,NA
Glomerulonephritis,N03.4,Chronic nephritic syndrome - Diffuse endocapillary proliferative glomerulonephritis,Diagnosis of Glomerulonephritis,NA,NA
Glomerulonephritis,N03.5,Chronic nephritic syndrome - Diffuse mesangiocapillary glomerulonephritis,Diagnosis of Glomerulonephritis,NA,NA
Glomerulonephritis,N03.6,Chronic nephritic syndrome - Dense deposit disease,Diagnosis of Glomerulonephritis,NA,NA
Glomerulonephritis,N03.7,Chronic nephritic syndrome - Diffuse crescentic glomerulonephritis,Diagnosis of Glomerulonephritis,NA,NA
Glomerulonephritis,N03.8,Chronic nephritic syndrome - Other,Diagnosis of Glomerulonephritis,NA,NA
Glomerulonephritis,N03.9,Chronic nephritic syndrome - Unspecified,Diagnosis of Glomerulonephritis,NA,NA
Glomerulonephritis,N04.0,Nephrotic syndrome - Minor glomerular abnormality,Diagnosis of Glomerulonephritis,NA,NA
Glomerulonephritis,N04.1,Nephrotic syndrome - Focal and segmental glomerular lesions,Diagnosis of Glomerulonephritis,NA,NA
Glomerulonephritis,N04.2,Nephrotic syndrome - Diffuse membranous glomerulonephritis,Diagnosis of Glomerulonephritis,NA,NA
Glomerulonephritis,N04.3,Nephrotic syndrome - Diffuse mesangial proliferative glomerulonephritis,Diagnosis of Glomerulonephritis,NA,NA
Glomerulonephritis,N04.4,Nephrotic syndrome - Diffuse endocapillary proliferative glomerulonephritis,Diagnosis of Glomerulonephritis,NA,NA
Glomerulonephritis,N04.5,Nephrotic syndrome - Diffuse mesangiocapillary glomerulonephritis,Diagnosis of Glomerulonephritis,NA,NA
Glomerulonephritis,N04.6,Nephrotic syndrome - Dense deposit disease,Diagnosis of Glomerulonephritis,NA,NA
Glomerulonephritis,N04.7,Nephrotic syndrome - Diffuse crescentic glomerulonephritis,Diagnosis of Glomerulonephritis,NA,NA
Glomerulonephritis,N04.8,Nephrotic syndrome - Other,Diagnosis of Glomerulonephritis,NA,NA
Glomerulonephritis,N04.9,Nephrotic syndrome - Unspecified,Diagnosis of Glomerulonephritis,NA,NA
Glomerulonephritis,N05.0,Unspecified nephritic syndrome - Minor glomerular abnormality,Diagnosis of Glomerulonephritis,NA,NA
Glomerulonephritis,N05.1,Unspecified nephritic syndrome - Focal and segmental glomerular lesions,Diagnosis of Glomerulonephritis,NA,NA
Glomerulonephritis,N05.2,Unspecified nephritic syndrome - Diffuse membranous glomerulonephritis,Diagnosis of Glomerulonephritis,NA,NA
Glomerulonephritis,N05.3,Unspecified nephritic syndrome - Diffuse mesangial proliferative glomerulonephritis,Diagnosis of Glomerulonephritis,NA,NA
Glomerulonephritis,N05.4,Unspecified nephritic syndrome - Diffuse endocapillary proliferative glomerulonephritis,Diagnosis of Glomerulonephritis,NA,NA
Glomerulonephritis,N05.5,Unspecified nephritic syndrome - Diffuse mesangiocapillary glomerulonephritis,Diagnosis of Glomerulonephritis,NA,NA
Glomerulonephritis,N05.6,Unspecified nephritic syndrome - Dense deposit disease,Diagnosis of Glomerulonephritis,NA,NA
Glomerulonephritis,N05.7,Unspecified nephritic syndrome - Diffuse crescentic glomerulonephritis,Diagnosis of Glomerulonephritis,NA,NA
Glomerulonephritis,N05.8,Unspecified nephritic syndrome - Other,Diagnosis of Glomerulonephritis,NA,NA
Glomerulonephritis,N05.9,Unspecified nephritic syndrome - Unspecified,Diagnosis of Glomerulonephritis,NA,NA
Glomerulonephritis,N06.0,Isolated proteinuria with specified morphological lesion - Minor glomerular abnormality,Diagnosis of Glomerulonephritis,NA,NA
Glomerulonephritis,N06.1,Isolated proteinuria with specified morphological lesion - Focal and segmental glomerular lesions,Diagnosis of Glomerulonephritis,NA,NA
Glomerulonephritis,N06.2,Isolated proteinuria with specified morphological lesion - Diffuse membranous glomerulonephritis,Diagnosis of Glomerulonephritis,NA,NA
Glomerulonephritis,N06.3,Isolated proteinuria with specified morphological lesion - Diffuse mesangial proliferative glomerulonephritis,Diagnosis of Glomerulonephritis,NA,NA
Glomerulonephritis,N06.5,Isolated proteinuria with specified morphological lesion - Diffuse mesangiocapillary glomerulonephritis,Diagnosis of Glomerulonephritis,NA,NA
Glomerulonephritis,N06.6,Isolated proteinuria with specified morphological lesion - Dense deposit disease,Diagnosis of Glomerulonephritis,NA,NA
Glomerulonephritis,N06.8,Isolated proteinuria with specified morphological lesion - Other,Diagnosis of Glomerulonephritis,NA,NA
Glomerulonephritis,N06.9,Isolated proteinuria with specified morphological lesion - Unspecified,Diagnosis of Glomerulonephritis,NA,NA
Gout,M10,Gout,Diagnosis of Gout,NA,NA
Gout,M14.0,Gouty arthropathy due to enzyme defects and other inherited disorders,Diagnosis of Gout,NA,NA
Hearing loss,H90,Conductive and sensorineural hearing loss,Diagnosis of Hearing loss,NA,NA
Hearing loss,H91,Other hearing loss,Diagnosis of Hearing loss,NA,NA
Hearing loss,Z45.3,Adjustment and management of implanted hearing device,Diagnosis of Hearing loss,NA,NA
Hearing loss,Z46.1,Fitting and adjustment of hearing aid,Diagnosis of Hearing loss,NA,NA
Hearing loss,Z97.4,Presence of external hearing-aid,Diagnosis of Hearing loss,NA,NA
Heart failure,I11.0,Hypertensive heart disease with (congestive) heart failure,Diagnosis of Heart failure,NA,NA
Heart failure,I13.0,Hypertensive heart and renal disease with (congestive) heart failure,Diagnosis of Heart failure,NA,NA
Heart failure,I13.2,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure,Diagnosis of Heart failure,NA,NA
Heart failure,I50,Heart failure,Diagnosis of Heart failure,NA,NA
Hepatic failure,B15.0,Hepatitis A with hepatic coma,Diagnosis of Hepatic failure,NA,NA
Hepatic failure,B16.0,Acute hepatitis B with delta-agent (coinfection) with hepatic coma,Diagnosis of Hepatic failure,NA,NA
Hepatic failure,B19.0,Unspecified viral hepatitis with hepatic coma,Diagnosis of Hepatic failure,NA,NA
Hepatic failure,K70.4,Alcoholic hepatic failure,Diagnosis of Hepatic failure,NA,NA
Hepatic failure,K71.1,Toxic liver disease with hepatic necrosis,Diagnosis of Hepatic failure,NA,NA
Hepatic failure,K72,"Hepatic failure, not elsewhere classified",Diagnosis of Hepatic failure,NA,NA
Hepatic failure,K76.2,Central haemorrhagic necrosis of liver,Diagnosis of Hepatic failure,NA,NA
Hepatic failure,K76.3,Infarction of liver,Diagnosis of Hepatic failure,NA,NA
Hidradenitis suppurativa,L73.2,Hidradenitis suppurativa,Diagnosis of Hidradenitis suppurativa,NA,NA
HIV,B20,Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases,Diagnosis of HIV,NA,NA
HIV,B21,Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms,Diagnosis of HIV,NA,NA
HIV,B22,Human immunodeficiency virus [HIV] disease resulting in other specified diseases,Diagnosis of HIV,NA,NA
HIV,B23,Human immunodeficiency virus [HIV] disease resulting in other conditions,Diagnosis of HIV,NA,NA
HIV,B24,Unspecified human immunodeficiency virus [HIV] disease,Diagnosis of HIV,NA,NA
HIV,F02.4,Dementia in human immunodeficiency virus [HIV] disease,Diagnosis of HIV,NA,NA
HIV,R75,Laboratory evidence of human immunodeficiency virus [HIV],Diagnosis of HIV,NA,NA
HIV,Z21,Asymptomatic human immunodeficiency virus [HIV] infection status,Diagnosis of HIV,NA,NA
Hodgkin Lymphoma,C81,Hodgkin lymphoma,Diagnosis of Hodgkin Lymphoma,NA,NA
Hyperkinetic disorders,F90,Hyperkinetic disorders,Diagnosis of Hyperkinetic disorders,NA,NA
Hyperparathyroidism,E21.0,Primary hyperparathyroidism,Diagnosis of Hyperparathyroidism,NA,NA
Hyperparathyroidism,E21.1,"Secondary hyperparathyroidism, not elsewhere classified",Diagnosis of Hyperparathyroidism,NA,NA
Hyperparathyroidism,E21.2,Other hyperparathyroidism,Diagnosis of Hyperparathyroidism,NA,NA
Hyperparathyroidism,E21.3,"Hyperparathyroidism, unspecified",Diagnosis of Hyperparathyroidism,NA,NA
Hyperplasia of prostate,N40,Hyperplasia of prostate,Diagnosis of Hyperplasia of prostate,NA,NA
Hypertension,I10,Essential (primary) hypertension,Hypertension (3),NA,NA
Hypertension,I11,Hypertensive heart disease,Hypertension (3),NA,NA
Hypertension,I12,Hypertensive renal disease,Hypertension (3),NA,NA
Hypertension,I13,Hypertensive heart and renal disease,Hypertension (3),NA,NA
Hypertension,I15,Secondary hypertension,Secondary hypertension (4),NA,NA
Hypertrophic Cardiomyopathy,I42.1,Obstructive hypertrophic cardiomyopathy,Diagnosis of Hypertrophic Cardiomyopathy,NA,NA
Hypertrophic Cardiomyopathy,I42.2,Other hypertrophic cardiomyopathy,Diagnosis of Hypertrophic Cardiomyopathy,NA,NA
Hypertrophy of nasal turbinates,J34.3,Hypertrophy of nasal turbinates,Diagnosis of Hypertrophy of nasal turbinates,NA,NA
Hypo or hyperthyroidism,E03.5,Myxoedema coma,Diagnosis of Hypo or hyperthyroidism,NA,NA
Hypo or hyperthyroidism,E03.8,Other specified hypothyroidism,Diagnosis of Hypo or hyperthyroidism,NA,NA
Hypo or hyperthyroidism,E03.9,"Hypothyroidism, unspecified",Diagnosis of Hypo or hyperthyroidism,NA,NA
Hypo or hyperthyroidism,E05.0,Thyrotoxicosis with diffuse goitre,Diagnosis of Hypo or hyperthyroidism,NA,NA
Hypo or hyperthyroidism,E05.1,Thyrotoxicosis with toxic single thyroid nodule,Diagnosis of Hypo or hyperthyroidism,NA,NA
Hypo or hyperthyroidism,E05.2,Thyrotoxicosis with toxic multinodular goitre,Diagnosis of Hypo or hyperthyroidism,NA,NA
Hypo or hyperthyroidism,E05.5,Thyroid crisis or storm,Diagnosis of Hypo or hyperthyroidism,NA,NA
Hypo or hyperthyroidism,E05.8,Other thyrotoxicosis,Diagnosis of Hypo or hyperthyroidism,NA,NA
Hypo or hyperthyroidism,E05.9,"Thyrotoxicosis, unspecified",Diagnosis of Hypo or hyperthyroidism,NA,NA
Hypo or hyperthyroidism,E06.2,Chronic thyroiditis with transient thyrotoxicosis,Diagnosis of Hypo or hyperthyroidism,NA,NA
Hypo or hyperthyroidism,E06.3,Autoimmune thyroiditis,Diagnosis of Hypo or hyperthyroidism,NA,NA
Hypo or hyperthyroidism,E06.5,Other chronic thyroiditis,Diagnosis of Hypo or hyperthyroidism,NA,NA
Hypo or hyperthyroidism,E06.9,"Thyroiditis, unspecified",Diagnosis of Hypo or hyperthyroidism,NA,NA
Hypo or hyperthyroidism,H06.2,Dysthyroid exophthalmos,Diagnosis of Hypo or hyperthyroidism,NA,NA
Hyposplenism,D73.0,Hyposplenism,Diagnosis of Hyposplenism,NA,NA
Hyposplenism,D73.5,Infarction of spleen,Diagnosis of Hyposplenism,NA,NA
Immunodeficiencies,D80,Immunodeficiency with predominantly antibody defects,Diagnosis of Immunodeficiencies,NA,NA
Immunodeficiencies,D81,Combined immunodeficiencies,Diagnosis of Immunodeficiencies,NA,NA
Immunodeficiencies,D82,Immunodeficiency associated with other major defects,Diagnosis of Immunodeficiencies,NA,NA
Immunodeficiencies,D83,Common variable immunodeficiency,Diagnosis of Immunodeficiencies,NA,NA
